#publisher,California Health and Human Services 
#name,Year,County Organized Health System (COHS) Health Plan, Number of Eligible Individuals 
#datatype,'int','str','int'

Year,County Organized Health System (COHS) Health Plan, Number of Eligible Individuals 
2016,Marin,11584
2016,Mariposa,6175
2016,Orange,21691
2016,San Mateo,2881
2016,Santa Barbara,3682
2016,Ventura,4266
2017,Marin,15740
2017,Mariposa,8890
2017,Orange,30986
2017,San Mateo,4312
2017,Santa Barbara,5272
2017,Ventura,6350
2018,Marin,13370
2018,Mariposa,7746
2018,Orange,24771
2018,San Mateo,3764
2018,Santa Barbara,4471
2018,Ventura,5551
2019,Marin,11757
2019,Mariposa,6727
2019,Orange,22109
2019,San Luis Obispo,390
2019,San Mateo,3971
2019,Santa Barbara,3703
2019,Ventura,4850
2020,Marin,10828
2020,Mariposa,6080
2020,Orange,21466
2020,San Luis Obispo,405
2020,San Mateo,3423
2020,Santa Barbara,3995
2020,Ventura,4730
2021,Marin,9883
2021,Mariposa,5595
2021,Orange,17112
2021,San Luis Obispo,307
2021,San Mateo,3357
2021,Santa Barbara,3793
2021,Ventura,3864
2022,Marin,10735
2022,Mariposa,6107
2022,Orange,20858
2022,San Luis Obispo,1247
2022,San Mateo,3783
2022,Santa Barbara,2699
2022,Ventura,3946
2023,Marin,11262
2023,Mariposa,6021
2023,Orange,20420
2023,San Luis Obispo,1384
2023,San Mateo,3590
2023,Santa Barbara,2453
2023,Ventura,3824
2024,Marin,3922
2024,Napa,18
2024,Orange,8399
2024,Placer,78
2024,San Luis Obispo,654
2024,San Mateo,1503
2024,Santa Barbara,1087
2024,Ventura,1535
