Year,Reporting Period,County Organized Health System (COHS) Health Plan, Number of Eligible Individuals 
2016,2016 Q1,CalOPTIMA/Orange," 13,464 "
2016,2016 Q1,Central California Alliance for Health," 4,133 "
2016,2016 Q1,Gold Coast Health Plan," 2,785 "
2016,2016 Q1,Health Plan of San Mateo," 1,820 "
2016,2016 Q1,Partnership Health Plan of CA," 7,536 "
2016,2016 Q1,Santa Barbara Health Authority," 2,446 "
2016,2016 Q2,CalOPTIMA/Orange, 766 
2016,2016 Q2,Central California Alliance for Health, 163 
2016,2016 Q2,Gold Coast Health Plan, 156 
2016,2016 Q2,Health Plan of San Mateo, 87 
2016,2016 Q2,Partnership Health Plan of CA, 353 
2016,2016 Q2,Santa Barbara Health Authority, 122 
2016,2016 Q3,CalOPTIMA/Orange, 595 
2016,2016 Q3,Central California Alliance for Health, 117 
2016,2016 Q3,Gold Coast Health Plan, 111 
2016,2016 Q3,Health Plan of San Mateo, 56 
2016,2016 Q3,Partnership Health Plan of CA, 310 
2016,2016 Q3,Santa Barbara Health Authority, 101 
2016,2016 Q4,CalOPTIMA/Orange," 6,866 "
2016,2016 Q4,Central California Alliance for Health," 1,762 "
2016,2016 Q4,Gold Coast Health Plan," 1,214 "
2016,2016 Q4,Health Plan of San Mateo, 918 
2016,2016 Q4,Partnership Health Plan of CA," 3,385 "
2016,2016 Q4,Santa Barbara Health Authority," 1,013 "
2017,2017 Q1,CalOPTIMA/Orange," 8,951 "
2017,2017 Q1,Central California Alliance for Health," 2,427 "
2017,2017 Q1,Gold Coast Health Plan," 1,653 "
2017,2017 Q1,Health Plan of San Mateo," 1,209 "
2017,2017 Q1,Partnership Health Plan of CA," 4,516 "
2017,2017 Q1,Santa Barbara Health Authority," 1,513 "
2017,2017 Q2,CalOPTIMA/Orange," 6,847 "
2017,2017 Q2,Central California Alliance for Health," 2,118 "
2017,2017 Q2,Gold Coast Health Plan," 1,442 "
2017,2017 Q2,Health Plan of San Mateo, 964 
2017,2017 Q2,Partnership Health Plan of CA," 3,613 "
2017,2017 Q2,Santa Barbara Health Authority," 1,209 "
2017,2017 Q3,CalOPTIMA/Orange," 7,720 "
2017,2017 Q3,Central California Alliance for Health," 2,317 "
2017,2017 Q3,Gold Coast Health Plan," 1,595 "
2017,2017 Q3,Health Plan of San Mateo," 1,089 "
2017,2017 Q3,Partnership Health Plan of CA," 4,055 "
2017,2017 Q3,Santa Barbara Health Authority," 1,281 "
2017,2017 Q4,CalOPTIMA/Orange," 7,468 "
2017,2017 Q4,Central California Alliance for Health," 2,028 "
2017,2017 Q4,Gold Coast Health Plan," 1,660 "
2017,2017 Q4,Health Plan of San Mateo," 1,050 "
