#publisher,NORP
#name,Fips,State,County,Personal Income Per Capita 2019,Number Of Ranked Counties,Health Outcomes Rank,Health Outcomes Quartile,Health Factors Rank,Health Factors Quartile,Length Of Life Rank,Length Of Life Quartile,Quality Of Life Rank,Quality Of Life Quartile,Health Behaviors Rank,Health Behaviors Quartile,Clinical Care Rank,Clinical Care Quartile,Social Economic Factors Rank,Social Economic Factors Quartile,Physical Environment Rank,Physical Environment Quartile,Percent Of Population In Frequent Physical Distress,Percent Of Population In Frequent Mental Distress,Percent Of Adults With Diabetes,Percent Of Population Food Insecure,Percent Of Population Insufficient Sleep,Percent Of Population Homeowners,Percent Of Population Fair Or Poor Health,Percent Of Population Broadband Access,Population Additional Measure Data,Percent Of Population Less Than 18 Years Of Age,Percent Of Population 65 And Over,Percentage Smokers,Percentage Some College,Percentage Adults With Obesity,Percentage Severe Housing Problems,Percent Long Drives Alone,Percentage Physically Inactive,Percentage Excessive Drinking,Traffic Volume,Average Number Of Physically Unhealthy Days,Average Number Of Mentally Unhealthy Days,Primary Care Physicians Ratio,Other Primary Care Provider Ratio,Dentist Ratio,Mental Health Provider Ratio,Number Completed High School,Presence Of Water Violation,Severe Housing Cost Burden,Overcrowding,Inadequate Facilities,Number Workers Drive Alone,Mortality Rate Cancer 2014,Mortality Rate Cardiovascular Disease 2014,Mortality Rate Infectious Disease 2014,Mortality Rate Mental Health 2014,Mortality Rate Respiratory Infection 2014
#datatype,'int','str','str','int','int','int','int','int','int','int','int','int','int','int','int','int','int','int','int','int','int','float','float','float','float','float','float','float','float','int','float','float','float','float','float','float','float','float','float','float','float','float','int','int','int','int','int','str','float','float','float','int','str','str','str','str','str'

Fips,State,County,Personal Income Per Capita 2019,Number Of Ranked Counties,Health Outcomes Rank,Health Outcomes Quartile,Health Factors Rank,Health Factors Quartile,Length Of Life Rank,Length Of Life Quartile,Quality Of Life Rank,Quality Of Life Quartile,Health Behaviors Rank,Health Behaviors Quartile,Clinical Care Rank,Clinical Care Quartile,Social Economic Factors Rank,Social Economic Factors Quartile,Physical Environment Rank,Physical Environment Quartile,Percent Of Population In Frequent Physical Distress,Percent Of Population In Frequent Mental Distress,Percent Of Adults With Diabetes,Percent Of Population Food Insecure,Percent Of Population Insufficient Sleep,Percent Of Population Homeowners,Percent Of Population Fair Or Poor Health,Percent Of Population Broadband Access,Population Additional Measure Data,Percent Of Population Less Than 18 Years Of Age,Percent Of Population 65 And Over,Percentage Smokers,Percentage Some College,Percentage Adults With Obesity,Percentage Severe Housing Problems,Percent Long Drives Alone,Percentage Physically Inactive,Percentage Excessive Drinking,Traffic Volume,Average Number Of Physically Unhealthy Days,Average Number Of Mentally Unhealthy Days,Primary Care Physicians Ratio,Other Primary Care Provider Ratio,Dentist Ratio,Mental Health Provider Ratio,Number Completed High School,Presence Of Water Violation,Severe Housing Cost Burden,Overcrowding,Inadequate Facilities,Number Workers Drive Alone,Mortality Rate Cancer 2014,Mortality Rate Cardiovascular Disease 2014,Mortality Rate Infectious Disease 2014,Mortality Rate Mental Health 2014,Mortality Rate Respiratory Infection 2014
1001,Alabama,Autauga,42846,67,2,1,9,1,4,1,8,1,9,1,11,1,5,1,54,4,14.2,17.1,11.2,15.7,38.4433,74.6231,20.1,82.7079,56145,23.1846,16.176,19.7,60.7217,35.3,14.7289,40.5,32.2,16.1612,155.096,4.51004,5.41907,2235,2246,2955,2674,33587,No,12.7164,1.42079,1.63391,24949,"233.32 (219.21, 249.01)","316.36 (298.73, 334.72)","0.31 (0.20, 0.44)","1.45 (0.90, 2.11)","81.79 (77.37, 86.77)"
1003,Alabama,Baldwin,48380,67,1,1,3,1,5,1,2,1,6,1,4,1,3,1,2,1,12.5,16.1,9.4,13.4,36.378,76.9998,17.2,85.0691,229287,21.1285,21.5821,19.9,65.5321,29.6,12.4205,37.9,27.6,21.5035,133.605,4.16887,5.17391,1450,1433,2047,1006,140740,No,10.9863,1.26558,0.502417,97098,"200.69 (191.51, 209.99)","272.04 (260.19, 284.03)","0.20 (0.14, 0.27)","2.53 (1.88, 3.36)","54.28 (51.92, 56.65)"
1005,Alabama,Barbour,34870,67,56,4,60,4,52,4,60,4,65,4,36,3,60,4,34,2,19.1,20.5,16.5,20.7,40.8896,61.9502,31.1,64.632,24589,20.4726,20.2611,27.8,38.3558,40.4,15.46,36.8,41.6,13.9276,102.46,5.88441,6.1099,2743,1639,2732,4098,13300,No,13.2353,3.37507,0.435493,8555,"260.26 (241.30, 279.76)","255.09 (238.51, 271.82)","0.42 (0.28, 0.59)","2.72 (1.89, 3.57)","69.82 (65.35, 74.56)"
1007,Alabama,Bibb,31800,67,31,2,50,3,31,2,35,3,55,4,44,3,50,3,50,3,16.4,19.1,12.7,16.3,40.1101,74.7761,25.0,76.1262,22136,19.9946,17.0763,25.2,37.7704,41.2,11.1842,55.3,37.7,16.0168,26.5887,5.16134,5.8461,1723,692,3689,3689,12931,No,9.40653,0.716374,1.08187,8107,"246.74 (230.03, 263.75)","378.09 (353.16, 402.74)","0.26 (0.18, 0.38)","1.22 (0.70, 1.92)","84.49 (78.58, 90.47)"
1009,Alabama,Blount,36542,67,15,1,24,2,24,2,13,1,15,1,54,4,18,2,51,4,15.6,18.3,11.4,14.5,38.8471,76.0764,23.2,79.6227,57879,22.8027,19.0034,22.2,56.2666,38.7,10.4612,59.8,33.3,16.1735,43.3096,4.94839,5.73824,4448,3859,5262,5788,32976,No,7.91511,1.65049,1.23786,22636,"215.09 (201.43, 229.29)","307.90 (290.88, 324.10)","0.26 (0.17, 0.37)","1.31 (0.77, 2.03)","87.05 (82.51, 91.87)"
1011,Alabama,Bullock,27192,67,51,4,61,4,34,2,63,4,63,4,32,2,62,4,38,3,18.0,18.9,17.8,15.7,44.6527,73.8116,31.1,60.6299,9976,20.82,17.6724,25.2,28.0825,43.8,17.313,47.1,41.3,13.4455,40.4155,5.51243,5.69407,3367,1108,4988,4988,5084,No,17.1946,0.0,1.66205,3985,"231.09 (212.80, 250.48)","322.56 (296.51, 350.16)","0.58 (0.38, 0.86)","3.05 (2.09, 4.18)","51.49 (46.55, 56.67)"
1013,Alabama,Butler,39254,67,52,4,57,4,51,4,54,4,57,4,51,4,57,4,25,2,17.3,19.6,15.1,16.5,41.9712,73.2742,27.1,73.6051,19504,22.057,21.3854,24.6,37.1214,39.7,12.5186,37.1,40.7,13.557,58.0238,5.33987,5.95155,3890,1219,2786,1500,11934,No,10.5061,1.78838,0.968703,7894,"248.07 (231.17, 265.13)","382.55 (357.04, 408.16)","0.42 (0.28, 0.59)","1.61 (1.07, 2.28)","75.09 (69.58, 80.45)"
1015,Alabama,Calhoun,36869,67,29,2,22,2,40,3,21,2,22,2,25,2,28,2,29,2,15.7,19.1,12.7,17.2,38.2687,70.3805,23.7,79.7653,113469,21.4006,18.5337,22.6,57.9763,35.9,12.9566,29.9,32.6,16.1706,170.814,4.93933,5.73842,1623,1418,1474,705,67180,No,10.8821,1.70978,0.777173,47349,"254.64 (242.05, 268.83)","368.25 (352.75, 385.64)","0.37 (0.27, 0.49)","1.50 (1.02, 2.09)","87.32 (83.60, 91.57)"
1017,Alabama,Chambers,33682,67,39,3,37,3,29,2,47,3,42,3,29,2,39,3,48,3,16.3,19.0,13.9,15.4,40.5105,67.2434,25.3,74.5251,32865,20.5294,20.5933,23.6,54.3643,39.5,15.1313,30.7,36.9,14.1963,114.668,5.10904,5.81217,2217,6573,4695,32865,19631,No,11.1589,2.98927,1.51683,14187,"276.12 (259.20, 294.32)","326.33 (307.48, 345.66)","0.35 (0.24, 0.51)","2.35 (1.63, 3.21)","84.00 (79.03, 88.98)"
1019,Alabama,Cherokee,37751,67,28,2,28,2,33,2,23,2,29,2,43,3,22,2,64,4,16.4,19.8,11.4,16.1,37.864,78.23,23.7,74.9908,26294,18.4871,24.2717,24.7,53.2719,34.3,10.9854,46.4,36.0,16.398,1.02396,5.18994,6.04696,2620,1315,6574,4382,15855,Yes,9.4894,1.41443,0.565771,10206,"235.96 (220.17, 252.34)","301.07 (281.80, 321.10)","0.24 (0.15, 0.35)","1.33 (0.82, 1.98)","93.04 (87.64, 98.97)"
1021,Alabama,Chilton,36195,67,22,2,38,3,16,1,29,2,41,3,47,3,27,2,57,4,16.6,19.0,12.3,17.2,38.7293,75.1342,25.1,74.6149,44397,23.7651,17.5034,23.9,42.353,39.2,14.6269,48.9,35.3,15.9551,41.7972,5.22881,5.90424,4443,3700,3415,1644,24668,No,11.5126,2.71642,0.895522,17573,"239.40 (223.86, 254.31)","351.70 (331.24, 372.54)","0.19 (0.13, 0.26)","1.15 (0.68, 1.79)","88.02 (83.11, 93.15)"
1023,Alabama,Choctaw,38651,67,49,3,35,3,44,3,49,3,58,4,13,1,29,2,40,3,17.4,20.1,14.7,18.9,41.7158,81.6135,27.3,62.8143,12418,19.7053,24.0135,24.6,64.1679,39.7,11.8692,49.1,37.8,14.1065,1.45685,5.41462,6.06564,2518,2484,2070,12418,7660,No,8.88889,1.40187,1.86916,4338,"206.42 (191.63, 222.39)","356.81 (332.12, 382.48)","0.29 (0.20, 0.41)","2.15 (1.39, 3.00)","60.19 (55.31, 64.85)"
