POPULATION_NAME,FISCAL_YEAR,RACE_GRP,TOTAL_CT,MHS1_CT,MHS5_CT
Alameda,2019,R1 Alaskan Native or American Indian,851.0,109.0,25.0
Alameda,2019,R2 Asian or Pacific Islander,81208.0,4318.0,911.0
Alameda,2019,R3 Black,53823.0,6484.0,1528.0
Alameda,2019,R4 Hispanic,73645.0,4357.0,891.0
Alameda,2019,R5 White,42397.0,5767.0,1924.0
Alameda,2019,R6 Other,51105.0,5540.0,1576.0
Alameda,2019,R7 Unknown,16880.0,1505.0,391.0
Alameda,2020,R1 Alaskan Native or American Indian,789.0,102.0,28.0
Alameda,2020,R2 Asian or Pacific Islander,77411.0,3967.0,860.0
Alameda,2020,R3 Black,49260.0,5917.0,1647.0
Alameda,2020,R4 Hispanic,68271.0,3941.0,873.0
Alameda,2020,R5 White,38878.0,5230.0,1799.0
Alameda,2020,R6 Other,61562.0,6623.0,2018.0
Alameda,2020,R7 Unknown,15371.0,1492.0,393.0
Alameda,2021,R1 Alaskan Native or American Indian,764.0,113.0,40.0
Alameda,2021,R2 Asian or Pacific Islander,75733.0,3879.0,999.0
Alameda,2021,R3 Black,46962.0,5682.0,1849.0
Alameda,2021,R4 Hispanic,66653.0,3990.0,1085.0
Alameda,2021,R5 White,36885.0,4997.0,1828.0
Alameda,2021,R6 Other,71851.0,7772.0,2679.0
Alameda,2021,R7 Unknown,16087.0,1357.0,397.0
Alameda,2022,R1 Alaskan Native or American Indian,811.0,119.0,43.0
Alameda,2022,R2 Asian or Pacific Islander,78722.0,3860.0,936.0
Alameda,2022,R3 Black,47912.0,5351.0,1670.0
Alameda,2022,R4 Hispanic,73524.0,4169.0,1117.0
Alameda,2022,R5 White,37825.0,4744.0,1688.0
Alameda,2022,R6 Other,82053.0,8571.0,2950.0
Alameda,2022,R7 Unknown,17961.0,1386.0,390.0
Alameda,2019,R1 Alaskan Native or American Indian,848.0,49.0,24.0
Alameda,2019,R2 Asian or Pacific Islander,81146.0,981.0,759.0
Alameda,2019,R3 Black,53663.0,3264.0,2105.0
Alameda,2019,R4 Hispanic,73461.0,1332.0,796.0
Alameda,2019,R5 White,42335.0,2313.0,1639.0
Alameda,2019,R6 Other,51009.0,1991.0,1373.0
Alameda,2019,R7 Unknown,15749.0,876.0,642.0
Alameda,2020,R1 Alaskan Native or American Indian,783.0,46.0,27.0
Alameda,2020,R2 Asian or Pacific Islander,77347.0,920.0,726.0
Alameda,2020,R3 Black,49114.0,2937.0,2034.0
Alameda,2020,R4 Hispanic,68094.0,1161.0,734.0
Alameda,2020,R5 White,38816.0,2071.0,1459.0
Alameda,2020,R6 Other,61418.0,2304.0,1582.0
Alameda,2020,R7 Unknown,14290.0,869.0,660.0
Alameda,2021,R1 Alaskan Native or American Indian,760.0,43.0,31.0
Alameda,2021,R2 Asian or Pacific Islander,75608.0,871.0,703.0
Alameda,2021,R3 Black,46813.0,2738.0,1988.0
Alameda,2021,R4 Hispanic,66276.0,1164.0,765.0
Alameda,2021,R5 White,36808.0,1804.0,1333.0
Alameda,2021,R6 Other,71645.0,2582.0,1874.0
Alameda,2021,R7 Unknown,13290.0,758.0,582.0
Alameda,2022,R1 Alaskan Native or American Indian,808.0,51.0,29.0
Alameda,2022,R2 Asian or Pacific Islander,78618.0,878.0,682.0
Alameda,2022,R3 Black,47750.0,2740.0,1969.0
Alameda,2022,R4 Hispanic,73117.0,1160.0,769.0
Alameda,2022,R5 White,37755.0,1715.0,1268.0
Alameda,2022,R6 Other,81848.0,2897.0,2051.0
Alameda,2022,R7 Unknown,14979.0,760.0,592.0
Alameda - Fee For Service,2019,R2 Asian or Pacific Islander,20412.0,564.0,63.0
Alameda - Fee For Service,2019,R3 Black,12437.0,1138.0,201.0
Alameda - Fee For Service,2019,R4 Hispanic,36619.0,526.0,69.0
Alameda - Fee For Service,2019,R5 White,11322.0,1094.0,239.0
Alameda - Fee For Service,2019,R6 Other,12390.0,621.0,117.0
Alameda - Fee For Service,2020,R2 Asian or Pacific Islander,19915.0,655.0,77.0
Alameda - Fee For Service,2020,R3 Black,11168.0,1054.0,244.0
Alameda - Fee For Service,2020,R4 Hispanic,32334.0,556.0,86.0
Alameda - Fee For Service,2020,R5 White,10960.0,1079.0,287.0
