Years,predicted_mean,% Change
2018,24771.0,
2019,12565.841758666682,-49.271964157011496
2020,11002.319212060604,-12.442640744920364
2021,10513.765132104883,-4.440464510611308
2022,10037.114654574396,-4.533584986362172
2023,8223.540829660193,-18.06867697867405
2024,6651.758929008483,-19.1132011527528
2024,11293.815290024415,69.78690013511779
2025,11202.727508540356,-0.8065279902754741
2026,11360.589831445062,1.4091418610723272
2027,11360.589831445062,0.0
2028,11360.589831445062,0.0
2029,11360.589831445062,0.0
2030,11360.589831445062,0.0
2031,11360.589831445062,0.0
2032,11360.589831445062,0.0
2033,11360.589831445062,0.0
2034,11360.589831445062,0.0
2035,11360.589831445062,0.0
2036,11360.589831445062,0.0
2037,11360.589831445062,0.0
2038,11360.589831445062,0.0
2039,11360.589831445062,0.0
2040,11360.589831445062,0.0
2041,11360.589831445062,0.0
2042,11360.589831445062,0.0
2043,11360.589831445062,0.0
2044,11360.589831445062,0.0
2045,11360.589831445062,0.0
2046,11360.589831445062,0.0
2047,11360.589831445062,0.0
2048,11360.589831445062,0.0
2049,11360.589831445062,0.0
2050,11360.589831445062,0.0
2051,11360.589831445062,0.0
2052,11360.589831445062,0.0
2053,11360.589831445062,0.0
2054,11360.589831445062,0.0
2055,11360.589831445062,0.0
2056,11360.589831445062,0.0
2057,11360.589831445062,0.0
2058,11360.589831445062,0.0
2059,11360.589831445062,0.0
2060,11360.589831445062,0.0
2061,11360.589831445062,0.0
2062,11360.589831445062,0.0
2063,11360.589831445062,0.0
2064,11360.589831445062,0.0
2065,11360.589831445062,0.0
2066,11360.589831445062,0.0
2067,11360.589831445062,0.0
2068,11360.589831445062,0.0
2069,11360.589831445062,0.0
2070,11360.589831445062,0.0
2071,11360.589831445062,0.0
2072,11360.589831445062,0.0
2073,11360.589831445062,0.0
2074,11360.589831445062,0.0
2075,11360.589831445062,0.0
2076,11360.589831445062,0.0
2077,11360.589831445062,0.0
2078,11360.589831445062,0.0
2079,11360.589831445062,0.0
2080,11360.589831445062,0.0
2081,11360.589831445062,0.0
2082,11360.589831445062,0.0
2083,11360.589831445062,0.0
2084,11360.589831445062,0.0
2085,11360.589831445062,0.0
2086,11360.589831445062,0.0
2087,11360.589831445062,0.0
2088,11360.589831445062,0.0
2089,11360.589831445062,0.0
2090,11360.589831445062,0.0
2091,11360.589831445062,0.0
2092,11360.589831445062,0.0
2093,11360.589831445062,0.0
2094,11360.589831445062,0.0
2095,11360.589831445062,0.0
2096,11360.589831445062,0.0
2097,11360.589831445062,0.0
2098,11360.589831445062,0.0
2099,11360.589831445062,0.0
2100,11360.589831445062,0.0
2101,11360.589831445062,0.0
2102,11360.589831445062,0.0
2103,11360.589831445062,0.0
2104,11360.589831445062,0.0
2105,11360.589831445062,0.0
2106,11360.589831445062,0.0
2107,11360.589831445062,0.0
2108,11360.589831445062,0.0
2109,11360.589831445062,0.0
2110,11360.589831445062,0.0
2111,11360.589831445062,0.0
2112,11360.589831445062,0.0
2113,11360.589831445062,0.0
2114,11360.589831445062,0.0
2115,11360.589831445062,0.0
2116,11360.589831445062,0.0
2117,11360.589831445062,0.0
2118,11360.589831445062,0.0
2119,11360.589831445062,0.0
2120,11360.589831445062,0.0
2121,11360.589831445062,0.0
2122,11360.589831445062,0.0
2123,11360.589831445062,0.0
2124,11360.589831445062,0.0
2125,11360.589831445062,0.0
2126,11360.589831445062,0.0
2127,11360.589831445062,0.0
2128,11360.589831445062,0.0
2129,11360.589831445062,0.0
2130,11360.589831445062,0.0
2131,11360.589831445062,0.0
2132,11360.589831445062,0.0
2133,11360.589831445062,0.0
2134,11360.589831445062,0.0
2135,11360.589831445062,0.0
2136,11360.589831445062,0.0
2137,11360.589831445062,0.0
2138,11360.589831445062,0.0
2139,11360.589831445062,0.0
2140,11360.589831445062,0.0
2141,11360.589831445062,0.0
2142,11360.589831445062,0.0
2143,11360.589831445062,0.0
2144,11360.589831445062,0.0
2145,11360.589831445062,0.0
2146,11360.589831445062,0.0
2147,11360.589831445062,0.0
2148,11360.589831445062,0.0
2149,11360.589831445062,0.0
2150,11360.589831445062,0.0
2151,11360.589831445062,0.0
2152,11360.589831445062,0.0
2153,11360.589831445062,0.0
2154,11360.589831445062,0.0
2155,11360.589831445062,0.0
2156,11360.589831445062,0.0
2157,11360.589831445062,0.0
2158,11360.589831445062,0.0
2159,11360.589831445062,0.0
2160,11360.589831445062,0.0
2161,11360.589831445062,0.0
2162,11360.589831445062,0.0
2163,11360.589831445062,0.0
2164,11360.589831445062,0.0
2165,11360.589831445062,0.0
2166,11360.589831445062,0.0
2167,11360.589831445062,0.0
2168,11360.589831445062,0.0
2169,11360.589831445062,0.0
2170,11360.589831445062,0.0
2171,11360.589831445062,0.0
2172,11360.589831445062,0.0
2173,11360.589831445062,0.0
2174,11360.589831445062,0.0
2175,11360.589831445062,0.0
2176,11360.589831445062,0.0
2177,11360.589831445062,0.0
