Years,predicted_mean,% Change
2018,7746.0,
2019,24357.762359680113,214.45600774180366
2020,21897.158797904405,-10.101927777441466
2021,19651.57097042109,-10.255156151574429
2022,19534.76896239214,-0.5943647365635907
2023,14771.465974147508,-24.38371806400591
2024,12408.281516917981,-15.998306880071944
2024,21935.216601987344,76.77884380750011
2025,20883.91039230347,-4.792777882068522
2026,21968.59713396439,5.193887166172995
2027,21968.59713396439,0.0
2028,21968.59713396439,0.0
2029,21968.59713396439,0.0
2030,21968.59713396439,0.0
2031,21968.59713396439,0.0
2032,21968.59713396439,0.0
2033,21968.59713396439,0.0
2034,21968.59713396439,0.0
2035,21968.59713396439,0.0
2036,21968.59713396439,0.0
2037,21968.59713396439,0.0
2038,21968.59713396439,0.0
2039,21968.59713396439,0.0
2040,21968.59713396439,0.0
2041,21968.59713396439,0.0
2042,21968.59713396439,0.0
2043,21968.59713396439,0.0
2044,21968.59713396439,0.0
2045,21968.59713396439,0.0
2046,21968.59713396439,0.0
2047,21968.59713396439,0.0
2048,21968.59713396439,0.0
2049,21968.59713396439,0.0
2050,21968.59713396439,0.0
2051,21968.59713396439,0.0
2052,21968.59713396439,0.0
2053,21968.59713396439,0.0
2054,21968.59713396439,0.0
2055,21968.59713396439,0.0
2056,21968.59713396439,0.0
2057,21968.59713396439,0.0
2058,21968.59713396439,0.0
2059,21968.59713396439,0.0
2060,21968.59713396439,0.0
2061,21968.59713396439,0.0
2062,21968.59713396439,0.0
2063,21968.59713396439,0.0
2064,21968.59713396439,0.0
2065,21968.59713396439,0.0
2066,21968.59713396439,0.0
2067,21968.59713396439,0.0
2068,21968.59713396439,0.0
2069,21968.59713396439,0.0
2070,21968.59713396439,0.0
2071,21968.59713396439,0.0
2072,21968.59713396439,0.0
2073,21968.59713396439,0.0
2074,21968.59713396439,0.0
2075,21968.59713396439,0.0
2076,21968.59713396439,0.0
2077,21968.59713396439,0.0
2078,21968.59713396439,0.0
2079,21968.59713396439,0.0
2080,21968.59713396439,0.0
2081,21968.59713396439,0.0
2082,21968.59713396439,0.0
2083,21968.59713396439,0.0
2084,21968.59713396439,0.0
2085,21968.59713396439,0.0
2086,21968.59713396439,0.0
2087,21968.59713396439,0.0
2088,21968.59713396439,0.0
2089,21968.59713396439,0.0
2090,21968.59713396439,0.0
2091,21968.59713396439,0.0
2092,21968.59713396439,0.0
2093,21968.59713396439,0.0
2094,21968.59713396439,0.0
2095,21968.59713396439,0.0
2096,21968.59713396439,0.0
2097,21968.59713396439,0.0
2098,21968.59713396439,0.0
2099,21968.59713396439,0.0
2100,21968.59713396439,0.0
2101,21968.59713396439,0.0
2102,21968.59713396439,0.0
2103,21968.59713396439,0.0
2104,21968.59713396439,0.0
2105,21968.59713396439,0.0
2106,21968.59713396439,0.0
2107,21968.59713396439,0.0
2108,21968.59713396439,0.0
2109,21968.59713396439,0.0
2110,21968.59713396439,0.0
2111,21968.59713396439,0.0
2112,21968.59713396439,0.0
2113,21968.59713396439,0.0
