Years,predicted_mean,% Change
2018,5551.0,
2019,5384.540844790242,-2.9987237472483885
2020,4590.264568624752,-14.751049329191801
2021,3906.5450606574786,-14.894991296157833
2022,3810.6999918718975,-2.453448438386896
2023,2967.7973247696336,-22.11936570446764
2024,2285.6538876848863,-22.984839004722012
2024,4590.212260181977,100.82709306575515
2025,3906.633045248481,-14.892104682461815
2026,3622.9605308250484,-7.26130432876092
2027,3736.0069519416643,3.12027746796546
2028,4036.4664532010024,8.042262905939834
2029,4319.200406181992,7.004491583394068
2030,4497.838731752552,4.135911945990722
2031,4582.813953242576,1.8892456256855095
2032,4614.596570253595,0.6935175055171383
2033,4624.148321506295,0.2069899525837693
