#publisher,California Health and Human Services 
#name,Year,predicted_mean,% Change
#datatype,'int','float','float'

Years,predicted_mean,% Change
2018,232.0,
2019,8.000584429921155,-96.55147222848225
2020,7.996062717431017,-0.05651727732822742
2021,6.000268722012919,-24.95970912118244
2022,6.003483676916303,0.053580182027324064
2023,7.683247809494329,27.979823432131656
2024,7.834679050020868,1.9709274551760858
2025,7.834679050020868,0.0
2026,7.834679050020868,0.0
2027,7.834679050020868,0.0
2028,7.834679050020868,0.0
2029,7.834679050020868,0.0
2030,7.834679050020868,0.0
2031,7.834679050020868,0.0
2032,7.834679050020868,0.0
