Years,predicted_mean,% Change
2018,232.0,
2019,63.4147167453761,-72.66607036837237
2020,63.505918030256524,0.14381722344769532
2021,39.731620711508214,-37.43634932955599
2022,49.05898370728053,23.475918748692415
2023,63.40435735428813,29.24107383186312
2024,63.43311215507039,0.04535145845194766
2025,63.43311215507039,0.0
2026,63.43311215507039,0.0
2027,63.43311215507039,0.0
2028,63.43311215507039,0.0
2029,63.43311215507039,0.0
2030,63.43311215507039,0.0
2031,63.43311215507039,0.0
2032,63.43311215507039,0.0
