Years,predicted_mean,% Change
2018,232.0,
2019,13020.761048782191,5512.397003785427
2020,13004.666931035983,-0.12360351047002727
2021,6724.084524709195,-48.29483476687905
2022,8544.649970176602,27.07529090060248
2023,13007.137328365194,52.225513903600664
2024,13012.886034093724,0.04419654827503283
2025,13012.886034093724,0.0
2026,13012.886034093724,0.0
2027,13012.886034093724,0.0
2028,13012.886034093724,0.0
2029,13012.886034093724,0.0
2030,13012.886034093724,0.0
2031,13012.886034093724,0.0
2032,13012.886034093724,0.0
