Years,predicted_mean,% Change
2018,232.0,
2019,277.9548733265201,19.80813505453454
2020,245.2284829950168,-11.773994080348016
2021,127.97624781731012,-47.813465118605045
2022,121.86297368916956,-4.7768818295621855
2023,244.6690034225657,100.77386593784587
2024,261.09965321281993,6.715460299593801
2025,261.09965321281993,0.0
2026,261.09965321281993,0.0
2027,261.09965321281993,0.0
2028,261.09965321281993,0.0
2029,261.09965321281993,0.0
2030,261.09965321281993,0.0
2031,261.09965321281993,0.0
2032,261.09965321281993,0.0
