Years,predicted_mean,% Change
2018,232.0,
2019,1.8782792158723964,-99.19039688971017
2020,2.0642101209747716,9.89900242366344
2021,1.0252607471451343,-50.33157057378537
2022,0.9717915914224627,-5.215176321882775
2023,1.8051998283616462,85.75997614048912
2024,1.6830650467261796,-6.765720875694581
2025,1.6830650467261796,0.0
2026,1.6830650467261796,0.0
2027,1.6830650467261796,0.0
2028,1.6830650467261796,0.0
2029,1.6830650467261796,0.0
2030,1.6830650467261796,0.0
2031,1.6830650467261796,0.0
2032,1.6830650467261796,0.0
