Years,predicted_mean,% Change
2018,0.0,
2019,59.26382510186048,inf
2020,59.974848375977956,1.1997593353034297
2021,57.682028247733875,-3.8229694452423746
2024,60.108757851078686,4.207080917686268
2025,59.549728851834615,-0.930029199121174
2026,59.549728851834615,0.0
2027,59.549728851834615,0.0
2028,59.54970450274829,-4.088866026874527e-05
2029,59.54975320092094,8.177735397740804e-05
2030,59.549728851834615,-4.088864355988875e-05
2031,59.549728851834615,0.0
2032,59.549728851834615,0.0
2033,59.549728851834615,0.0
2034,59.549728851834615,0.0
2035,59.549728851834615,0.0
2036,59.549728851834615,0.0
2037,59.549728851834615,0.0
2038,59.549728851834615,0.0
2039,59.549728851834615,0.0
2040,59.549728851834615,0.0
2041,59.549728851834615,0.0
2042,59.549728851834615,0.0
2043,59.549728851834615,0.0
2044,59.549728851834615,0.0
2045,59.549728851834615,0.0
2046,59.549728851834615,0.0
2047,59.549728851834615,0.0
2048,59.549728851834615,0.0
2049,59.549728851834615,0.0
2050,59.549728851834615,0.0
2051,59.549728851834615,0.0
2052,59.549728851834615,0.0
2053,59.549728851834615,0.0
2054,59.549728851834615,0.0
2055,59.549728851834615,0.0
2056,59.549728851834615,0.0
2057,59.549728851834615,0.0
2058,59.549728851834615,0.0
2059,59.549728851834615,0.0
2060,59.549728851834615,0.0
2061,59.549728851834615,0.0
2062,59.549728851834615,0.0
2063,59.549728851834615,0.0
2064,59.549728851834615,0.0
2065,59.549728851834615,0.0
2066,59.549728851834615,0.0
2067,59.549728851834615,0.0
2068,59.549728851834615,0.0
2069,59.549728851834615,0.0
2070,59.549728851834615,0.0
2071,59.549728851834615,0.0
2072,59.549728851834615,0.0
2073,59.549728851834615,0.0
2074,59.54972872322056,-2.1597756916236222e-07
2075,59.54972898044867,4.3195513832472443e-07
2076,59.549728851834615,-2.1597756916236222e-07
2077,59.549728851834615,0.0
2078,59.549728851834615,0.0
2079,59.22744887090782,-0.5411947075840695
2080,59.87200883276141,1.0882791241920042
2081,59.549728851834615,-0.5382815562895327
2082,59.549728851834615,0.0
2083,59.549728851834615,0.0
2084,59.54818657902933,-0.002589890558735153
2085,59.551271124639904,0.005179915271624758
2086,59.549728851834615,-0.002589823485144027
2087,59.549728851834615,0.0
2088,59.549728851834615,0.0
2089,59.5497288518346,-2.220446049250313e-14
2090,59.54972885183463,4.440892098500626e-14
2091,59.549728851834615,-2.220446049250313e-14
2092,59.549728851834615,0.0
2093,59.549728851834615,0.0
2094,59.549728851834615,0.0
2095,59.549728851834615,0.0
2096,59.549728851834615,0.0
2097,59.549728851834615,0.0
2098,59.549728851834615,0.0
2099,59.549728851834615,0.0
2100,59.549728851834615,0.0
2101,59.549728851834615,0.0
2102,59.549728851834615,0.0
2103,59.549728851834615,0.0
2104,59.549728851834615,0.0
2105,59.549728851834615,0.0
2106,59.549728851834615,0.0
2107,59.549728851834615,0.0
2108,59.549728851834615,0.0
2109,59.549728851834615,0.0
2110,59.549728851834615,0.0
2111,59.549728851834615,0.0
2112,59.549728851834615,0.0
2113,59.549728851834615,0.0
2114,59.549728851834615,0.0
2115,59.549728851834615,0.0
2116,59.549728851834615,0.0
2117,59.549728851834615,0.0
2118,59.549728851834615,0.0
2119,59.549728851834615,0.0
2120,59.549728851834615,0.0
2121,59.549728851834615,0.0
2122,59.549728851834615,0.0
2123,59.549728851834615,0.0
2124,59.549728851834615,0.0
2125,59.549728851834615,0.0
2126,59.549728851834615,0.0
2127,59.549728851834615,0.0
2128,59.549728851834615,0.0
2129,59.549728851834615,0.0
