Years,predicted_mean,% Change
2018,138.0,
2019,0.0,-100.0
2020,0.0,
2021,0.0,
2024,-0.002317955197724356,-inf
2025,-0.012024558219488736,418.7571455778698
2026,-0.012024558219488736,0.0
2027,-0.012024558219488736,0.0
2028,-0.012024558219488736,0.0
2029,-0.012024558219488736,0.0
2030,-0.012024558219488736,0.0
2031,-0.012024558219488736,0.0
2032,-0.012024558219488736,0.0
2033,-0.012024558219488736,0.0
2034,-0.012024558219488736,0.0
2035,-0.012024558219488736,0.0
2036,-0.012024558219488736,0.0
2037,-0.012024558219488736,0.0
2038,-0.012024558219488736,0.0
2039,-0.012024558219488736,0.0
2040,-0.012024558219488736,0.0
2041,-0.012024558219488736,0.0
2042,-0.012024558219488736,0.0
2043,-0.012024558219488736,0.0
2044,-0.012024558219488736,0.0
2045,-0.012024558219488736,0.0
2046,-0.01202520626561556,0.0053893549766703686
2047,-0.012023910173361912,-0.010778129081689958
2048,-0.012024558219488736,0.005389645443787394
2049,-0.012024558219488736,0.0
2050,-0.012024558219488736,0.0
2051,-0.012024558219488736,0.0
2052,-0.012024558219488736,0.0
2053,-0.012024558219488736,0.0
2054,-0.012024558219488736,0.0
2055,-0.012024558219488736,0.0
2056,-0.012024558219488736,0.0
2057,-0.012024558219488736,0.0
2058,-0.012024558219488736,0.0
2059,-0.012024558219488736,0.0
2060,-0.012024558219488736,0.0
2061,-0.012024558219488736,0.0
2062,-0.012024558219488736,0.0
2063,-0.012024558219488736,0.0
2064,-0.012024558219488736,0.0
2065,-0.012024558219488736,0.0
2066,-0.012024558219488736,0.0
2067,-0.012024558219488736,0.0
2068,-0.012024558219488736,0.0
2069,-0.012024558219488736,0.0
2070,-0.012024558219488736,0.0
2071,-0.012024558219488736,0.0
2072,-0.01202460769119531,0.00041142223832224545
2073,-0.01202450874778216,-0.0008228410912969331
2074,-0.012024558219488736,0.0004114239310126777
2075,-0.012024558219488736,0.0
2076,-0.012024558219488736,0.0
2077,-0.012024558219488736,0.0
2078,-0.012024558219488736,0.0
2079,-0.012024558219488736,0.0
2080,-0.012024558219488736,0.0
2081,-0.012024558219488736,0.0
2082,-0.012024558219488736,0.0
2083,-0.012024558219488736,0.0
2084,-0.012024558219488736,0.0
2085,-0.012024558219488736,0.0
2086,-0.012024558219488736,0.0
2087,-0.012024558219488736,0.0
2088,-0.012024558219488736,0.0
2089,-0.012024558219488736,0.0
2090,-0.012024558219488736,0.0
2091,-0.012024558219488736,0.0
2092,-0.012024558219488736,0.0
2093,-0.012024558219488736,0.0
2094,-0.012024558219488736,0.0
2095,-0.020357282115857307,69.2975471054176
2096,-0.0036918343231201658,-81.86479755937354
2097,-0.012024558219488736,225.70687541921276
2098,-0.012024558219488736,0.0
2099,-0.012024558219488736,0.0
2100,-0.012024558219488736,0.0
2101,-0.012024558219488736,0.0
2102,-0.012024558219488736,0.0
2103,-0.012024558219488736,0.0
2104,-0.012024558219488736,0.0
2105,-0.012024558219488736,0.0
2106,-0.012024558219488736,0.0
2107,-0.012024558219488736,0.0
2108,-0.012024558219488736,0.0
2109,-0.012024558219488736,0.0
2110,-0.012024558219488736,0.0
2111,-0.012024558219488736,0.0
2112,-0.012024558219488736,0.0
2113,-0.012024558219488736,0.0
2114,-0.012024558219488736,0.0
2115,-0.012024558219488736,0.0
2116,-0.012024558219488736,0.0
2117,-0.012024558219488736,0.0
2118,-0.012030820907351514,0.05208247777974684
2119,-0.012018295531625957,-0.10411073211058497
2120,-0.012024558219488736,0.052109617759854565
2121,-0.012024558219488736,0.0
2122,-0.012024558219488736,0.0
2123,-0.012024558219488736,0.0
2124,-0.012024558219488736,0.0
2125,-0.012024558219488736,0.0
2126,-0.012024558219488736,0.0
2127,-0.012024558219488736,0.0
2128,-0.012024558219488736,0.0
2129,-0.012024558219488736,0.0
