Years,predicted_mean,% Change
2018,45.0,
2019,36389.25620135096,80765.0137807799
2020,35445.83450344319,-2.592583076410182
2021,33534.33633482091,-5.3927300496666275
2024,35838.930737225164,6.872342363940698
2025,35917.455101473424,0.21910353527008208
2026,35917.455101473424,0.0
2027,35917.455101473424,0.0
2028,35917.455101473424,0.0
2029,35917.455101473424,0.0
2030,35917.455101473424,0.0
2031,35917.455101473424,0.0
2032,35917.455101473424,0.0
2033,35917.455101473424,0.0
2034,35917.455101473424,0.0
2035,35917.455101473424,0.0
2036,35917.455101473424,0.0
2037,35917.455101473424,0.0
2038,35917.455101473424,0.0
2039,35917.455101473424,0.0
2040,35917.455101473424,0.0
2041,35917.455101473424,0.0
2042,35917.455101473424,0.0
2043,35917.455101473424,0.0
2044,35917.455101473424,0.0
2045,35917.455101473424,0.0
2046,35917.455101473424,0.0
2047,35917.455101473424,0.0
2048,35917.455101473424,0.0
2049,35917.455101473424,0.0
2050,35917.455101473424,0.0
2051,35917.455101473424,0.0
2052,35917.455101473424,0.0
2053,35917.455101473424,0.0
2054,35917.455101473424,0.0
2055,35917.455101473424,0.0
2056,35917.455101473424,0.0
2057,35917.455101473424,0.0
2058,35917.455101473424,0.0
2059,35917.455101473424,0.0
2060,35917.455101473424,0.0
2061,35917.455101473424,0.0
2062,35917.455101473424,0.0
2063,35917.455101473424,0.0
2064,35917.455101473424,0.0
2065,35917.455101473424,0.0
2066,35917.455101473424,0.0
2067,35917.455101473424,0.0
2068,35917.455101473424,0.0
2069,35917.455101473424,0.0
2070,35917.455101473424,0.0
2071,35917.455101473424,0.0
2072,35917.455101473424,0.0
2073,35917.455101473424,0.0
2074,35917.455101473424,0.0
2075,35917.455101473424,0.0
2076,35917.455101473424,0.0
2077,35917.455101473424,0.0
2078,35917.455101473424,0.0
2079,35917.455101473424,0.0
2080,35917.455101473424,0.0
2081,35917.455101473424,0.0
2082,35917.455101473424,0.0
2083,35917.455101473424,0.0
2084,35917.455101473424,0.0
2085,35917.455101473424,0.0
2086,35917.455101473424,0.0
2087,35917.455101473424,0.0
2088,35917.455101473424,0.0
2089,35917.455101473424,0.0
2090,35917.455101473424,0.0
2091,35917.455101473424,0.0
2092,35917.455101473424,0.0
2093,35917.455101473424,0.0
2094,35917.455101473424,0.0
2095,35917.455101473424,0.0
2096,35917.455101473424,0.0
2097,35917.455101473424,0.0
2098,35917.455101473424,0.0
2099,35917.455101473424,0.0
2100,35917.455101473424,0.0
2101,35917.455101473424,0.0
2102,35917.455101473424,0.0
2103,35917.455101473424,0.0
2104,35917.455101473424,0.0
2105,35917.455101473424,0.0
2106,35917.455101473424,0.0
2107,35917.455101473424,0.0
2108,35917.455101473424,0.0
2109,35917.455101473424,0.0
2110,35917.455101473424,0.0
2111,35917.455101473424,0.0
2112,35917.455101473424,0.0
2113,35917.455101473424,0.0
2114,35917.455101473424,0.0
2115,35917.455101473424,0.0
2116,35917.455101473424,0.0
2117,35917.455101473424,0.0
2118,35917.455101473424,0.0
2119,35917.455101473424,0.0
2120,35917.455101473424,0.0
2121,35917.455101473424,0.0
2122,35917.455101473424,0.0
2123,35917.455101473424,0.0
2124,35917.455101473424,0.0
2125,35917.455101473424,0.0
2126,35917.455101473424,0.0
2127,35917.455101473424,0.0
2128,35917.455101473424,0.0
2129,35917.455101473424,0.0
2130,35917.455101473424,0.0
2131,35917.455101473424,0.0
2132,35917.455101473424,0.0
2133,35917.455101473424,0.0
2134,35917.455101473424,0.0
2135,35917.455101473424,0.0
2136,35917.455101473424,0.0
2137,35917.455101473424,0.0
2138,35917.455101473424,0.0
2139,35917.455101473424,0.0
2140,35917.455101473424,0.0
2141,35917.455101473424,0.0
2142,35917.455101473424,0.0
2143,35917.455101473424,0.0
2144,35917.455101473424,0.0
2145,35917.455101473424,0.0
2146,35917.455101473424,0.0
2147,35917.455101473424,0.0
2148,35917.455101473424,0.0
2149,35917.455101473424,0.0
2150,35917.455101473424,0.0
2151,35917.455101473424,0.0
2152,35917.455101473424,0.0
2153,35917.455101473424,0.0
2154,35917.455101473424,0.0
2155,35917.455101473424,0.0
2156,35917.455101473424,0.0
2157,35917.455101473424,0.0
2158,35917.455101473424,0.0
2159,35917.455101473424,0.0
2160,35917.455101473424,0.0
2161,35917.455101473424,0.0
2162,35917.455101473424,0.0
2163,35917.455101473424,0.0
2164,35917.455101473424,0.0
2165,35917.455101473424,0.0
2166,35917.455101473424,0.0
2167,35917.455101473424,0.0
2168,35917.455101473424,0.0
2169,35917.455101473424,0.0
2170,35917.455101473424,0.0
2171,35917.455101473424,0.0
2172,35917.455101473424,0.0
2173,35917.455101473424,0.0
2174,35917.455101473424,0.0
2175,35917.455101473424,0.0
2176,35917.455101473424,0.0
2177,35917.455101473424,0.0
2178,35917.455101473424,0.0
