Years,predicted_mean,% Change
2018,0.0,
2019,0.0,
2020,0.0,
2021,0.0,
2024,-0.36307293773167404,-inf
2025,-0.35682094688416066,-1.7219655330339867
2026,-0.35682094688416066,0.0
2027,-0.35682094688416066,0.0
2028,-0.35682094688416066,0.0
2029,-0.35682094688416066,0.0
2030,-0.35682094688416066,0.0
2031,-0.35682094688416066,0.0
2032,-0.35682094688416066,0.0
2033,-0.35682094688416066,0.0
2034,-0.35682094688416066,0.0
2035,-0.35682094688416066,0.0
2036,-0.35682094688416066,0.0
2037,-0.35682094688416066,0.0
2038,-0.35682094688416066,0.0
2039,-0.35682094688416066,0.0
2040,-0.35682094688416066,0.0
2041,-0.35682094688416066,0.0
2042,-0.3568209468841051,-1.5576429035490946e-11
2043,-0.35682094688421623,3.115285807098189e-11
2044,-0.35408482126941204,-0.7668063320542706
2045,-0.3595570724989093,1.5454633750972224
2046,-0.35682094688416066,-0.7609711570217836
2047,-0.35682094688416066,0.0
2048,-0.35682094688416066,0.0
2049,-0.35682094688416066,0.0
2050,-0.35682094688416066,0.0
2051,-0.35682094688416066,0.0
2052,-0.35682094688416066,0.0
2053,-0.35682094688416066,0.0
2054,-0.35682094688416066,0.0
2055,-0.35682094688416066,0.0
2056,-0.35682094688416066,0.0
2057,-0.35682094688416066,0.0
2058,-0.35682094688416066,0.0
2059,-0.35682094688416066,0.0
2060,-0.35682094688416066,0.0
2061,-0.35682094688416066,0.0
2062,-0.35682094688416066,0.0
2063,-0.35682094666191183,-6.228580984313226e-08
2064,-0.3568209471064095,1.245716196862645e-07
2065,-0.3565911962292646,-0.06438828185620915
2066,-0.3570506975390567,0.12885940950058128
2067,-0.35682094688416066,-0.06434678785942616
2068,-0.35682094688416066,0.0
2069,-0.35682094688416066,0.0
2070,-0.35682094688416066,0.0
2071,-0.35682094688416066,0.0
2072,-0.35682094688416066,0.0
2073,-0.35682094688416066,0.0
2074,-0.35682094688416066,0.0
2075,-0.35682094688416066,0.0
2076,-0.35682094688416066,0.0
2077,-0.35682094688416066,0.0
2078,-0.35682094688416066,0.0
2079,-0.35682094688416066,0.0
2080,-0.35682094688416066,0.0
2081,-0.35682094688416066,0.0
2082,-0.35682094688416066,0.0
2083,-0.35682094688416066,0.0
2084,-0.35682077030087156,-4.9487926823132966e-05
2085,-0.35682112346744976,9.897590262930578e-05
2086,-0.3568172256948609,-0.001092360382415336
2087,-0.3568246680734604,0.0020857677442531752
2088,-0.35682094688416066,-0.0010428621204483512
2089,-0.35682094688416066,0.0
2090,-0.35682094688416066,0.0
2091,-0.35682094688416066,0.0
2092,-0.35682094688416066,0.0
2093,-0.35682094688416066,0.0
2094,-0.35682094688416066,0.0
2095,-0.35682094688416066,0.0
2096,-0.35682094688416066,0.0
2097,-0.35682094688416066,0.0
2098,-0.35682094688416066,0.0
