Years,predicted_mean,% Change
2018,0.0,
2019,50.46490573945929,inf
2020,46.8152544236608,-7.232058124988782
2021,44.283532324832244,-5.407899903560065
2024,46.842838097508896,5.77936230087388
2025,48.63238253038922,3.820315987590628
2026,48.63238253038922,0.0
2027,48.63238253038922,0.0
2028,48.63238253038922,0.0
2029,48.63238253038922,0.0
2030,48.63238253038922,0.0
2031,48.63238253038922,0.0
2032,48.63238253038922,0.0
2033,48.63238253038922,0.0
2034,48.63238253038922,0.0
2035,48.63238253038922,0.0
2036,48.63238253038922,0.0
2037,48.63238253038922,0.0
2038,48.63238253038922,0.0
2039,48.63238253038922,0.0
2040,48.63238253038922,0.0
2041,48.63238253038922,0.0
2042,48.63238253038922,0.0
2043,48.63238253038922,0.0
2044,48.63238253038922,0.0
2045,48.63238253038922,0.0
2046,48.63238253038922,0.0
2047,48.63238253038922,0.0
2048,48.63238253038922,0.0
2049,48.63238253038922,0.0
2050,48.63238253038922,0.0
2051,48.63238253038922,0.0
2052,48.63238253038922,0.0
2053,48.63238253038922,0.0
2054,48.63238253038922,0.0
2055,48.63238253038922,0.0
2056,48.63238253038922,0.0
2057,48.63238253038922,0.0
2058,48.63238253038922,0.0
2059,48.63238253038922,0.0
2060,48.63238253038922,0.0
2061,48.63238253038922,0.0
2062,48.63238253038922,0.0
2063,48.63238253038922,0.0
2064,48.63238253038922,0.0
2065,48.63238253038922,0.0
2066,48.63238253038922,0.0
2067,48.63238253038922,0.0
2068,48.63238253038922,0.0
2069,48.63238253038922,0.0
2070,48.63238253038922,0.0
2071,48.63238253038922,0.0
2072,48.63238253038922,0.0
2073,48.63238253038922,0.0
2074,48.63238253038922,0.0
2075,48.63238253038922,0.0
2076,48.63238253038922,0.0
2077,48.63238253038922,0.0
2078,48.63238253038922,0.0
2079,48.63238253038922,0.0
2080,48.63238253038922,0.0
2081,48.63238253038922,0.0
2082,48.63238253038922,0.0
2083,48.63238253038922,0.0
2084,48.63238253038922,0.0
2085,48.63238253038922,0.0
2086,48.63238253038922,0.0
2087,48.63238253038922,0.0
2088,48.63238253038922,0.0
2089,48.63238253038922,0.0
2090,48.63238253038922,0.0
2091,48.63238253038922,0.0
2092,48.63238253038922,0.0
2093,48.63238253038922,0.0
2094,48.63238253038922,0.0
2095,48.63238253038922,0.0
2096,48.63238253038922,0.0
2097,48.63238253038922,0.0
2098,48.63238253038922,0.0
2099,48.63238253038922,0.0
2100,48.63238253038922,0.0
2101,48.63238253038922,0.0
2102,48.63238253038922,0.0
2103,48.63238253038922,0.0
2104,48.63238253038922,0.0
2105,48.63238253038922,0.0
2106,48.632382530390714,3.064215547965432e-12
2107,48.63238253038773,-6.139533326177116e-12
2108,48.63238253038922,3.064215547965432e-12
2109,48.63238253038922,0.0
2110,48.63238253038922,0.0
2111,48.63238253038922,0.0
2112,48.63238253038922,0.0
2113,48.63238253038922,0.0
2114,48.63238253038922,0.0
2115,48.63238253038922,0.0
2116,48.63238253038922,0.0
2117,48.63238253038922,0.0
2118,48.63238253038922,0.0
2119,48.63238253038922,0.0
2120,48.63238253038922,0.0
2121,48.63238253038922,0.0
2122,48.63238253038922,0.0
2123,48.63238253038922,0.0
2124,48.63238253038922,0.0
