Years,predicted_mean,% Change
2018,0.0,
2019,8.576653540620148,inf
2020,4.12867568235195,-51.86146131707425
2021,-2.3138186364056628,-156.04263484041857
2024,6.24664973176482,-369.9714503755793
2025,6.467440875081255,3.5345529651469088
2026,6.467440875081255,0.0
2027,6.467440875081255,0.0
2028,6.467440875081255,0.0
2029,6.467440875081255,0.0
2030,6.467440875081255,0.0
2031,6.467440875081255,0.0
2032,6.467440875081255,0.0
2033,6.467440875081255,0.0
2034,6.467440875081255,0.0
2035,6.467440875081255,0.0
2036,6.467440875081255,0.0
2037,6.467440875081255,0.0
2038,6.467440875081255,0.0
2039,6.467440875081255,0.0
2040,6.467440875081255,0.0
2041,6.467440875081255,0.0
2042,6.467440875081255,0.0
2043,6.467440875081255,0.0
2044,6.467440875081255,0.0
2045,6.467440875081255,0.0
2046,6.467440875081255,0.0
2047,6.467440875081255,0.0
2048,6.467440875081255,0.0
2049,6.467440875081255,0.0
2050,6.467440875081255,0.0
2051,6.467440875081255,0.0
2052,6.4674419989505,1.7377340855162515e-05
2053,6.4674397512120105,-3.4754675648507316e-05
2054,6.467440875081255,1.7377343874969142e-05
2055,6.467440875081255,0.0
2056,6.467440875081255,0.0
2057,6.467440875081255,0.0
2058,6.467440875081255,0.0
2059,6.467440875081255,0.0
2060,6.467440875081255,0.0
2061,6.467440875081255,0.0
2062,6.467440875081255,0.0
2063,6.467440875081255,0.0
2064,6.467440875081255,0.0
2065,6.467440875081255,0.0
2066,6.467440875081255,0.0
2067,6.467440875081255,0.0
2068,6.467440875081255,0.0
2069,6.467440875081255,0.0
2070,6.467440875081255,0.0
2071,6.467440875081255,0.0
2072,6.467440875081255,0.0
2073,6.467440875081255,0.0
2074,6.467440875081255,0.0
2075,6.467440875582434,7.749267894041623e-09
2076,6.467440874580077,-1.5498513583622753e-08
2077,6.467440875081255,7.749267894041623e-09
2078,6.467440875081255,0.0
2079,6.467440875081255,0.0
2080,6.467440875081255,0.0
2081,6.467440875081255,0.0
2082,6.467440875081255,0.0
2083,6.467440875081255,0.0
2084,6.467440875081255,0.0
2085,6.467440875081255,0.0
2086,6.467440875081255,0.0
2087,6.467440875081255,0.0
2088,6.467440875081255,0.0
2089,6.467440875081255,0.0
2090,6.467440875081255,0.0
2091,6.467440875081255,0.0
2092,6.467440875081255,0.0
2093,6.467440875081255,0.0
2094,6.467440875081255,0.0
2095,6.467440875081255,0.0
2096,6.467440875081255,0.0
2097,6.467440875081255,0.0
2098,6.467440875081255,0.0
2099,6.467440875081255,0.0
2100,6.467440875081255,0.0
2101,6.467440875081255,0.0
2102,6.467440875081255,0.0
2103,6.467440875081255,0.0
2104,6.553451957581957,1.3299090654558254
2105,6.381429792580554,-2.624909225166183
2106,6.467440875081255,1.3478340324405647
2107,6.467440875081255,0.0
2108,6.467440875081255,0.0
2109,6.467440875081255,0.0
2110,6.467440875081255,0.0
2111,6.467440875081255,0.0
2112,6.467440875081255,0.0
2113,6.467440875081255,0.0
2114,6.467440875081255,0.0
2115,6.467440875081255,0.0
2116,6.467440875081255,0.0
2117,6.467440875081255,0.0
2118,6.467440875081255,0.0
2119,6.467440875081255,0.0
2120,6.467440875081255,0.0
2121,6.467440875081255,0.0
2122,6.467440875081255,0.0
2123,6.467440875081255,0.0
2124,6.467440875081255,0.0
2125,6.467440875081255,0.0
