Years,predicted_mean,% Change
2018,0.0,
2019,-0.02054905289059425,-inf
2020,0.04318199994456441,-310.14107158354614
2021,-0.022041006735663005,-151.04211653920268
2024,-0.1274541399714903,478.2591580323131
2025,-0.10460899597907794,-17.92420708932836
2026,-0.10460899597907794,0.0
2027,-0.10460899597907794,0.0
2028,-0.10460899597907794,0.0
2029,-0.10460899597907794,0.0
2030,-0.10460899597907794,0.0
2031,-0.10460899597907794,0.0
2032,-0.09843270900798387,-5.904164276970347
2033,-0.11078528295017201,12.549257321756958
2034,-0.10460899597907794,-5.575006721670772
2035,-0.10460899597907794,0.0
2036,-0.10460899597907794,0.0
2037,-0.10460899597907794,0.0
2038,-0.10460899597907794,0.0
2039,-0.10460899597907794,0.0
2040,-0.10460899597907794,0.0
2041,-0.10448640541966674,-0.11718930887714141
2042,-0.10473158653848914,0.23465360669423507
2043,-0.10460899597907794,-0.1170521362876098
2044,-0.10460899597907794,0.0
2045,-0.10460899597907794,0.0
2046,-0.10460899597907794,0.0
2047,-0.10460899597907794,0.0
2048,-0.10460899597907794,0.0
2049,-0.10460899597907794,0.0
2050,-0.10460881494405123,-0.00017305875561479667
2051,-0.10460917701410465,0.0003461181102171196
2052,-0.10460899597907794,-0.00017305845612103354
2053,-0.10460899597907794,0.0
2054,-0.10460899597907794,0.0
2055,-0.10460899597907794,0.0
2056,-0.10460899597907794,0.0
2057,-0.10460899597907794,0.0
2058,-0.10460899597907794,0.0
2059,-0.1046089959587424,-1.9439572174206887e-08
2060,-0.10460899599941348,3.8879144348413774e-08
2061,-0.10460899597907794,-1.9439572174206887e-08
2062,-0.10460899597907794,0.0
2063,-0.10460899597907794,0.0
2064,-0.10460899597907794,0.0
2065,-0.10460899597907794,0.0
2066,-0.10460899597907794,0.0
2067,-0.10460899597907794,0.0
2068,-0.10460899597907776,-1.7763568394002505e-13
2069,-0.10460899597907812,3.552713678800501e-13
2070,-0.10460899597907794,-1.7763568394002505e-13
2071,-0.10460899597907794,0.0
2072,-0.10460899597907794,0.0
2073,-0.10460899597907794,0.0
2074,-0.10460899597907794,0.0
2075,-0.10460899597907794,0.0
2076,-0.10460899597907794,0.0
2077,-0.10460899597907794,0.0
2078,-0.10460899597907794,0.0
2079,-0.10460899597907794,0.0
2080,-0.10460899597907794,0.0
2081,-0.10460899597907794,0.0
2082,-0.10460899597907794,0.0
2083,-0.10460899597907794,0.0
2084,-0.10460899597907793,-1.1102230246251565e-14
2085,-0.10460899597907795,2.220446049250313e-14
2086,-0.10460899597907794,-1.1102230246251565e-14
2087,-0.10460899597907794,0.0
2088,-0.10460899597907794,0.0
2089,-0.10460899597907794,0.0
2090,-0.10460899597907794,0.0
2091,-0.10460899597907794,0.0
2092,-0.10460899597907794,0.0
2093,-0.10460899597668552,-2.2870150218068375e-09
2094,-0.10460899598147036,4.574030043613675e-09
2095,-0.10460899597907794,-2.2870150218068375e-09
2096,-0.10460899597907794,0.0
2097,-0.10460899597907794,0.0
2098,-0.10460899597907794,0.0
2099,-0.10460899597907794,0.0
2100,-0.10460899597907794,0.0
2101,-0.10460899597907794,0.0
2102,-0.10460896032445546,-3.408370584656595e-05
2103,-0.10460903163370042,6.816743491899757e-05
2104,-0.10460899597907794,-3.408369422253088e-05
2105,-0.10460899597907794,0.0
2106,-0.10460899597907794,0.0
2107,-0.10460899597907794,0.0
2108,-0.10460899597907794,0.0
2109,-0.10460899597907794,0.0
2110,-0.10460899597907794,0.0
2111,-0.10456835381088363,-0.03885150393990733
