Years,predicted_mean,% Change
2018,23.0,
2019,1.3585028085885726,-94.0934660496149
2020,9.200030085075106,577.2183338092286
2021,14.774250970321209,60.58915931469584
2024,9.087767919280232,-38.489146166963664
2025,5.280535144521718,-41.894036121688885
2026,5.280535144521718,0.0
2027,5.280535144521718,0.0
2028,5.280535144521718,0.0
2029,5.280535144521718,0.0
2030,5.280535144521718,0.0
2031,5.280535144521718,0.0
2032,5.280535144521718,0.0
2033,5.280535144521718,0.0
2034,5.280535144521718,0.0
2035,5.280535144521718,0.0
2036,5.280535144521718,0.0
2037,5.280535144521718,0.0
2038,5.280535144521718,0.0
2039,5.280535144521718,0.0
2040,5.280535144521718,0.0
2041,5.280535144521718,0.0
2042,5.280535144521718,0.0
2043,5.280535144521718,0.0
2044,5.280535144521718,0.0
2045,5.280535144521718,0.0
2046,5.280535144521718,0.0
2047,5.280535144521718,0.0
2048,5.280535144521718,0.0
2049,5.280535144521718,0.0
2050,5.280535144521718,0.0
2051,5.280535144521718,0.0
2052,5.280535144521718,0.0
2053,5.280535144521718,0.0
2054,5.280535144521718,0.0
2055,5.280535144521718,0.0
2056,5.280535144521718,0.0
2057,5.280535144521718,0.0
2058,5.280535144521718,0.0
2059,5.280535144521718,0.0
2060,5.280535144521718,0.0
2061,5.280535144521718,0.0
2062,5.280535144521718,0.0
2063,5.280535144521718,0.0
2064,5.280535144521718,0.0
2065,5.280535144521718,0.0
2066,5.280535144521718,0.0
2067,5.280535144521718,0.0
2068,5.280535144521718,0.0
2069,5.280535144521718,0.0
2070,5.280535144521718,0.0
2071,5.280535144521718,0.0
2072,5.280535144521718,0.0
2073,5.280535144521718,0.0
2074,5.280535144521718,0.0
2075,5.280535144521718,0.0
2076,5.280535144521718,0.0
2077,5.280535144521718,0.0
2078,5.280535144521718,0.0
2079,5.280535144521718,0.0
2080,5.280535144521718,0.0
2081,5.280535144521718,0.0
2082,5.280535144521718,0.0
2083,5.280535144521718,0.0
2084,5.280535144521718,0.0
2085,5.280535144521718,0.0
2086,5.280535144521718,0.0
2087,5.280535144521718,0.0
2088,5.280535144521718,0.0
2089,5.280535144521718,0.0
2090,5.280535144521718,0.0
2091,5.280535144521718,0.0
2092,5.280535144521718,0.0
2093,5.280535144521718,0.0
2094,5.280535144521718,0.0
2095,5.280535144521718,0.0
2096,5.280535144521718,0.0
2097,5.280535144521718,0.0
2098,5.280535144521718,0.0
2099,5.280535144521718,0.0
2100,5.28053514191466,-4.937108499802889e-08
2101,5.280535147128775,9.874216999605778e-08
2102,5.280535144521718,-4.937108499802889e-08
2103,5.280535144521718,0.0
2104,5.280535144521718,0.0
2105,5.280535144521718,0.0
2106,5.280535144521718,0.0
2107,5.280535144521718,0.0
2108,5.280535144521718,0.0
2109,5.280535144521718,0.0
2110,5.280535144521718,0.0
2111,5.280535144521718,0.0
2112,5.280535144521718,0.0
2113,5.280535144521718,0.0
2114,5.280535144521718,0.0
2115,5.280535144521718,0.0
2116,5.280535144521718,0.0
2117,5.280535144521718,0.0
2118,5.280535144521718,0.0
2119,5.280535144521718,0.0
2120,5.280535144521718,0.0
2121,5.280535144521718,0.0
2122,5.280535144521718,0.0
2123,5.280535144521718,0.0
2124,5.280535144521718,0.0
2125,5.280535144521718,0.0
2126,5.280535144521718,0.0
2127,5.280535144521718,0.0
2128,5.280535144521718,0.0
2129,5.280535144521718,0.0
2130,5.280535144521718,0.0
2131,5.280535144521718,0.0
2132,5.280535144521718,0.0
2133,5.280535144521718,0.0
2134,5.280535144521718,0.0
2135,5.280535144521718,0.0
2136,5.280535144521718,0.0
2137,5.280535144521718,0.0
2138,5.280535144521718,0.0
2139,5.280535144521718,0.0
2140,5.280535144521718,0.0
2141,5.280535144521718,0.0
2142,5.280535144521718,0.0
2143,5.280535144521718,0.0
2144,5.280535144521718,0.0
2145,5.280535144521718,0.0
