Years,predicted_mean,% Change
2018,0.0,
2019,0.0,
2020,0.0,
2021,0.0,
2024,-0.10111720299300227,-inf
2025,-0.004130343887899249,-95.91529060768713
2026,-0.004130343887899249,0.0
2027,-0.004130343887899249,0.0
2028,-0.004130343887899249,0.0
2029,-0.0035292764576394554,-14.552479080997415
2030,-0.004731411318159042,34.06179354177401
2031,-0.004130343887899249,-12.703766167040076
2032,-0.004130343887899249,0.0
2033,-0.004130343887899249,0.0
2034,-0.004130343887899249,0.0
2035,-0.004130343709074827,-4.3295286356048734e-06
2036,-0.004130344066723669,8.659057626481115e-06
2037,-0.00413034388789925,-4.329528402458038e-06
2038,-0.004130343887899249,-2.220446049250313e-14
2039,-0.004130343887899249,0.0
2040,-0.004130343887899249,0.0
2041,-0.004130343887899249,0.0
2042,-0.004130338777488734,-0.0001237284510291481
2043,-0.004130348998309764,0.0002474572082356019
2044,-0.004130343887899249,-0.00012372829795159745
2045,-0.004130343887899249,0.0
2046,-0.004130343887899249,0.0
2047,-0.004130343887899249,0.0
2048,-0.0010545535579058883,-74.46814147859612
2049,-0.00720613421789261,583.3350628679693
2050,-0.004130343887899249,-42.682945348926026
2051,-0.004130343887899249,0.0
2052,-0.004130343887899249,0.0
2053,-0.004130343887899249,0.0
2054,0.07859531580816893,-2002.8758365237143
2055,-0.08685600358396743,-210.51040725628067
2056,-0.004130343887899249,-95.24460749117213
2057,-0.004130343887899249,0.0
2058,-0.004130343887899249,0.0
2059,-0.004130343887899249,0.0
2060,-0.004044289087512538,-2.0834778585586244
2061,-0.004216398688285959,4.255620630702195
2062,-0.004130343887899249,-2.0409550127645337
2063,-0.004130343887899249,0.0
2064,-0.004130343887899249,0.0
2065,-0.004130343887899249,0.0
2066,-0.004130343883219284,-1.1330690830035905e-07
2067,-0.0041303438925791415,2.266120624483392e-07
2068,-0.004130343887899321,-1.1330342220006173e-07
2069,-0.004130343887899249,-1.7430501486614958e-12
2070,-0.004130343887899249,0.0
2071,-0.004130343887899249,0.0
2072,-0.004130343887899249,0.0
2073,-0.00413023516258231,-0.002632355074771997
2074,-0.004130452613216188,0.005264848739061634
2075,-0.004130343887899249,-0.002632285783665811
2076,-0.004130343887899249,0.0
2077,-0.004130343887899249,0.0
2078,-0.004130343887899249,0.0
2079,0.007375073235055566,-278.5583340085184
2080,-0.015635761010854066,-312.0082135121504
2081,-0.004130343887899249,-73.58399194620564
2082,-0.004130343887899249,0.0
2083,-0.004130343887899249,0.0
2084,-0.004130343887899249,0.0
2085,0.04721689452237443,-1243.1710241054434
2086,-0.05547758229817293,-217.49519501305628
2087,-0.004130343887899249,-92.55493170971282
2088,-0.004130343887899249,0.0
2089,-0.004130343887899249,0.0
2090,-0.004130343887899249,0.0
2091,-0.004121293415437352,-0.2191215237165145
2092,-0.004139394360361146,0.4392054410877977
