Years,predicted_mean,% Change
2018,0.0,
2019,394.580164000524,inf
2020,386.8650354020997,-1.9552753286437574
2021,377.36626391323205,-2.4553191991090184
2024,390.72158323504135,3.5390867173224816
2025,390.728300523426,0.0017192007487842886
2026,390.728300523426,0.0
2027,390.728300523426,0.0
2028,390.728300523426,0.0
2029,390.728300523426,0.0
2030,390.728300523426,0.0
2031,390.728300523426,0.0
2032,390.728300523426,0.0
2033,390.728300523426,0.0
2034,390.728300523426,0.0
2035,390.728300523426,0.0
2036,390.728300523426,0.0
2037,390.728300523426,0.0
2038,390.728300523426,0.0
2039,390.728300523426,0.0
2040,390.728300523426,0.0
2041,390.728300523426,0.0
2042,390.728300523426,0.0
2043,390.728300523426,0.0
2044,390.728300523426,0.0
2045,390.728300523426,0.0
2046,390.728300523426,0.0
2047,390.728300523426,0.0
2048,390.728300523426,0.0
2049,390.728300523426,0.0
2050,390.728300523426,0.0
2051,390.728300523426,0.0
2052,390.728300523426,0.0
2053,390.728300523426,0.0
2054,390.728300523426,0.0
2055,390.728300523426,0.0
2056,390.728300523426,0.0
2057,390.728300523426,0.0
2058,390.728300523426,0.0
2059,390.728300523426,0.0
2060,390.728300523426,0.0
2061,390.728300523426,0.0
2062,390.728300523426,0.0
2063,390.728300523426,0.0
2064,390.728300523426,0.0
2065,390.728300523426,0.0
2066,390.728300523426,0.0
2067,390.728300523426,0.0
2068,390.728300523426,0.0
2069,390.728300523426,0.0
2070,390.728300523426,0.0
2071,390.728300523426,0.0
2072,390.728300523426,0.0
2073,390.728300523426,0.0
2074,390.728300523426,0.0
2075,390.728300523426,0.0
2076,390.728300523426,0.0
2077,390.728300523426,0.0
2078,390.728300523426,0.0
2079,390.728300523426,0.0
2080,390.728300523426,0.0
2081,390.728300523426,0.0
2082,390.728300523426,0.0
2083,390.728300523426,0.0
2084,390.728300523426,0.0
2085,390.728300523426,0.0
2086,390.728300523426,0.0
2087,390.728300523426,0.0
2088,390.728300523426,0.0
2089,390.728300523426,0.0
2090,390.728300523426,0.0
2091,390.728300523426,0.0
2092,390.728300523426,0.0
2093,390.728300523426,0.0
2094,390.728300523426,0.0
2095,390.728300523426,0.0
2096,390.728300523426,0.0
2097,390.728300523426,0.0
2098,390.728300523426,0.0
2099,390.728300523426,0.0
2100,390.728300523426,0.0
2101,390.728300523426,0.0
2102,390.728300523426,0.0
2103,390.728300523426,0.0
2104,390.728300523426,0.0
2105,390.728300523426,0.0
2106,390.728300523426,0.0
2107,390.728300523426,0.0
2108,390.728300523426,0.0
2109,390.728300523426,0.0
2110,390.728300523426,0.0
2111,390.728300523426,0.0
2112,390.728300523426,0.0
2113,390.728300523426,0.0
2114,390.728300523426,0.0
2115,390.728300523426,0.0
2116,390.728300523426,0.0
2117,390.728300523426,0.0
2118,390.728300523426,0.0
2119,390.728300523426,0.0
2120,390.728300523426,0.0
2121,390.728300523426,0.0
2122,390.728300523426,0.0
2123,390.728300523426,0.0
2124,390.728300523426,0.0
2125,390.728300523426,0.0
2126,390.728300523426,0.0
2127,390.728300523426,0.0
2128,390.728300523426,0.0
2129,390.728300523426,0.0
2130,390.728300523426,0.0
2131,390.728300523426,0.0
2132,390.728300523426,0.0
2133,390.728300523426,0.0
2134,390.728300523426,0.0
2135,390.728300523426,0.0
2136,390.728300523426,0.0
2137,390.728300523426,0.0
2138,390.728300523426,0.0
2139,390.728300523426,0.0
2140,390.728300523426,0.0
2141,390.728300523426,0.0
2142,390.728300523426,0.0
2143,390.728300523426,0.0
2144,390.728300523426,0.0
2145,390.728300523426,0.0
2146,390.728300523426,0.0
2147,390.728300523426,0.0
2148,390.728300523426,0.0
2149,390.728300523426,0.0
2150,390.728300523426,0.0
2151,390.728300523426,0.0
2152,390.728300523426,0.0
2153,390.728300523426,0.0
2154,390.728300523426,0.0
2155,390.728300523426,0.0
2156,390.728300523426,0.0
2157,390.728300523426,0.0
2158,390.728300523426,0.0
2159,390.728300523426,0.0
2160,390.728300523426,0.0
2161,390.728300523426,0.0
2162,390.728300523426,0.0
2163,390.728300523426,0.0
2164,390.728300523426,0.0
2165,390.728300523426,0.0
2166,390.728300523426,0.0
2167,390.728300523426,0.0
2168,390.728300523426,0.0
2169,390.728300523426,0.0
2170,390.728300523426,0.0
2171,390.728300523426,0.0
2172,390.728300523426,0.0
2173,390.728300523426,0.0
2174,390.728300523426,0.0
2175,390.728300523426,0.0
2176,390.728300523426,0.0
2177,390.728300523426,0.0
2178,390.728300523426,0.0
2179,390.728300523426,0.0
2180,390.728300523426,0.0
2181,390.728300523426,0.0
2182,390.728300523426,0.0
2183,390.728300523426,0.0
2184,390.728300523426,0.0
2185,390.728300523426,0.0
2186,390.728300523426,0.0
2187,390.728300523426,0.0
2188,390.728300523426,0.0
2189,390.728300523426,0.0
2190,390.728300523426,0.0
2191,390.728300523426,0.0
2192,390.728300523426,0.0
2193,390.728300523426,0.0
2194,390.728300523426,0.0
2195,390.728300523426,0.0
2196,390.728300523426,0.0
2197,390.728300523426,0.0
2198,390.728300523426,0.0
2199,390.728300523426,0.0
2200,390.728300523426,0.0
2201,390.728300523426,0.0
2202,390.728300523426,0.0
2203,390.728300523426,0.0
2204,390.728300523426,0.0
2205,390.728300523426,0.0
2206,390.728300523426,0.0
2207,390.728300523426,0.0
2208,390.728300523426,0.0
2209,390.728300523426,0.0
2210,390.728300523426,0.0
2211,390.728300523426,0.0
2212,390.728300523426,0.0
2213,390.728300523426,0.0
2214,390.728300523426,0.0
2215,390.728300523426,0.0
2216,390.728300523426,0.0
2217,390.728300523426,0.0
