Years,predicted_mean,% Change
2018,0.0,
2019,98.31641498753375,inf
2020,100.91666006636001,2.644772064925238
2021,105.93274820254227,4.970525315526508
2024,99.80017844995125,-5.78911607283672
2025,99.39704273628404,-0.40394287858851463
2026,99.39704273628404,0.0
2027,99.39704273628404,0.0
2028,99.39704273628404,0.0
2029,99.39704273628404,0.0
2030,99.39704273628404,0.0
2031,99.39704273628404,0.0
2032,99.39704273628404,0.0
2033,99.39704273628404,0.0
2034,99.39704273628404,0.0
2035,99.39704273628404,0.0
2036,99.39704273628404,0.0
2037,99.39704273628404,0.0
2038,99.39704273628404,0.0
2039,99.39704273628404,0.0
2040,99.39704273628404,0.0
2041,99.39704273628404,0.0
2042,99.39704273628404,0.0
2043,99.39704273628404,0.0
2044,99.39704273628404,0.0
2045,99.39704273628404,0.0
2046,99.39704273628404,0.0
2047,99.39704273628404,0.0
2048,99.39704273628404,0.0
2049,99.39704273628404,0.0
2050,99.39704273628404,0.0
2051,99.39704273628404,0.0
2052,99.39704273628404,0.0
2053,99.39704273628404,0.0
2054,99.39704273628404,0.0
2055,99.39704273628404,0.0
2056,99.39704273628404,0.0
2057,99.39704273628404,0.0
2058,99.39704273628404,0.0
2059,99.39704273628404,0.0
2060,99.39704273628404,0.0
2061,99.39704273628404,0.0
2062,99.39704273628404,0.0
2063,99.39704273628404,0.0
2064,99.39704273628404,0.0
2065,99.39704273628404,0.0
2066,99.39704273628404,0.0
2067,99.39704273628404,0.0
2068,99.39704273628404,0.0
2069,99.39704273628404,0.0
2070,99.39704273628404,0.0
2071,99.39704273628404,0.0
2072,99.39704273628404,0.0
2073,99.39704273628404,0.0
2074,99.39704273628404,0.0
2075,99.39704273628404,0.0
2076,99.39704273628404,0.0
2077,99.39704273628404,0.0
2078,99.39704273628404,0.0
2079,99.39704273628404,0.0
2080,99.39704273628404,0.0
2081,99.39704273628404,0.0
2082,99.39704273628404,0.0
2083,99.39704273628404,0.0
2084,99.39704273628404,0.0
2085,99.39704273628404,0.0
2086,99.39704273628404,0.0
2087,99.39704273628404,0.0
2088,99.39704273628404,0.0
2089,99.39704273628404,0.0
2090,99.39704273628404,0.0
2091,99.39704273628404,0.0
2092,99.39704273628404,0.0
2093,99.39704273628404,0.0
2094,99.39704273628404,0.0
2095,99.39704273628404,0.0
2096,99.39704273628404,0.0
2097,99.39704273628404,0.0
2098,99.39704273628404,0.0
2099,99.39704273628404,0.0
2100,99.39704273628404,0.0
2101,99.39704273628404,0.0
2102,99.39704273628404,0.0
2103,99.39704273628404,0.0
2104,99.39704273628404,0.0
2105,99.39704273628404,0.0
2106,99.39704273628404,0.0
2107,99.39704273628404,0.0
2108,99.39704273628404,0.0
2109,99.39704273628404,0.0
2110,99.39704273628404,0.0
2111,99.39704273628404,0.0
2112,99.39704273628404,0.0
2113,99.39704273628404,0.0
2114,99.39704273628404,0.0
2115,99.39704273628404,0.0
2116,99.39704273628404,0.0
2117,99.39704273628404,0.0
2118,99.39704273628404,0.0
2119,99.39704273628404,0.0
2120,99.39704273628404,0.0
2121,99.39704273628404,0.0
2122,99.39704273628404,0.0
2123,99.39704273628404,0.0
2124,99.39704273628404,0.0
2125,99.39704273628404,0.0
2126,99.39704273628404,0.0
2127,99.39704273628404,0.0
2128,99.39704273628404,0.0
2129,99.39704273628404,0.0
2130,99.39704273628404,0.0
2131,99.39704273628404,0.0
2132,99.39704273628404,0.0
2133,99.39704273628404,0.0
2134,99.39704273628404,0.0
2135,99.39704273628404,0.0
2136,99.39704273628404,0.0
2137,99.39704273628404,0.0
2138,99.39704273628404,0.0
2139,99.39704273628404,0.0
2140,99.39704273628404,0.0
2141,99.39704273628404,0.0
2142,99.39704273628404,0.0
2143,99.39704273628404,0.0
2144,99.39704273628404,0.0
2145,99.39704273628404,0.0
2146,99.39704273628404,0.0
2147,99.39704273628404,0.0
2148,99.39704273628404,0.0
2149,99.39704273628404,0.0
2150,99.39704273628404,0.0
2151,99.39704273628404,0.0
2152,99.39704273628404,0.0
2153,99.39704273628404,0.0
