Years,predicted_mean,% Change
2018,10.0,
2019,0.0,-100.0
2020,0.0,
2021,0.0,
2024,0.5864394898444055,inf
2025,0.11355731251021259,-80.6361415837904
2026,0.11355731251021253,-4.440892098500626e-14
2027,0.11355731251021253,0.0
2028,0.11355731251021253,0.0
2029,0.11355731251021253,0.0
2030,0.11355731251021253,0.0
2031,0.11355731251021253,0.0
2032,0.11355731251021253,0.0
2033,0.11355731251021253,0.0
2034,0.11355731251021253,0.0
2035,0.11355731251021253,0.0
2036,0.11355731251021253,0.0
2037,0.11355731251021253,0.0
2038,0.11355731251021253,0.0
2039,0.11355731251021253,0.0
2040,0.11355731251021253,0.0
2041,0.11355731251021253,0.0
2042,0.11355731251021253,0.0
2043,0.11355731251021252,-1.1102230246251565e-14
2044,-0.3539570456245017,-411.6990335542411
2045,0.5810716706449266,-264.16445945290246
2046,0.11355731251021275,-80.45726228845808
2047,0.11355731251021253,-1.9984014443252818e-13
2048,0.11355731251021253,0.0
2049,0.11355731251021253,0.0
2050,0.11355731251021253,0.0
2051,0.11355731251021253,0.0
2052,0.11355731251021253,0.0
2053,0.11355731251021253,0.0
2054,0.11355731251021253,0.0
2055,0.11355731251021253,0.0
2056,0.11355731251021253,0.0
2057,0.11355731251021253,0.0
2058,0.11355731251021253,0.0
2059,0.11355731251021253,0.0
2060,0.11355731251021253,0.0
2061,0.11355731251021253,0.0
2062,0.11355731251021253,0.0
2063,0.11355731251021253,0.0
2064,0.11355731251021253,0.0
2065,-0.33821656189052596,-397.8377652783119
2066,0.5653311869109503,-267.15065156801427
2067,0.1135573125102133,-79.91313496594685
2068,0.11355731251021253,-6.772360450213455e-13
2069,0.11355731251021253,0.0
2070,0.11355731251021253,0.0
2071,0.11355731251021253,0.0
2072,0.11355731251021253,0.0
2073,0.11355731251021253,0.0
2074,0.11355731251021253,0.0
2075,0.11355731251021253,0.0
2076,0.11355731251021253,0.0
2077,0.11355731251021253,0.0
2078,0.11355731251021253,0.0
2079,0.11355731251021253,0.0
2080,0.11355731251021253,0.0
2081,0.11355731251021253,0.0
2082,0.11355731251021253,0.0
2083,0.11355731251021253,0.0
2084,0.11355731251021253,0.0
2085,0.11355731251021253,0.0
2086,-0.31315171952729903,-375.7653493244976
2087,0.5402663445477215,-272.52542804594873
2088,0.11355731251021514,-78.98123515258413
2089,0.11355731251021253,-2.298161660974074e-12
2090,0.11355731251021253,0.0
2091,0.11355731251021253,0.0
2092,0.11355731251021253,0.0
2093,0.11355731251021253,0.0
2094,0.11355731251021253,0.0
2095,0.11355731251021253,0.0
2096,0.11355731251021253,0.0
2097,0.11355731251021253,0.0
2098,0.11355731251021253,0.0
2099,0.11355731251021253,0.0
2100,0.11355731251021253,0.0
2101,0.11355731251021253,0.0
2102,0.11355731251021253,0.0
2103,0.11355731251021253,0.0
2104,0.11355731251021253,0.0
2105,0.11355731251021253,0.0
2106,0.11355731251021253,0.0
2107,-0.2803806268907374,-346.9067122960681
2108,0.5074952519111539,-281.00225309394204
2109,0.11355731251022118,-77.62396552823287
2110,0.11355731251021253,-7.616129948928574e-12
2111,0.11355731251021253,0.0
2112,0.11355731251021253,0.0
2113,0.11355731251021253,0.0
2114,0.11355731251021253,0.0
2115,0.11355731251021253,0.0
2116,0.11355731251021253,0.0
2117,0.11355731251021253,0.0
2118,0.11355731251021253,0.0
2119,0.11355731251021253,0.0
2120,0.11355731251021253,0.0
2121,0.11355731251021253,0.0
2122,0.11355731251021253,0.0
2123,0.11355731251021253,0.0
2124,0.11355731251021253,0.0
2125,0.11355731251021253,0.0
2126,0.11355731251021253,0.0
2127,0.11355731251021253,0.0
2128,-0.24191844927293574,-313.0364341364448
2129,0.46903307429333274,-293.8806551145519
2130,0.11355731251024066,-75.78906078610098
2131,0.11355731251021253,-2.4769075679387242e-11
2132,0.11355731251021253,0.0
2133,0.11355731251021253,0.0
2134,0.11355731251021253,0.0
2135,0.11355731251021253,0.0
2136,0.11355731251021253,0.0
2137,0.11355731251021253,0.0
2138,0.11355731251021253,0.0
2139,0.11355731251021253,0.0
2140,0.11355731251021253,0.0
2141,0.11355731251021253,0.0
2142,0.11355731251021253,0.0
2143,0.11355731251021253,0.0
2144,0.11355731251021253,0.0
2145,0.11355731251021253,0.0
2146,0.11355731251021253,0.0
2147,0.11355731251021253,0.0
2148,0.11355731251021253,0.0
2149,-0.19997306490628783,-276.0988002320887
2150,0.4270876899266234,-313.5726079543597
2151,0.11355731251030204,-73.41124195599924
2152,0.11355731251021253,-7.882583474838611e-11
2153,0.11355731251021253,0.0
2154,0.11355731251021253,0.0
2155,0.11355731251021253,0.0
2156,0.11355731251021253,0.0
2157,0.11355731251021253,0.0
2158,0.11355731251021253,0.0
2159,0.11355731251021253,0.0
2160,0.11355731251021253,0.0
2161,0.11355731251021253,0.0
2162,0.11355731251021253,0.0
2163,0.11355731251021253,0.0
2164,0.11355731251021253,0.0
2165,0.11355731251021253,0.0
2166,0.11355731251021253,0.0
2167,0.11355731251021253,0.0
2168,0.11355731251021253,0.0
2169,0.11355731251021253,0.0
2170,-0.15673781316982657,-238.02529287202944
2171,0.38385243818997306,-344.9009785367275
2172,0.1135573125104911,-70.41641495206805
2173,0.11355731251021253,-2.453148795211746e-10
2174,0.11355731251021253,0.0
2175,0.11355731251021253,0.0
2176,0.11355731251021253,0.0
2177,0.11355731251021253,0.0
2178,0.11355731251021253,0.0
2179,0.11355731251021253,0.0
2180,0.11355731251021253,0.0
2181,0.11355731251021253,0.0
2182,0.11355731251021253,0.0
2183,0.11355731251021253,0.0
2184,0.11355731251021253,0.0
2185,0.11355731251021253,0.0
2186,0.11355731251021253,0.0
2187,0.11355731251021253,0.0
2188,0.11355731251021253,0.0
2189,0.11355731251021253,0.0
2190,0.11355731251021253,0.0
