Years,predicted_mean,% Change
2018,27.0,
2019,95.91150202212151,255.2277852671167
2020,97.29848270568104,1.4461046426315294
2021,97.7404793893876,0.45426883484254166
2024,97.47465873385579,-0.2719657783473828
2025,96.59900419474093,-0.8983407077174266
2026,96.59900419474093,0.0
2027,96.59900419474093,0.0
2028,96.59900419474093,0.0
2029,96.59900419474093,0.0
2030,96.59900419474093,0.0
2031,96.59900419474093,0.0
2032,96.59900419474093,0.0
2033,96.59900419474093,0.0
2034,96.59900419474093,0.0
2035,96.59900419474093,0.0
2036,96.59900419474093,0.0
2037,96.59900419474093,0.0
2038,96.59900419474093,0.0
2039,96.59900419474093,0.0
2040,96.59900419474093,0.0
2041,96.59900419474093,0.0
2042,96.59900417982692,-1.5439094447344814e-08
2043,96.59900420965494,3.087818889468963e-08
2044,96.59900419474093,-1.5439094447344814e-08
2045,96.59900419474093,0.0
2046,96.59900419474093,0.0
2047,96.59900419474093,0.0
2048,96.59900419474093,0.0
2049,96.59900419474093,0.0
2050,96.59900419474093,0.0
2051,96.59900419474093,0.0
2052,96.59900419474093,0.0
2053,96.59900419474093,0.0
2054,96.59900419474093,0.0
2055,96.59900419474093,0.0
2056,96.59900419474093,0.0
2057,96.59900419474093,0.0
2058,96.59900419474093,0.0
2059,96.59900419474093,0.0
2060,96.59900419474093,0.0
2061,96.59900419474093,0.0
2062,96.59900419474093,0.0
2063,96.59900419474093,0.0
2064,96.59900419474093,0.0
2065,96.59900419474093,0.0
2066,96.59900419474093,0.0
2067,96.59900419474093,0.0
2068,96.59900419474093,0.0
2069,96.59900419474093,0.0
2070,96.59900419474093,0.0
2071,96.59900419474093,0.0
2072,96.59900419474093,0.0
2073,96.59900419474093,0.0
2074,96.59900419474093,0.0
2075,96.59900419474093,0.0
2076,96.59900419474093,0.0
2077,96.59900419474093,0.0
2078,96.59900419474093,0.0
2079,96.59900419474093,0.0
2080,96.59900419474093,0.0
2081,96.59900419474093,0.0
2082,96.59900419474093,0.0
2083,96.59900419474093,0.0
2084,96.59900419474093,0.0
2085,96.59900419474093,0.0
2086,96.59900419474093,0.0
2087,96.59900419474093,0.0
2088,96.59900419474093,0.0
2089,96.59900419474093,0.0
2090,96.59900419474093,0.0
2091,96.59900419474093,0.0
2092,96.59900419474093,0.0
2093,96.59900419474093,0.0
2094,96.59900419474093,0.0
2095,96.59900419474093,0.0
2096,96.59900419474093,0.0
2097,96.59900419474093,0.0
2098,96.59900419474093,0.0
2099,96.59900419474093,0.0
2100,96.59900419474093,0.0
2101,96.59900419474093,0.0
2102,96.59900419474093,0.0
2103,96.59900419474093,0.0
2104,96.59900419474093,0.0
2105,96.59900419474093,0.0
2106,96.59900419474093,0.0
2107,96.59900419474093,0.0
2108,96.59900419474093,0.0
2109,96.59900419474093,0.0
2110,96.59900419474093,0.0
2111,96.59900419474093,0.0
2112,96.59900419474093,0.0
2113,96.59900419474093,0.0
2114,96.59900419474093,0.0
2115,96.59900419474093,0.0
2116,96.59900419474093,0.0
2117,96.59900419474093,0.0
2118,96.59900419474093,0.0
2119,96.59900419474093,0.0
2120,96.59900419474093,0.0
2121,96.59900419474093,0.0
2122,96.59900419474093,0.0
2123,96.59900419474093,0.0
2124,96.59900419474093,0.0
2125,96.59900419474093,0.0
2126,96.59900419474093,0.0
2127,96.59900419474093,0.0
2128,96.59900419474093,0.0
2129,96.59900419474093,0.0
2130,96.59900419474093,0.0
2131,96.59900419474093,0.0
2132,96.59900419474093,0.0
2133,96.59900419474093,0.0
2134,96.59900419474093,0.0
2135,96.59900419474093,0.0
2136,96.59900419474093,0.0
2137,96.59900419474093,0.0
2138,96.59900419474093,0.0
2139,96.59900419474093,0.0
2140,96.59900419474093,0.0
2141,96.59900419474093,0.0
2142,96.59900419474093,0.0
2143,96.59900419474093,0.0
2144,96.59900419474093,0.0
2145,96.59900419474093,0.0
2146,96.59900419474093,0.0
2147,96.59900419474093,0.0
2148,96.59900419474093,0.0
2149,96.59900419474093,0.0
2150,96.59900419474093,0.0
2151,96.59900419474093,0.0
2152,96.59900419474093,0.0
2153,96.59900419474093,0.0
2154,96.59900419474093,0.0
2155,96.59900419474093,0.0
2156,96.59900419474093,0.0
2157,96.59900419474093,0.0
2158,96.59900419474093,0.0
2159,96.59900419474093,0.0
2160,96.59900419474093,0.0
2161,96.59900419474093,0.0
2162,96.59900419474093,0.0
2163,96.59900419474093,0.0
2164,96.59900419474093,0.0
2165,96.59900419474093,0.0
2166,96.59900419474093,0.0
2167,96.59900419474093,0.0
2168,96.59900419474093,0.0
2169,96.59900419474093,0.0
2170,96.59900419474093,0.0
2171,96.59900419474093,0.0
2172,96.59900419474093,0.0
2173,96.59900419474093,0.0
2174,96.59900419474093,0.0
2175,96.59900419474093,0.0
2176,96.59900419474093,0.0
2177,96.59900419474093,0.0
2178,96.59900419474093,0.0
2179,96.59900419474093,0.0
2180,96.59900419474093,0.0
2181,96.59900419474093,0.0
2182,96.59900419474093,0.0
2183,96.59900419474093,0.0
2184,96.59900419474093,0.0
2185,96.59900419474093,0.0
2186,96.59900419474093,0.0
2187,96.59900419474093,0.0
2188,96.59900419474093,0.0
2189,96.59900419474093,0.0
2190,96.59900419474093,0.0
2191,96.59900419474093,0.0
2192,96.59900419474093,0.0
2193,96.59900419474093,0.0
2194,96.59900419474093,0.0
2195,96.59900419474093,0.0
2196,96.59900419474093,0.0
2197,96.59900419474093,0.0
2198,96.59900419474093,0.0
2199,96.59900419474093,0.0
2200,96.59900419474093,0.0
2201,96.59900419474093,0.0
2202,96.59900419474093,0.0
2203,96.59900419474093,0.0
2204,96.59900419474093,0.0
2205,96.59900419474093,0.0
2206,96.59900419474093,0.0
2207,96.59900419474093,0.0
2208,96.59900419474093,0.0
2209,96.59900419474093,0.0
2210,96.59900419474093,0.0
2211,96.59900419474093,0.0
2212,96.59900419474093,0.0
2213,96.59900419474093,0.0
2214,96.59900419474093,0.0
2215,96.59900419474093,0.0
2216,96.59900419474093,0.0
2217,96.59900419474093,0.0
2218,96.59900419474093,0.0
2219,96.59900419474093,0.0
2220,96.59900419474093,0.0
2221,96.59900419474093,0.0
2222,96.59900419474093,0.0
2223,96.59900419474093,0.0
2224,96.59900419474093,0.0
2225,96.59900419474093,0.0
2226,96.59900419474093,0.0
2227,96.59900419474093,0.0
2228,96.59900419474093,0.0
2229,96.59900419474093,0.0
2230,96.59900419474093,0.0
2231,96.59900419474093,0.0
2232,96.59900419474093,0.0
2233,96.59900419474093,0.0
2234,96.59900419474093,0.0
2235,96.59900419474093,0.0
2236,96.59900419474093,0.0
2237,96.59900419474093,0.0
2238,96.59900419474093,0.0
2239,96.59900419474093,0.0
2240,96.59900419474093,0.0
2241,96.59900419474093,0.0
2242,96.59900419474093,0.0
2243,96.59900419474093,0.0
2244,96.59900419474093,0.0
2245,96.59900419474093,0.0
2246,96.59900419474093,0.0
2247,96.59900419474093,0.0
2248,96.59900419474093,0.0
2249,96.59900419474093,0.0
2250,96.59900419474093,0.0
2251,96.59900419474093,0.0
2252,96.59900419474093,0.0
2253,96.59900419474093,0.0
2254,96.59900419474093,0.0
2255,96.59900419474093,0.0
2256,96.59900419474093,0.0
2257,96.59900419474093,0.0
2258,96.59900419474093,0.0
2259,96.59900419474093,0.0
2260,96.59900419474093,0.0
2261,96.59900419474093,0.0
2262,96.59900419474093,0.0
2263,96.59900419474093,0.0
2264,96.59900419474093,0.0
2265,96.59900419474093,0.0
2266,96.59900419474093,0.0
2267,96.59900419474093,0.0
2268,96.59900419474093,0.0
2269,96.59900419474093,0.0
2270,96.59900419474093,0.0
2271,96.59900419474093,0.0
2272,96.59900419474093,0.0
2273,96.59900419474093,0.0
2274,96.59900419474093,0.0
2275,96.59900419474093,0.0
2276,96.59900419474093,0.0
2277,96.59900419474093,0.0
2278,96.59900419474093,0.0
2279,96.59900419474093,0.0
2280,96.59900419474093,0.0
2281,96.59900419474093,0.0
2282,96.59900419474093,0.0
2283,96.59900419474093,0.0
2284,96.59900419474093,0.0
2285,96.59900419474093,0.0
2286,96.59900419474093,0.0
2287,96.59900419474093,0.0
2288,96.59900419474093,0.0
2289,96.59900419474093,0.0
2290,96.59900419474093,0.0
2291,96.59900419474093,0.0
2292,96.59900419474093,0.0
2293,96.59900419474093,0.0
2294,96.59900419474093,0.0
2295,96.59900419474093,0.0
2296,96.59900419474093,0.0
2297,96.59900419474093,0.0
2298,96.59900419474093,0.0
2299,96.59900419474093,0.0
2300,96.59900419474093,0.0
2301,96.59900419474093,0.0
2302,96.59900419474093,0.0
2303,96.59900419474093,0.0
2304,96.59900419474093,0.0
2305,96.59900419474093,0.0
2306,96.59900419474093,0.0
2307,96.59900419474093,0.0
2308,96.59900419474093,0.0
2309,96.59900419474093,0.0
2310,96.59900419474093,0.0
2311,96.59900419474093,0.0
2312,96.59900419474093,0.0
2313,96.59900419474093,0.0
2314,96.59900419474093,0.0
2315,96.59900419474093,0.0
2316,96.59900419474093,0.0
2317,96.59900419474093,0.0
2318,96.59900419474093,0.0
2319,96.59900419474093,0.0
2320,96.59900419474093,0.0
2321,96.59900419474093,0.0
2322,96.59900419474093,0.0
2323,96.59900419474093,0.0
2324,96.59900419474093,0.0
2325,96.59900419474093,0.0
2326,96.59900419474093,0.0
2327,96.59900419474093,0.0
2328,96.59900419474093,0.0
2329,96.59900419474093,0.0
2330,96.59900419474093,0.0
2331,96.59900419474093,0.0
2332,96.59900419474093,0.0
2333,96.59900419474093,0.0
2334,96.59900419474093,0.0
2335,96.59900419474093,0.0
2336,96.59900419474093,0.0
2337,96.59900419474093,0.0
2338,96.59900419474093,0.0
2339,96.59900419474093,0.0
2340,96.59900419474093,0.0
2341,96.59900419474093,0.0
2342,96.59900419474093,0.0
2343,96.59900419474093,0.0
2344,96.59900419474093,0.0
2345,96.59900419474093,0.0
2346,96.59900419474093,0.0
2347,96.59900419474093,0.0
2348,96.59900419474093,0.0
2349,96.59900419474093,0.0
2350,96.59900419474093,0.0
2351,96.59900419474093,0.0
2352,96.59900419474093,0.0
2353,96.59900419474093,0.0
2354,96.59900419474093,0.0
2355,96.59900419474093,0.0
2356,96.59900419474093,0.0
2357,96.59900419474093,0.0
2358,96.59900419474093,0.0
2359,96.59900419474093,0.0
2360,96.59900419474093,0.0
2361,96.59900419474093,0.0
2362,96.59900419474093,0.0
2363,96.59900419474093,0.0
2364,96.59900419474093,0.0
2365,96.59900419474093,0.0
2366,96.59900419474093,0.0
2367,96.59900419474093,0.0
2368,96.59900419474093,0.0
2369,96.59900419474093,0.0
2370,96.59900419474093,0.0
2371,96.59900419474093,0.0
2372,96.59900419474093,0.0
2373,96.59900419474093,0.0
2374,96.59900419474093,0.0
2375,96.59900419474093,0.0
2376,96.59900419474093,0.0
2377,96.59900419474093,0.0
2378,96.59900419474093,0.0
2379,96.59900419474093,0.0
2380,96.59900419474093,0.0
2381,96.59900419474093,0.0
2382,96.59900419474093,0.0
2383,96.59900419474093,0.0
2384,96.59900419474093,0.0
2385,96.59900419474093,0.0
2386,96.59900419474093,0.0
2387,96.59900419474093,0.0
2388,96.59900419474093,0.0
2389,96.59900419474093,0.0
2390,96.59900419474093,0.0
2391,96.59900419474093,0.0
2392,96.59900419474093,0.0
2393,96.59900419474093,0.0
2394,96.59900419474093,0.0
2395,96.59900419474093,0.0
