Years,predicted_mean,% Change
2018,0.0,
2019,159.8726466277775,inf
2020,157.2491774124243,-1.6409744072488297
2021,154.87626493929412,-1.509014235989703
2024,157.36566454215264,1.6073473904050228
2025,158.76576188565983,0.8897095485096429
2026,158.76576188565983,0.0
2027,158.90830647572272,0.08978295343398113
2028,158.62321729559693,-0.17940483191125622
2029,158.76576188565983,0.08986363566012567
2030,158.76576188565983,0.0
2031,158.76591354703817,9.552524204980983e-05
2032,158.7656102242815,-0.00019105030160115888
2033,158.76576188565983,9.552533331014246e-05
2034,158.76576188565983,0.0
2035,158.7657618873879,1.088440448882011e-09
2036,158.76576188393176,-2.176880897764022e-09
2037,158.76576188565983,1.088440448882011e-09
2038,158.76576188565983,0.0
2039,158.76576188565983,0.0
2040,158.76576188565983,0.0
2041,158.76576188565983,0.0
2042,158.76576188565983,0.0
2043,158.76576188565983,0.0
2044,158.76576188565983,0.0
2045,158.76576188565983,0.0
2046,158.76576188565983,0.0
2047,158.76576188565983,0.0
2048,158.76576188565983,0.0
2049,158.76576188565983,0.0
2050,158.76576188565983,0.0
2051,158.76576188565983,0.0
2052,158.76576188565983,0.0
2053,158.76576188565983,0.0
2054,158.76576188565983,0.0
2055,158.76576188565983,0.0
2056,158.76576188565983,0.0
2057,158.76576188565983,0.0
2058,158.76576188565983,0.0
2059,158.76576188565983,0.0
2060,158.76576188565983,0.0
2061,158.76576188565983,0.0
2062,158.76576188565983,0.0
2063,158.76576188565983,0.0
2064,158.76576188565983,0.0
2065,158.76576188565983,0.0
2066,158.76576188565983,0.0
2067,158.76576188565983,0.0
2068,158.76576188565983,0.0
2069,158.76576188565983,0.0
2070,158.76576188565983,0.0
2071,158.76576188565983,0.0
2072,158.76576188565983,0.0
2073,158.76576188565983,0.0
2074,158.76576188565983,0.0
2075,158.76576188565983,0.0
2076,158.76576188565983,0.0
2077,158.76576188565983,0.0
2078,158.76576188565983,0.0
2079,158.76576188565983,0.0
2080,158.76576188565983,0.0
2081,158.76576188565983,0.0
2082,158.76576188565983,0.0
2083,158.76576188565983,0.0
2084,158.76576188565983,0.0
2085,158.76576188565983,0.0
2086,158.76576188565983,0.0
2087,158.76576188565983,0.0
2088,158.76576188565983,0.0
2089,158.76576188565983,0.0
2090,158.76576188565983,0.0
2091,158.76576188565983,0.0
2092,158.76576188565983,0.0
2093,158.76576188565983,0.0
2094,158.76576188565983,0.0
2095,158.76576188565983,0.0
2096,158.76576188565983,0.0
2097,158.76576188565983,0.0
2098,158.76576188565983,0.0
2099,158.76576188565983,0.0
2100,158.76576188565983,0.0
2101,158.76576188565983,0.0
2102,158.76576188565983,0.0
2103,158.76576188565983,0.0
2104,158.76576188565983,0.0
2105,158.76576188565983,0.0
2106,158.76576188565983,0.0
2107,158.76576188565983,0.0
2108,158.76576188565983,0.0
2109,158.76576188565983,0.0
2110,158.76576188565983,0.0
2111,158.76576188565983,0.0
2112,158.76576188565983,0.0
2113,158.76576188565983,0.0
2114,158.76576188566062,5.10702591327572e-13
2115,158.76576188565903,-9.992007221626409e-13
2116,158.76576188565983,5.10702591327572e-13
2117,158.76576188565983,0.0
2118,158.76576261131854,4.5706247675525447e-07
2119,158.76576116000112,-9.141249313060484e-07
2120,158.76576188565983,4.5706247675525447e-07
2121,158.76576188565983,0.0
2122,158.77297215138972,0.004541448763428768
2123,158.75855161992993,-0.00908248505043785
2124,158.76576188565983,0.0045416550203514205
2125,158.76576188565983,0.0
2126,159.52248073369097,0.4766259671125539
2127,158.0090430376287,-0.9487300404943166
2128,158.76576188565983,0.4789085697145312
2129,158.76576188565983,0.0
2130,159.5907696999643,0.5196383681883798
2131,157.94075407135534,-1.0339041736004195
2132,158.76576188565983,0.5223527133039862
2133,158.76576188565983,0.0
2134,158.77510276305898,0.00588343310812256
2135,158.75642100826067,-0.011766173961280657
2136,158.76576188565983,0.005883779276349976
2137,158.76576188565983,0.0
2138,158.7657630016999,7.029475668218765e-07
2139,158.76576076961976,-1.405895133643753e-06
2140,158.76576188565983,7.029475668218765e-07
2141,158.76576188565983,0.0
2142,158.76576188566128,9.103828801926284e-13
2143,158.76576188565838,-1.8207657603852567e-12
2144,158.76576188565983,9.103828801926284e-13
2145,158.76576188565983,0.0
2146,158.76576188565983,0.0
2147,158.76576188565983,0.0
2148,158.76576188565983,0.0
2149,158.76576188565983,0.0
2150,158.76576188565983,0.0
2151,158.76576188565983,0.0
2152,158.76576188565983,0.0
2153,158.76576188565983,0.0
2154,158.76576188565983,0.0
2155,158.76576188565983,0.0
2156,158.76576188565983,0.0
2157,158.76576188565983,0.0
2158,158.76576188565983,0.0
2159,158.76576188565983,0.0
2160,158.76576188565983,0.0
2161,158.76576188565983,0.0
2162,158.76576188565983,0.0
2163,158.76576188565983,0.0
2164,158.76576188565983,0.0
2165,158.76576188565983,0.0
2166,158.76576188565983,0.0
2167,158.76576188565983,0.0
2168,158.76576188565983,0.0
2169,158.76576188565983,0.0
2170,158.76576188565983,0.0
2171,158.76576188565983,0.0
2172,158.76576188565983,0.0
2173,158.76576188565983,0.0
2174,158.76576188565983,0.0
2175,158.76576188565983,0.0
2176,158.76576188565983,0.0
2177,158.76576188565983,0.0
2178,158.76576188565983,0.0
2179,158.76576188565983,0.0
2180,158.76576188565983,0.0
2181,158.76576188565983,0.0
2182,158.76576188565983,0.0
2183,158.76576188565983,0.0
2184,158.76576188565983,0.0
2185,158.76576188565983,0.0
2186,158.76576188565983,0.0
2187,158.76576188565983,0.0
2188,158.76576188565983,0.0
2189,158.76576188565983,0.0
2190,158.76576188565983,0.0
2191,158.76576188565983,0.0
2192,158.76576188565983,0.0
2193,158.76576188565983,0.0
2194,158.76576188565983,0.0
2195,158.76576188565983,0.0
2196,158.76576188565983,0.0
2197,158.76576188565983,0.0
2198,158.76576188565983,0.0
2199,158.76576188565983,0.0
2200,158.76576188565983,0.0
2201,158.76576188565983,0.0
2202,158.76576188565983,0.0
2203,158.76576188565983,0.0
2204,158.76576188565983,0.0
2205,158.76576188565983,0.0
2206,158.76576188565983,0.0
2207,158.76576188565983,0.0
2208,158.76576188565983,0.0
2209,158.76576188565983,0.0
2210,158.76576188565983,0.0
2211,158.76576188565983,0.0
2212,158.76576188565983,0.0
2213,158.76576188565983,0.0
2214,158.76576188565983,0.0
2215,158.76576188565983,0.0
2216,158.76576188565983,0.0
2217,158.76576188565983,0.0
2218,158.76576188565983,0.0
2219,158.76576188565983,0.0
2220,158.76576188565983,0.0
2221,158.7657618866883,6.477929304082863e-10
2222,158.76576188463136,-1.2955747585863264e-09
2223,158.76576188565983,6.477929304082863e-10
2224,158.76576188565983,0.0
2225,158.76586896540744,6.744511307221757e-05
2226,158.76565480591222,-0.00013489013515055603
2227,158.76576188565983,6.744515854695265e-05
2228,158.76576188565983,0.0
2229,158.88530395553784,0.07529461544995009
2230,158.64621981578182,-0.15047593062661457
2231,158.76576188565983,0.07535135095990686
2232,158.76576188565983,0.0
2233,160.16129182983434,0.8789867082170666
2234,157.37023194148532,-1.7426557044222801
2235,158.76576188565983,0.8867813988438389
2236,158.76576188565983,0.0
2237,158.93462999386762,0.10636305095137466
2238,158.59689377745204,-0.21250008033404377
2239,158.76576188565983,0.10647630239515316
2240,158.76576188565983,0.0
2241,158.76597530058459,0.00013442125192941745
2242,158.76554847073507,-0.00026884214247013816
2243,158.76576188565983,0.00013442143260711248
2244,158.76576188565983,0.0
2245,158.76576188854472,1.8170798199435012e-09
2246,158.76576188277494,-3.634148537656756e-09
2247,158.76576188565983,1.8170798199435012e-09
2248,158.76576188565983,0.0
2249,158.76576188565983,0.0
2250,158.76576188565983,0.0
2251,158.76576188565983,0.0
2252,158.76576188565983,0.0
2253,158.76576188565983,0.0
2254,158.76576188565983,0.0
2255,158.76576188565983,0.0
2256,158.76576188565983,0.0
2257,158.76576188565983,0.0
2258,158.76576188565983,0.0
2259,158.76576188565983,0.0
2260,158.76576188565983,0.0
2261,158.76576188565983,0.0
2262,158.76576188565983,0.0
2263,158.76576188565983,0.0
2264,158.76576188565983,0.0
2265,158.76576188565983,0.0
2266,158.76576188565983,0.0
2267,158.76576188565983,0.0
2268,158.76576188565983,0.0
2269,158.76576188565983,0.0
2270,158.76576188565983,0.0
2271,158.76576188565983,0.0
2272,158.76576188565983,0.0
2273,158.76576188565983,0.0
2274,158.76576188565983,0.0
2275,158.76576188565983,0.0
2276,158.76576188565983,0.0
2277,158.76576188565983,0.0
2278,158.76576188565983,0.0
2279,158.76576188565983,0.0
2280,158.76576188565983,0.0
2281,158.76576188565983,0.0
2282,158.76576188565983,0.0
2283,158.76576188565983,0.0
2284,158.76576188565983,0.0
2285,158.76576188565983,0.0
2286,158.76576188565983,0.0
2287,158.76576188565983,0.0
