Years,predicted_mean,% Change
2018,14.0,
2019,135.25746821660346,866.124772975739
2020,120.36959843743514,-11.007059333187163
2021,104.33504116067466,-13.321102242519157
2024,120.51873966229654,15.511278206809909
2025,127.73485575596042,5.987546927460441
2026,127.73485575596042,0.0
2027,127.73485575596042,0.0
2028,127.73485575596042,0.0
2029,127.73485575596042,0.0
2030,127.73485575596042,0.0
2031,127.73485575596042,0.0
2032,127.73485575596042,0.0
2033,127.73485575596042,0.0
2034,127.73485575596042,0.0
2035,127.73485575596042,0.0
2036,127.73485575596042,0.0
2037,127.73485575596042,0.0
2038,127.73485575596042,0.0
2039,127.73485575596042,0.0
2040,127.73485575596042,0.0
2041,127.73485575596042,0.0
2042,127.73485575596042,0.0
2043,127.73485575596042,0.0
2044,127.73485575596042,0.0
2045,127.73485575596042,0.0
2046,127.73485575596042,0.0
2047,127.73485575596042,0.0
2048,127.73485575596042,0.0
2049,127.73485575596042,0.0
2050,127.73485575596042,0.0
2051,127.73485575596042,0.0
2052,127.73485575596042,0.0
2053,127.73485575596042,0.0
2054,127.73485575596042,0.0
2055,127.73485575596042,0.0
2056,127.73485575596042,0.0
2057,127.73485575596042,0.0
2058,127.73485575596042,0.0
2059,127.73485575596042,0.0
2060,127.73485575596042,0.0
2061,127.73485575596042,0.0
2062,127.73485575596042,0.0
2063,127.73485575596042,0.0
2064,127.73485575596042,0.0
2065,127.73485575596042,0.0
2066,127.73485575596042,0.0
2067,127.73485575596042,0.0
2068,127.73485575596042,0.0
2069,127.73485575596042,0.0
2070,127.73485575596042,0.0
2071,127.73485575596042,0.0
2072,127.73485575596042,0.0
2073,127.73485575596042,0.0
2074,127.73485575596042,0.0
2075,127.73485575596042,0.0
2076,127.73485575596042,0.0
2077,127.73485575596042,0.0
2078,127.73485575596042,0.0
2079,127.73485575596042,0.0
2080,127.73485575596042,0.0
2081,127.73485575596042,0.0
2082,127.73485575596042,0.0
2083,127.73485575596042,0.0
2084,127.73485575596042,0.0
2085,127.73485575596042,0.0
2086,127.73485575596042,0.0
2087,127.73485575596042,0.0
2088,127.73485575596042,0.0
2089,127.73485575596042,0.0
2090,127.73485575596042,0.0
2091,127.73485575596042,0.0
2092,127.73485575596042,0.0
2093,127.73485575596042,0.0
2094,127.73485575596042,0.0
2095,127.73485575596042,0.0
2096,127.73485575596042,0.0
2097,127.73485575596042,0.0
2098,127.73485575596042,0.0
2099,127.73485575596042,0.0
2100,127.73485575596042,0.0
2101,127.73485575596042,0.0
2102,127.73485575596042,0.0
2103,127.73485575596042,0.0
2104,127.73485575596042,0.0
2105,127.73485575596042,0.0
2106,127.73485575596042,0.0
2107,127.73485575596042,0.0
2108,127.73485575596042,0.0
2109,127.73485575596042,0.0
2110,127.73485575596042,0.0
2111,127.73485575596042,0.0
2112,127.73485575596042,0.0
2113,127.73485575596042,0.0
2114,127.73485575596042,0.0
2115,127.73485575596042,0.0
2116,127.73485575596042,0.0
2117,127.73485575596042,0.0
2118,127.73485575596042,0.0
2119,127.73485575596042,0.0
2120,127.73485575596042,0.0
2121,127.73485575596042,0.0
2122,127.73485575596042,0.0
2123,127.73485575596042,0.0
2124,127.73485575596042,0.0
2125,127.73485575596042,0.0
2126,127.73485575596042,0.0
2127,127.73485575596042,0.0
2128,127.73485575596042,0.0
2129,127.73485575596042,0.0
2130,127.73485575596042,0.0
2131,127.73485575596042,0.0
2132,127.73485575596042,0.0
2133,127.73485575596042,0.0
2134,127.73485575596042,0.0
2135,127.73485575596042,0.0
2136,127.73485575596042,0.0
2137,127.73485575596042,0.0
2138,127.73485575596042,0.0
2139,127.73485575596042,0.0
2140,127.73485575596042,0.0
2141,127.73485575596042,0.0
2142,127.73485575596042,0.0
2143,127.73485575596042,0.0
2144,127.73485575596042,0.0
2145,127.73485575596042,0.0
2146,127.73485575596042,0.0
2147,127.73485575596042,0.0
2148,127.73485575596042,0.0
2149,127.73485575596042,0.0
2150,127.73485575596042,0.0
2151,127.73485575596042,0.0
2152,127.73485575596042,0.0
2153,127.73485575596042,0.0
2154,127.73485575596042,0.0
2155,127.73485575596042,0.0
2156,127.73485575596042,0.0
2157,127.73485575596042,0.0
2158,127.73485575596042,0.0
2159,127.73485575596042,0.0
2160,127.73485575596042,0.0
2161,127.73485575596042,0.0
2162,127.73485575596042,0.0
2163,127.73485575596042,0.0
2164,127.73485575596042,0.0
2165,127.73485575596042,0.0
2166,127.73485575596042,0.0
2167,127.73485575596042,0.0
2168,127.73485575596042,0.0
2169,127.73485575596042,0.0
2170,127.73485575596042,0.0
2171,127.73485575596042,0.0
2172,127.73485575596042,0.0
2173,127.73485575596042,0.0
2174,127.73485575596042,0.0
2175,127.73485575596042,0.0
2176,127.73485575596042,0.0
2177,127.73485575596042,0.0
2178,127.73485575596042,0.0
2179,127.73485575596042,0.0
2180,127.73485575596042,0.0
2181,127.73485575596042,0.0
2182,127.73485575596042,0.0
2183,127.73485575596042,0.0
2184,127.73485575596042,0.0
2185,127.73485575596042,0.0
2186,127.73485575596042,0.0
2187,127.73485575596042,0.0
2188,127.73485575596042,0.0
2189,127.73485575596042,0.0
2190,127.73485575596042,0.0
2191,127.73485575596042,0.0
2192,127.73485575596042,0.0
2193,127.73485575596042,0.0
2194,127.73485575596042,0.0
2195,127.73485575596042,0.0
2196,127.73485575596042,0.0
2197,127.73485575596042,0.0
2198,127.73485575596042,0.0
2199,127.73485575596042,0.0
2200,127.73485575596042,0.0
2201,127.73485575596042,0.0
2202,127.73485575596042,0.0
2203,127.73485575596042,0.0
2204,127.73485575596042,0.0
2205,127.73485575596042,0.0
2206,127.73485575596042,0.0
2207,127.73485575596042,0.0
2208,127.73485575596042,0.0
2209,127.73485575596042,0.0
2210,127.73485575596042,0.0
2211,127.73485575596042,0.0
2212,127.73485575596042,0.0
2213,127.73485575596042,0.0
2214,127.73485575596042,0.0
2215,127.73485575596042,0.0
2216,127.73485575596042,0.0
2217,127.73485575596042,0.0
2218,127.73485575596042,0.0
2219,127.73485575596042,0.0
2220,127.73485575596042,0.0
2221,127.73485575596042,0.0
2222,127.73485575596042,0.0
2223,127.73485575596042,0.0
2224,127.73485575596042,0.0
2225,127.73485575596042,0.0
2226,127.73485575596042,0.0
2227,127.73485575596042,0.0
2228,127.73485575596042,0.0
2229,127.73485575596042,0.0
2230,127.73485575596042,0.0
2231,127.73485575596042,0.0
2232,127.73485575596042,0.0
2233,127.73485575596042,0.0
2234,127.73485575596042,0.0
2235,127.73485575596042,0.0
2236,127.73485575596042,0.0
2237,127.73485575596042,0.0
2238,127.73485575596042,0.0
2239,127.73485575596042,0.0
2240,127.73485575596042,0.0
2241,127.73485575596042,0.0
2242,127.73485575596042,0.0
2243,127.73485575596042,0.0
2244,127.73485575596042,0.0
2245,127.73485575596042,0.0
2246,127.73485575596042,0.0
2247,127.73485575596042,0.0
2248,127.73485575596042,0.0
2249,127.73485575596042,0.0
2250,127.73485575596042,0.0
2251,127.73485575596042,0.0
2252,127.73485575596042,0.0
2253,127.73485575596042,0.0
2254,127.73485575596042,0.0
2255,127.73485575596042,0.0
2256,127.73485575596042,0.0
2257,127.73485575596042,0.0
2258,127.73485575596042,0.0
2259,127.73485575596042,0.0
2260,127.73485575596042,0.0
2261,127.73485575596042,0.0
2262,127.73485575596042,0.0
2263,127.73485575596042,0.0
2264,127.73485575596042,0.0
2265,127.73485575596042,0.0
2266,127.73485575596042,0.0
2267,127.73485575596042,0.0
2268,127.73485575596042,0.0
2269,127.73485575596042,0.0
2270,127.73485575596042,0.0
2271,127.73485575596042,0.0
2272,127.73485575596042,0.0
2273,127.73485575596042,0.0
