Years,predicted_mean,% Change
2018,27.0,
2019,10.171212737693333,-62.328841712246906
2020,5.188037919037542,-48.99292687280765
2021,-2.8903272163623077,-155.71137415469212
2024,7.580492553140322,-362.2710850946814
2025,7.736810116300209,2.0621029842596394
2026,7.736810116300209,0.0
2027,7.736810116300209,0.0
2028,7.736810116301411,1.554312234475219e-11
2029,7.736813626684564,4.537248685654305e-05
2030,7.7368066059146505,-9.074497916428115e-05
2031,7.736810116300209,4.5372538526322614e-05
2032,7.736810116300209,0.0
2033,7.736810116300209,0.0
