Years,predicted_mean,% Change
2018,32.0,
2019,8.64310918153894,-72.99028380769082
2020,3.7852258325186963,-56.20527575188259
2021,-2.0963234441773313,-155.38172719228308
2024,4.982163607377892,-337.6619705902809
2025,6.652946202094889,33.535281584145494
2026,6.652946202094889,0.0
2027,6.652946202094889,0.0
2028,6.652946202094889,0.0
2029,6.652946202094889,0.0
2030,6.652946202094889,0.0
2031,6.652946202094889,0.0
2032,6.652946202094889,0.0
2033,6.652946202094889,0.0
2034,6.652946202094889,0.0
2035,6.652946202094889,0.0
2036,6.652946202094889,0.0
2037,6.652946202094889,0.0
2038,6.652946202094889,0.0
2039,6.652946202094889,0.0
2040,6.652946202094889,0.0
2041,6.652946202094889,0.0
2042,6.652946202094889,0.0
2043,6.652946202094889,0.0
2044,6.652946202094889,0.0
2045,6.652946202094889,0.0
2046,6.652946202094889,0.0
2047,6.652946202094889,0.0
2048,6.652946202094889,0.0
2049,6.652946202094889,0.0
2050,6.652946202094889,0.0
2051,6.652946202094889,0.0
2052,6.652946202094889,0.0
2053,6.652946202094889,0.0
2054,6.652946202094889,0.0
2055,6.652946202094889,0.0
2056,6.652946202094889,0.0
2057,6.652946202094889,0.0
2058,6.652946202094889,0.0
2059,6.652946202094889,0.0
2060,6.652946202094889,0.0
2061,6.652946202094889,0.0
2062,6.652946202094889,0.0
2063,6.652946202094889,0.0
2064,6.652946202094889,0.0
2065,6.652946202094889,0.0
2066,6.652946202094889,0.0
2067,6.652946202094889,0.0
2068,6.652946202094889,0.0
2069,6.652946202094889,0.0
2070,6.652946202094889,0.0
2071,6.652946202094889,0.0
2072,6.652946202094889,0.0
2073,6.652946202094889,0.0
2074,6.652946202094889,0.0
2075,6.652946202094889,0.0
2076,6.652946202094889,0.0
2077,6.652946202094889,0.0
2078,6.652946202094889,0.0
2079,6.652946202094889,0.0
2080,6.652946202094889,0.0
2081,6.652946202094889,0.0
2082,6.652946202094889,0.0
2083,6.652946202094889,0.0
2084,6.652946202094889,0.0
2085,6.652946202094889,0.0
2086,6.652946202094889,0.0
2087,6.652946202094889,0.0
2088,6.652946202094889,0.0
2089,6.652946202094889,0.0
2090,6.652946202094889,0.0
2091,6.652946202094889,0.0
2092,6.652946202094889,0.0
2093,6.652946202094889,0.0
2094,6.652946202094889,0.0
2095,6.652946202094889,0.0
2096,6.652946202094889,0.0
2097,6.652946202094889,0.0
2098,6.652946202094889,0.0
2099,6.652946202094889,0.0
2100,6.652946202094889,0.0
2101,6.652946202094889,0.0
2102,6.652946202094889,0.0
2103,6.652946202094889,0.0
2104,6.652946202094889,0.0
2105,6.652946202094889,0.0
2106,6.652946202094889,0.0
2107,6.652946202094889,0.0
2108,6.652946202094889,0.0
2109,6.652946202094889,0.0
2110,6.652946202094889,0.0
2111,6.652946202094889,0.0
2112,6.652946202094889,0.0
2113,6.652946202094889,0.0
2114,6.652946202094889,0.0
2115,6.652946202094889,0.0
2116,6.652946202094889,0.0
2117,6.652946202094889,0.0
2118,6.652946202094889,0.0
2119,6.652946202094889,0.0
2120,6.652946202094889,0.0
2121,6.652946202094889,0.0
2122,6.652946202094889,0.0
2123,6.652946202094889,0.0
2124,6.652946202094889,0.0
2125,6.652946202094889,0.0
2126,6.652946202094889,0.0
2127,6.652946202094889,0.0
2128,6.652946202094889,0.0
2129,6.652946202094889,0.0
2130,6.652946202094889,0.0
2131,6.652946202094889,0.0
2132,6.652946202094889,0.0
2133,6.652946202094889,0.0
2134,6.652946202094889,0.0
2135,6.652946202094889,0.0
2136,6.652946202094889,0.0
2137,6.652946202094889,0.0
2138,6.652946202094889,0.0
2139,6.652946202094889,0.0
2140,6.652946202094889,0.0
2141,6.652946202094889,0.0
2142,6.682731892094665,0.44770676171101975
2143,6.623160512095113,-0.8914225643261497
2144,6.652946202094889,0.44972018940778735
2145,6.652946202094889,0.0
2146,6.652946202094889,0.0
2147,6.652946202094889,0.0
2148,6.652946202094889,0.0
2149,6.652946202094889,0.0
2150,6.652946202094889,0.0
2151,6.652946202094889,0.0
2152,6.652946202094889,0.0
2153,6.652946202094889,0.0
2154,6.652946202094889,0.0
2155,6.652946202094889,0.0
2156,6.652946202094889,0.0
2157,6.652946202094889,0.0
2158,6.652946202094889,0.0
2159,6.652946202094889,0.0
2160,6.652946202094889,0.0
2161,6.652946202094889,0.0
2162,6.652946202094889,0.0
2163,6.652946202094889,0.0
2164,6.652946202094889,0.0
2165,6.652946202094889,0.0
2166,6.652946202094889,0.0
2167,6.652946202094889,0.0
2168,6.652946202094889,0.0
2169,6.652946202094889,0.0
2170,6.652946202094889,0.0
2171,6.652946202094889,0.0
2172,6.652946202094889,0.0
2173,6.652946202094889,0.0
2174,6.652946202166252,1.0726530774718412e-09
2175,6.652946202023527,-2.14528395048319e-09
2176,6.652946202094889,1.0726530774718412e-09
2177,6.652946202094889,0.0
2178,6.652946202094889,0.0
2179,6.652946202094889,0.0
2180,6.652946202094889,0.0
2181,6.652946202094889,0.0
2182,6.652946202094889,0.0
2183,6.652946202094889,0.0
2184,6.652946202094889,0.0
2185,6.652946202094889,0.0
2186,6.652946202094889,0.0
2187,6.652946202094889,0.0
2188,6.652946202094889,0.0
2189,6.652946202094889,0.0
2190,6.652946202094889,0.0
2191,6.652946202094889,0.0
2192,6.652946202094889,0.0
2193,6.652946202094889,0.0
2194,6.652946202094889,0.0
2195,6.652946202094889,0.0
2196,6.652946202094889,0.0
2197,6.652946202094889,0.0
2198,6.652946202094889,0.0
2199,6.652946202094889,0.0
2200,6.652946202094889,0.0
2201,6.652946202094889,0.0
2202,6.652946202094889,0.0
2203,6.652946202094889,0.0
2204,6.652946202094889,0.0
2205,6.652946202094889,0.0
2206,6.652946202094889,0.0
2207,6.652946202094889,0.0
2208,6.652946202094889,0.0
2209,6.652946202094889,0.0
2210,6.652946202094889,0.0
2211,6.652946202094889,0.0
2212,6.652946202094889,0.0
2213,6.652946202094889,0.0
2214,6.652946202094889,0.0
2215,6.652946202094889,0.0
2216,6.652946202094889,0.0
2217,6.652946202094889,0.0
2218,6.652946202094889,0.0
2219,6.652946202094889,0.0
2220,6.652946202094889,0.0
2221,6.652946202094889,0.0
2222,6.652946202094889,0.0
2223,6.652946202094889,0.0
2224,6.652946202094889,0.0
2225,6.652946202094889,0.0
2226,6.652946202094889,0.0
2227,6.652946202094889,0.0
2228,6.652946202094889,0.0
2229,6.652946202094889,0.0
2230,6.652946202094889,0.0
2231,6.652946202094889,0.0
2232,6.652946202094889,0.0
2233,6.652946202094889,0.0
2234,6.652946202094889,0.0
