Years,predicted_mean,% Change
2018,0.0,
2019,18.665335519588243,inf
2020,9.52260892544344,-48.98238547359631
2021,0.7639596782136787,-91.97741202862531
2024,9.464732415984837,1138.9047073944603
2025,14.045687412841344,48.400258935158114
2026,14.045687412841344,0.0
2027,14.045687412841344,0.0
2028,14.045687412841344,0.0
2029,14.045687412841344,0.0
2030,14.045687412841344,0.0
2031,14.045687412841344,0.0
2032,14.045687412841344,0.0
2033,14.045687412841344,0.0
2034,14.045687412841344,0.0
2035,14.045687412841344,0.0
2036,14.045687412841344,0.0
2037,14.045687412841344,0.0
2038,14.045687412841344,0.0
2039,14.045687412841344,0.0
2040,14.045687412841344,0.0
2041,14.045687412841344,0.0
2042,14.045687412841344,0.0
2043,14.045687412841344,0.0
2044,14.045687412841344,0.0
2045,14.045687412841344,0.0
2046,14.045687412841344,0.0
2047,14.045687412841344,0.0
2048,14.045687412841344,0.0
2049,14.045687412841344,0.0
2050,14.045687412841344,0.0
2051,14.045687412841344,0.0
2052,14.045687412841344,0.0
2053,14.045687412841344,0.0
2054,14.045687412841344,0.0
2055,14.045687412841344,0.0
2056,14.045687412841344,0.0
2057,14.045687412841344,0.0
2058,14.045687412841344,0.0
2059,14.045687412841344,0.0
2060,14.045687412841344,0.0
2061,14.045687412841344,0.0
2062,14.045687412841344,0.0
2063,14.045687412841344,0.0
2064,14.045687412841344,0.0
2065,14.045687412841344,0.0
2066,14.045687412841344,0.0
2067,14.045687412841344,0.0
2068,14.045687412841344,0.0
2069,14.045687412841344,0.0
2070,14.045687412841344,0.0
2071,14.045687412841344,0.0
2072,14.045687412841344,0.0
2073,14.045687412841344,0.0
2074,14.045687412841344,0.0
2075,14.045687412841344,0.0
2076,14.045687412841344,0.0
2077,14.045687412841344,0.0
2078,14.045687412841344,0.0
2079,14.045687412841344,0.0
2080,14.045687412841344,0.0
2081,14.045687412841344,0.0
2082,14.045687412841344,0.0
2083,14.045687412841344,0.0
2084,14.045687412841344,0.0
2085,14.045687412841344,0.0
2086,14.045687412841344,0.0
2087,14.045687412841344,0.0
2088,14.045687412841344,0.0
2089,14.045687412841344,0.0
2090,14.045687412841344,0.0
2091,14.045687412841344,0.0
2092,14.045687412841344,0.0
2093,14.045687412841344,0.0
2094,14.045687412841344,0.0
2095,14.045687412841344,0.0
2096,14.045687412841344,0.0
2097,14.045687412841344,0.0
2098,14.045687412841344,0.0
2099,14.045687412841344,0.0
2100,14.045687412841344,0.0
2101,14.045687412841344,0.0
2102,14.045687412841344,0.0
2103,14.045687412841344,0.0
2104,14.045687412841344,0.0
2105,14.045687412841344,0.0
2106,14.045687412841344,0.0
2107,14.045687412841344,0.0
2108,14.045687412841344,0.0
2109,14.045687412841344,0.0
2110,14.045687412841344,0.0
2111,14.045687412841344,0.0
2112,14.045687412841344,0.0
2113,14.045687412841344,0.0
2114,14.045687412841344,0.0
2115,14.045687412841344,0.0
2116,14.045687412841344,0.0
2117,14.045687412841344,0.0
2118,14.045687412841344,0.0
2119,14.045687412841344,0.0
2120,14.045687412841344,0.0
2121,14.045687412841344,0.0
2122,14.045687412841344,0.0
2123,14.045687412841344,0.0
2124,14.045687412841344,0.0
2125,14.045687412841344,0.0
2126,14.045687412841344,0.0
2127,14.045687412841344,0.0
2128,14.045687412841344,0.0
2129,14.045687412841344,0.0
2130,14.045687412841344,0.0
2131,14.045687412841344,0.0
2132,14.045687412841344,0.0
2133,14.045687412841344,0.0
2134,14.045687412841344,0.0
2135,14.045687412841344,0.0
2136,14.045687412841344,0.0
2137,14.045687412841344,0.0
2138,14.045687412841344,0.0
2139,14.045687412841344,0.0
2140,14.045687412841344,0.0
2141,14.045687412841344,0.0
2142,14.045687412841344,0.0
2143,14.045687412841344,0.0
2144,14.045687412841344,0.0
2145,14.045687412841344,0.0
2146,14.045687412841344,0.0
2147,14.045687412841344,0.0
2148,14.045687412841344,0.0
2149,14.045687412841344,0.0
2150,14.045687412841344,0.0
2151,14.045687412841344,0.0
2152,14.045687412841344,0.0
2153,14.045687412841344,0.0
2154,14.045687412841344,0.0
2155,14.045687412841344,0.0
2156,14.045687412841344,0.0
2157,14.045687412841344,0.0
2158,14.045687412841344,0.0
2159,14.045687412841344,0.0
2160,14.045687412841344,0.0
2161,14.045687412841344,0.0
2162,14.045687412841344,0.0
2163,14.045687412841344,0.0
2164,14.045687412841344,0.0
2165,14.045687412841344,0.0
2166,14.045687412841344,0.0
2167,14.045687412841344,0.0
2168,14.045687412841344,0.0
2169,14.045687412841344,0.0
2170,14.045687412841344,0.0
2171,14.045687412841344,0.0
2172,14.045687412841344,0.0
2173,14.045687412841344,0.0
2174,14.045687412841344,0.0
2175,14.045687412841344,0.0
2176,14.045687412841344,0.0
2177,14.045687412841344,0.0
2178,14.045687412841344,0.0
2179,14.045687412841344,0.0
2180,14.045687412841344,0.0
2181,14.045687412841344,0.0
2182,14.045687412841344,0.0
2183,14.045687412841344,0.0
2184,14.045687412841344,0.0
2185,14.045687412841344,0.0
