Years,predicted_mean,% Change
2018,25.0,
2019,0.0,-100.0
2020,0.0,
2021,0.0,
2024,-0.009523290065781133,-inf
2025,-0.009528358585492681,0.05322235988338697
2026,-0.009528358585492681,0.0
2027,-0.009528358585492681,0.0
2028,-0.009528358585492681,0.0
2029,-0.009528358585492681,0.0
2030,-0.009528358585492681,0.0
2031,-0.009528358585492681,0.0
2032,-0.009528358585492681,0.0
2033,-0.009528358585492681,0.0
2034,-0.009528358585492681,0.0
2035,-0.009528358585492681,0.0
2036,-0.009528358585492681,0.0
2037,-0.009528358585492681,0.0
2038,-0.009528358585492681,0.0
2039,-0.009528358585492681,0.0
2040,-0.009528358585492681,0.0
2041,-0.009528358585492681,0.0
2042,-0.009528358585492681,0.0
2043,-0.009528358585492681,0.0
2044,-0.009528358585492681,0.0
2045,-0.009528358585492681,0.0
2046,-0.009528358585492681,0.0
2047,-0.009528358585492681,0.0
2048,-0.009528358585492681,0.0
2049,-0.009528358585492681,0.0
2050,-0.009528358585492681,0.0
2051,-0.009528358585492681,0.0
2052,-0.009528358585492681,0.0
2053,-0.009528358585492681,0.0
2054,-0.009528358585492681,0.0
2055,-0.009528358585492681,0.0
2056,-0.009528358585492681,0.0
2057,-0.009528358585492681,0.0
2058,-0.009528358585492681,0.0
2059,-0.009528358585492681,0.0
2060,-0.009528358585492681,0.0
2061,-0.009528358585492681,0.0
2062,-0.009528358585492681,0.0
2063,-0.009528358585492681,0.0
2064,-0.009528358585492681,0.0
2065,-0.009528358585492681,0.0
2066,-0.009528358585492681,0.0
2067,-0.009528358585492681,0.0
2068,-0.009528358585492681,0.0
2069,-0.009528358585492681,0.0
2070,-0.009528358585492681,0.0
2071,-0.009528358585492681,0.0
2072,-0.009528358585492681,0.0
2073,-0.009528358585492681,0.0
2074,-0.009528358585492681,0.0
2075,-0.009528358585492681,0.0
2076,-0.009528358585492681,0.0
2077,-0.009528358585492681,0.0
2078,-0.009528358585492681,0.0
2079,-0.009528358585492681,0.0
2080,-0.009528358585492681,0.0
2081,-0.009528358585492681,0.0
2082,-0.009528358585492681,0.0
2083,-0.009528358585492681,0.0
2084,-0.009528358585492681,0.0
2085,-0.009528358585492681,0.0
2086,-0.009528358585492681,0.0
2087,-0.009528358585492681,0.0
2088,-0.009528358585492681,0.0
2089,-0.009528358585492681,0.0
2090,-0.009528358585492681,0.0
2091,-0.009528358585492681,0.0
2092,-0.009528358585492681,0.0
2093,-0.009528358585492681,0.0
2094,-0.009528358585492681,0.0
2095,-0.009528358585492681,0.0
2096,-0.009528358585492681,0.0
2097,-0.009528358585492681,0.0
2098,-0.009528358585492681,0.0
2099,-0.009528358585492681,0.0
2100,-0.009528358585492681,0.0
2101,-0.009528358585492681,0.0
2102,-0.009528358585492681,0.0
2103,-0.009528358585492681,0.0
2104,-0.009528358585492681,0.0
2105,-0.009528358585492681,0.0
2106,-0.009528358585492681,0.0
2107,-0.009528358585492681,0.0
2108,-0.009528358585492681,0.0
2109,-0.009528358585492681,0.0
2110,-0.009528358585492681,0.0
2111,-0.009528358585492681,0.0
2112,-0.009528358585492681,0.0
2113,-0.009528358585492681,0.0
2114,-0.009528358585492681,0.0
2115,-0.009528358585492681,0.0
2116,-0.009528358585492681,0.0
2117,-0.009528358585492681,0.0
2118,-0.009528358585492681,0.0
2119,-0.009528358585492681,0.0
2120,-0.009528358585492681,0.0
2121,-0.009528358585492681,0.0
2122,-0.009528358585492681,0.0
2123,-0.009528358585492681,0.0
2124,-0.009528358585492681,0.0
2125,-0.009528358585492681,0.0
2126,-0.009528358585492681,0.0
2127,-0.009528358585492681,0.0
2128,-0.009528358585492681,0.0
2129,-0.009528358585492681,0.0
2130,-0.009528358585492681,0.0
2131,-0.009528358585492681,0.0
2132,-0.009528358585492681,0.0
2133,-0.009528358585492681,0.0
2134,-0.009528358585492681,0.0
2135,-0.009528358585492681,0.0
2136,-0.009528358585492681,0.0
2137,-0.009528358585492681,0.0
2138,-0.009528358585492681,0.0
2139,-0.009528358585492681,0.0
2140,-0.009528358585492681,0.0
2141,-0.009528358585492681,0.0
2142,-0.009528358585492681,0.0
2143,-0.009528358585492681,0.0
2144,-0.009528358585492681,0.0
2145,-0.009528358585492681,0.0
2146,-0.009528358585492681,0.0
2147,-0.009528358585492681,0.0
2148,-0.009528358585492681,0.0
2149,-0.009528358585492681,0.0
2150,-0.009528358585492681,0.0
2151,-0.009528358585492681,0.0
2152,-0.009528358585492681,0.0
2153,-0.009528358585492681,0.0
2154,-0.009528358585492681,0.0
2155,-0.009528358585492681,0.0
2156,-0.009528358585492681,0.0
2157,-0.009528358585492681,0.0
2158,-0.009528358585492681,0.0
2159,-0.009528358585492681,0.0
2160,-0.009528358585492681,0.0
2161,-0.009528358585492681,0.0
2162,-0.009528358585492681,0.0
2163,-0.009528358585492681,0.0
2164,-0.009528358585492681,0.0
2165,-0.009528358585492681,0.0
2166,-0.009528358585492681,0.0
2167,-0.009528358585492681,0.0
2168,-0.009528358585492681,0.0
2169,-0.009528358585492681,0.0
2170,-0.009528358585492681,0.0
2171,-0.009528358585492681,0.0
2172,-0.009528358585492681,0.0
2173,-0.009528358585492681,0.0
2174,-0.009528358585492681,0.0
2175,-0.009528358585492681,0.0
2176,-0.009528358585492681,0.0
