Years,predicted_mean,% Change
2018,0.0,
2019,20.986071047846526,inf
2020,20.019481168730014,-4.605863941434141
2021,19.991303690557825,-0.14075029185173227
2024,20.60678297986134,3.078735128185839
2025,20.60679571068593,6.177977709409532e-05
2026,20.60679571068593,0.0
2027,20.60679571068593,0.0
2028,20.60679571068593,0.0
2029,20.60679571068593,0.0
2030,20.60679571068593,0.0
2031,20.60679571068593,0.0
2032,20.60679571068593,0.0
2033,20.60679571068593,0.0
2034,20.60679571068593,0.0
2035,20.60679571068593,0.0
2036,20.60679571068593,0.0
2037,20.60679571068593,0.0
2038,20.60679571068593,0.0
2039,20.60679571068593,0.0
2040,20.60679571068593,0.0
2041,20.60679571068593,0.0
2042,20.60679571068593,0.0
2043,20.60679571068593,0.0
2044,20.60679571068593,0.0
2045,20.60679571068593,0.0
2046,20.60679571068593,0.0
2047,20.60679571068593,0.0
2048,20.60679571068593,0.0
2049,20.60679571068593,0.0
2050,20.60679571068593,0.0
2051,20.60679571068593,0.0
2052,20.60679571068593,0.0
2053,20.60679571068593,0.0
2054,20.60679571068593,0.0
2055,20.60679571068593,0.0
2056,20.60679571068593,0.0
2057,20.60679571068593,0.0
2058,20.60679571068593,0.0
2059,20.60679571068593,0.0
2060,20.60679571068593,0.0
2061,20.60679571068593,0.0
2062,20.60679571068593,0.0
2063,20.60679571068593,0.0
2064,20.60679571068593,0.0
2065,20.60679571068593,0.0
2066,20.60679571068593,0.0
2067,20.60679571068593,0.0
2068,20.60679571068593,0.0
2069,20.60679571068593,0.0
2070,20.60679571068593,0.0
2071,20.60679571068593,0.0
2072,20.60679571068593,0.0
2073,20.60679571068593,0.0
2074,20.60679571068593,0.0
2075,20.60679571068593,0.0
2076,20.60679571068593,0.0
2077,20.60679571068593,0.0
2078,20.60679571068593,0.0
2079,20.60679571068593,0.0
2080,20.60679571068593,0.0
2081,20.60679571068593,0.0
2082,20.60679571068593,0.0
2083,20.60679571068593,0.0
2084,20.60679571068593,0.0
2085,20.60679571068593,0.0
2086,20.60679571068593,0.0
2087,20.60679571068593,0.0
2088,20.60679571068593,0.0
2089,20.60679571068593,0.0
2090,20.60679571068593,0.0
2091,20.60679571068593,0.0
2092,20.60679571068593,0.0
2093,20.60679571068593,0.0
2094,20.60679571068593,0.0
2095,20.60679571068593,0.0
2096,20.60679571068593,0.0
2097,20.60679571068593,0.0
2098,20.60679571068593,0.0
2099,20.60679571068593,0.0
2100,20.60679571068593,0.0
2101,20.60679571068593,0.0
2102,20.60679571068593,0.0
2103,20.60679571068593,0.0
2104,20.60679571068593,0.0
2105,20.60679571068593,0.0
2106,20.60679571068593,0.0
2107,20.60679571068593,0.0
2108,20.60679571068593,0.0
2109,20.60679571068593,0.0
2110,20.60679571068593,0.0
2111,20.60679571068593,0.0
2112,20.60679571068593,0.0
2113,20.60679571068593,0.0
2114,20.60679571068593,0.0
2115,20.60679571068593,0.0
2116,20.60679571068593,0.0
2117,20.60679571068593,0.0
2118,20.60679571068593,0.0
2119,20.60679571068593,0.0
2120,20.60679571068593,0.0
2121,20.60679571068593,0.0
2122,20.60679571068593,0.0
2123,20.60679571068593,0.0
2124,20.60679571068593,0.0
2125,20.60679571068593,0.0
2126,20.60679571068593,0.0
