Years,predicted_mean,% Change
2018,21498.0,
2019,24324.67402274722,13.148544156420217
2020,17404.43597500689,-28.44945852622266
2021,510.6844809937579,-97.06577977173687
2024,18012.637492926875,3427.155839526489
2025,20864.457688322284,15.832329921230293
2026,20864.457688322284,0.0
2027,20864.457688322284,0.0
2028,20864.457688322284,0.0
2029,20864.457688322284,0.0
2030,20864.457688322284,0.0
2031,20864.457688322284,0.0
2032,20864.457688322284,0.0
2033,20864.457688322284,0.0
2034,20864.457688322284,0.0
2035,20864.457688322284,0.0
2036,20864.457688322284,0.0
2037,20864.457688322284,0.0
2038,20864.457688322284,0.0
2039,20864.457688322284,0.0
2040,20864.457688322284,0.0
2041,20864.457688322284,0.0
2042,20864.457688322284,0.0
2043,20864.457688322284,0.0
2044,20864.457688322284,0.0
2045,20864.457688322284,0.0
2046,20864.457688322284,0.0
2047,20864.457688322284,0.0
2048,20864.457688322284,0.0
2049,20864.457688322284,0.0
2050,20864.457688322284,0.0
2051,20864.457688322284,0.0
2052,20864.457688322284,0.0
2053,20864.457688322284,0.0
2054,20864.457688322284,0.0
2055,20864.457688322284,0.0
2056,20864.457688322284,0.0
2057,20864.457688322284,0.0
2058,20864.457688322284,0.0
2059,20864.457688322284,0.0
2060,20864.457688322284,0.0
2061,20864.457688322284,0.0
2062,20864.457688322284,0.0
2063,20864.457688322284,0.0
2064,20864.457688322284,0.0
2065,20864.457688322284,0.0
2066,20864.457688322284,0.0
2067,20864.457688322284,0.0
2068,20864.457688322284,0.0
2069,20864.457688322284,0.0
2070,20864.457688322284,0.0
2071,20864.457688322284,0.0
2072,20864.457688322284,0.0
2073,20864.457688322284,0.0
2074,20864.457688322284,0.0
2075,20864.457688322284,0.0
2076,20864.457688322284,0.0
2077,20864.457688322284,0.0
2078,20864.457688322284,0.0
2079,20864.457688322284,0.0
2080,20864.457688322284,0.0
2081,20864.457688322284,0.0
2082,20864.457688322284,0.0
2083,20864.457688322284,0.0
2084,20864.457688322284,0.0
2085,20864.457688322284,0.0
2086,20864.457688322284,0.0
2087,20864.457688322284,0.0
2088,20864.457688322284,0.0
2089,20864.457688322284,0.0
2090,20864.457688322284,0.0
2091,20864.457688322284,0.0
2092,20864.457688322284,0.0
2093,20864.457688322284,0.0
2094,20864.457688322284,0.0
2095,20864.457688322284,0.0
2096,20864.457688322284,0.0
2097,20864.457688322284,0.0
2098,20864.457688322284,0.0
2099,20864.457688322284,0.0
2100,20864.457688322284,0.0
2101,20864.457688322284,0.0
2102,20864.457688322284,0.0
2103,20864.457688322284,0.0
2104,20864.457688322284,0.0
2105,20864.457688322284,0.0
2106,20864.457688322284,0.0
2107,20864.457688322284,0.0
2108,20864.457688322284,0.0
2109,20864.457688322284,0.0
2110,20864.457688322284,0.0
2111,20864.457688322284,0.0
2112,20864.457688322284,0.0
2113,20864.457688322284,0.0
2114,20864.457688322284,0.0
2115,20864.457688322284,0.0
2116,20864.457688322284,0.0
2117,20864.457688322284,0.0
2118,20864.457688322284,0.0
2119,20864.457688322284,0.0
2120,20864.457688322284,0.0
2121,20864.457688322284,0.0
2122,20864.457688322284,0.0
2123,20864.457688322284,0.0
2124,20864.457688322284,0.0
2125,20864.457688322284,0.0
2126,20864.457688322284,0.0
2127,20864.457688322284,0.0
2128,20864.457688322284,0.0
2129,20864.457688322284,0.0
2130,20864.457688322284,0.0
2131,20864.457688322284,0.0
2132,20864.457688322284,0.0
2133,20864.457688322284,0.0
2134,20864.457688322284,0.0
2135,20864.457688322284,0.0
2136,20864.457688322284,0.0
2137,20864.457688322284,0.0
2138,20864.457688322284,0.0
2139,20864.457688322284,0.0
2140,20864.457688322284,0.0
2141,20864.457688322284,0.0
2142,20864.457688322284,0.0
2143,20864.457688322284,0.0
2144,20864.457688322284,0.0
2145,20864.457688322284,0.0
2146,20864.457688322284,0.0
2147,20864.457688322284,0.0
2148,20864.457688322284,0.0
2149,20864.457688322284,0.0
2150,20864.457688322284,0.0
2151,20864.457688322284,0.0
2152,20864.457688322284,0.0
2153,20864.457688322284,0.0
2154,20864.457688322284,0.0
2155,20864.457688322284,0.0
2156,20864.457688322284,0.0
2157,20864.457688322284,0.0
2158,20864.457688322284,0.0
2159,20864.457688322284,0.0
2160,20864.457688322284,0.0
2161,20864.457688322284,0.0
2162,20864.457688322284,0.0
2163,20864.457688322284,0.0
2164,20864.457688322284,0.0
2165,20864.457688322284,0.0
2166,20864.457688322284,0.0
2167,20864.457688322284,0.0
2168,20864.457688322284,0.0
2169,20864.457688322284,0.0
2170,20864.457688322284,0.0
2171,20864.457688322284,0.0
2172,20864.457688322284,0.0
2173,20864.457688322284,0.0
2174,20864.457688322284,0.0
2175,20864.457688322284,0.0
2176,20864.457688322284,0.0
2177,20864.457688322284,0.0
2178,20864.457688322284,0.0
2179,20864.457688322284,0.0
2180,20864.457688322284,0.0
2181,20864.457688322284,0.0
2182,20864.457688322284,0.0
2183,20864.457688322284,0.0
2184,20864.457688322284,0.0
2185,20864.457688322284,0.0
2186,20864.457688322284,0.0
2187,20864.457688322284,0.0
2188,20864.457688322284,0.0
2189,20864.457688322284,0.0
2190,20864.457688322284,0.0
2191,20864.457688322284,0.0
2192,20864.457688322284,0.0
2193,20864.457688322284,0.0
2194,20864.457688322284,0.0
2195,20864.457688322284,0.0
2196,20864.457688322284,0.0
2197,20864.457688322284,0.0
2198,20864.457688322284,0.0
2199,20864.457688322284,0.0
2200,20864.457688322284,0.0
2201,20864.457688322284,0.0
2202,20864.457688322284,0.0
2203,20864.457688322284,0.0
2204,20864.457688322284,0.0
2205,20864.457688322284,0.0
2206,20864.457688322284,0.0
2207,20864.457688322284,0.0
2208,20864.457688322284,0.0
2209,20864.457688322284,0.0
2210,20864.457688322284,0.0
2211,20864.457688322284,0.0
2212,20864.457688322284,0.0
2213,20864.457688322284,0.0
2214,20864.457688322284,0.0
2215,20864.457688322284,0.0
2216,20864.457688322284,0.0
2217,20864.457688322284,0.0
2218,20864.457688322284,0.0
2219,20864.457688322284,0.0
2220,20864.457688322284,0.0
2221,20864.457688322284,0.0
2222,20864.457688322284,0.0
2223,20864.457688322284,0.0
2224,20864.457688322284,0.0
2225,20864.457688322284,0.0
2226,20864.457688322284,0.0
2227,20864.457688322284,0.0
2228,20864.457688322284,0.0
2229,20864.457688322284,0.0
2230,20864.457688322284,0.0
2231,20864.457688322284,0.0
2232,20864.457688322284,0.0
2233,20864.457688322284,0.0
2234,20864.457688322284,0.0
2235,20864.457688322284,0.0
2236,20864.457688322284,0.0
2237,20864.457688322284,0.0
2238,20864.457688322284,0.0
2239,20864.457688322284,0.0
2240,20864.457688322284,0.0
2241,20864.457688322284,0.0
2242,20864.457688322284,0.0
2243,20864.457688322284,0.0
2244,20864.457688322284,0.0
2245,20864.457688322284,0.0
2246,20864.457688322284,0.0
2247,20864.457688322284,0.0
2248,20864.457688322284,0.0
2249,20864.457688322284,0.0
2250,20864.457688322284,0.0
2251,20864.457688322284,0.0
2252,20864.457688322284,0.0
2253,20864.457688322284,0.0
2254,20864.457688322284,0.0
2255,20864.457688322284,0.0
2256,20864.457688322284,0.0
2257,20864.457688322284,0.0
2258,20864.457688322284,0.0
2259,20864.457688322284,0.0
2260,20864.457688322284,0.0
2261,20864.457688322284,0.0
2262,20864.457688322284,0.0
2263,20864.457688322284,0.0
2264,20864.457688322284,0.0
2265,20864.457688322284,0.0
2266,20864.457688322284,0.0
2267,20864.457688322284,0.0
2268,20864.457688322284,0.0
2269,20864.457688322284,0.0
2270,20864.457688322284,0.0
2271,20864.457688322284,0.0
2272,20864.457688322284,0.0
2273,20864.457688322284,0.0
2274,20864.457688322284,0.0
2275,20864.457688322284,0.0
2276,20864.457688322284,0.0
2277,20864.457688322284,0.0
2278,20864.457688322284,0.0
2279,20864.457688322284,0.0
2280,20864.457688322284,0.0
2281,20864.457688322284,0.0
2282,20864.457688322284,0.0
2283,20864.457688322284,0.0
2284,20864.457688322284,0.0
2285,20864.457688322284,0.0
2286,20864.457688322284,0.0
2287,20864.457688322284,0.0
2288,20864.457688322284,0.0
2289,20864.457688322284,0.0
2290,20864.457688322284,0.0
2291,20864.457688322284,0.0
2292,20864.457688322284,0.0
2293,20864.457688322284,0.0
2294,20864.457688322284,0.0
2295,20864.457688322284,0.0
2296,20864.457688322284,0.0
2297,20864.457688322284,0.0
2298,20864.457688322284,0.0
2299,20864.457688322284,0.0
2300,20864.457688322284,0.0
2301,20864.457688322284,0.0
2302,20864.457688322284,0.0
2303,20864.457688322284,0.0
2304,20864.457688322284,0.0
2305,20864.457688322284,0.0
2306,20864.457688322284,0.0
2307,20864.457688322284,0.0
2308,20864.457688322284,0.0
2309,20864.457688322284,0.0
2310,20864.457688322284,0.0
2311,20864.457688322284,0.0
2312,20864.457688322284,0.0
2313,20864.457688322284,0.0
2314,20864.457688322284,0.0
2315,20864.457688322284,0.0
2316,20864.457688322284,0.0
2317,20864.457688322284,0.0
2318,20864.457688322284,0.0
2319,20864.457688322284,0.0
2320,20864.457688322284,0.0
2321,20864.457688322284,0.0
2322,20864.457688322284,0.0
2323,20864.457688322284,0.0
2324,20864.457688322284,0.0
2325,20864.457688322284,0.0
2326,20864.457688322284,0.0
2327,20864.457688322284,0.0
2328,20864.457688322284,0.0
2329,20864.457688322284,0.0
2330,20864.457688322284,0.0
2331,20864.457688322284,0.0
2332,20864.457688322284,0.0
2333,20864.457688322284,0.0
2334,20864.457688322284,0.0
2335,20864.457688322284,0.0
2336,20864.457688322284,0.0
2337,20864.457688322284,0.0
2338,20864.457688322284,0.0
2339,20864.457688322284,0.0
2340,20864.457688322284,0.0
2341,20864.457688322284,0.0
2342,20864.457688322284,0.0
2343,20864.457688322284,0.0
2344,20864.457688322284,0.0
2345,20864.457688322284,0.0
2346,20864.457688322284,0.0
2347,20864.457688322284,0.0
2348,20864.457688322284,0.0
2349,20864.457688322284,0.0
2350,20864.457688322284,0.0
2351,20864.457688322284,0.0
2352,20864.457688322284,0.0
2353,20864.457688322284,0.0
2354,20864.457688322284,0.0
2355,20864.457688322284,0.0
2356,20864.457688322284,0.0
2357,20864.457688322284,0.0
2358,20864.457688322284,0.0
2359,20864.457688322284,0.0
2360,20864.457688322284,0.0
2361,20864.457688322284,0.0
2362,20864.457688322284,0.0
2363,20864.457688322284,0.0
2364,20864.457688322284,0.0
2365,20864.457688322284,0.0
2366,20864.457688322284,0.0
2367,20864.457688322284,0.0
2368,20864.457688322284,0.0
2369,20864.457688322284,0.0
2370,20864.457688322284,0.0
2371,20864.457688322284,0.0
2372,20864.457688322284,0.0
2373,20864.457688322284,0.0
2374,20864.457688322284,0.0
2375,20864.457688322284,0.0
2376,20864.457688322284,0.0
2377,20864.457688322284,0.0
2378,20864.457688322284,0.0
2379,20864.457688322284,0.0
2380,20864.457688322284,0.0
2381,20864.457688322284,0.0
2382,20864.457688322284,0.0
2383,20864.457688322284,0.0
2384,20864.457688322284,0.0
2385,20864.457688322284,0.0
2386,20864.457688322284,0.0
2387,20864.457688322284,0.0
2388,20864.457688322284,0.0
2389,20864.457688322284,0.0
2390,20864.457688322284,0.0
2391,20864.457688322284,0.0
2392,20864.457688322284,0.0
2393,20864.457688322284,0.0
2394,20864.457688322284,0.0
2395,20864.457688322284,0.0
2396,20864.457688322284,0.0
2397,20864.457688322284,0.0
2398,20864.457688322284,0.0
2399,20864.457688322284,0.0
2400,20864.457688322284,0.0
2401,20864.457688322284,0.0
2402,20864.457688322284,0.0
2403,20864.457688322284,0.0
2404,20864.457688322284,0.0
2405,20864.457688322284,0.0
2406,20864.457688322284,0.0
2407,20864.457688322284,0.0
2408,20864.457688322284,0.0
2409,20864.457688322284,0.0
2410,20864.457688322284,0.0
2411,20864.457688322284,0.0
2412,20864.457688322284,0.0
2413,20864.457688322284,0.0
2414,20864.457688322284,0.0
2415,20864.457688322284,0.0
2416,20864.457688322284,0.0
2417,20864.457688322284,0.0
2418,20864.457688322284,0.0
2419,20864.457688322284,0.0
2420,20864.457688322284,0.0
2421,20864.457688322284,0.0
2422,20864.457688322284,0.0
2423,20864.457688322284,0.0
2424,20864.457688322284,0.0
2425,20864.457688322284,0.0
2426,20864.457688322284,0.0
2427,20864.457688322284,0.0
2428,20864.457688322284,0.0
2429,20864.457688322284,0.0
2430,20864.457688322284,0.0
2431,20864.457688322284,0.0
2432,20864.457688322284,0.0
2433,20864.457688322284,0.0
2434,20864.457688322284,0.0
2435,20864.457688322284,0.0
2436,20864.457688322284,0.0
2437,20864.457688322284,0.0
2438,20864.457688322284,0.0
2439,20864.457688322284,0.0
2440,20864.457688322284,0.0
2441,20864.457688322284,0.0
2442,20864.457688322284,0.0
2443,20864.457688322284,0.0
2444,20864.457688322284,0.0
2445,20864.457688322284,0.0
2446,20864.457688322284,0.0
2447,20864.457688322284,0.0
2448,20864.457688322284,0.0
2449,20864.457688322284,0.0
2450,20864.457688322284,0.0
2451,20864.457688322284,0.0
2452,20864.457688322284,0.0
2453,20864.457688322284,0.0
2454,20864.457688322284,0.0
2455,20864.457688322284,0.0
2456,20864.457688322284,0.0
2457,20864.457688322284,0.0
2458,20864.457688322284,0.0
2459,20864.457688322284,0.0
2460,20864.457688322284,0.0
2461,20864.457688322284,0.0
2462,20864.457688322284,0.0
2463,20864.457688322284,0.0
2464,20864.457688322284,0.0
2465,20864.457688322284,0.0
2466,20864.457688322284,0.0
2467,20864.457688322284,0.0
2468,20864.457688322284,0.0
2469,20864.457688322284,0.0
2470,20864.457688322284,0.0
2471,20864.457688322284,0.0
2472,20864.457688322284,0.0
2473,20864.457688322284,0.0
2474,20864.457688322284,0.0
