Years,predicted_mean,% Change
2018,0.0,
2019,10.099131832542652,inf
2020,2.849857736232342,-71.78116115833657
2021,-1.2891318739879019,-145.23495533121596
2024,2.9010918190032426,-325.0422844661173
2025,6.490809615795731,123.73678672555232
2026,6.490809615795731,0.0
2027,6.490809615795731,0.0
2028,6.490809615795731,0.0
2029,6.490809615795731,0.0
2030,6.490809615795731,0.0
2031,6.490809615795731,0.0
2032,6.490809615795731,0.0
2033,6.490809615795731,0.0
2034,6.490809615795731,0.0
2035,6.490809615795731,0.0
2036,6.490809615795731,0.0
2037,6.490809615795731,0.0
2038,6.490809615795731,0.0
2039,6.490809615795731,0.0
2040,6.490809615795731,0.0
2041,6.490809615795731,0.0
2042,6.490809615795731,0.0
2043,6.490809615795731,0.0
2044,6.490809615795731,0.0
2045,6.490809615795731,0.0
2046,6.490809615795731,0.0
2047,6.490809615795731,0.0
2048,6.490809615795731,0.0
2049,6.490809615795731,0.0
2050,6.490809615795731,0.0
2051,6.490809615795731,0.0
2052,6.490809615795731,0.0
2053,6.490809615795731,0.0
2054,6.490809615795731,0.0
2055,6.490809615795731,0.0
2056,6.490809615795731,0.0
2057,6.490809615795731,0.0
2058,6.490809615795731,0.0
2059,6.490809615795731,0.0
2060,6.490809615795731,0.0
2061,6.490809615795731,0.0
2062,6.490809615795731,0.0
2063,6.490809615795731,0.0
2064,6.490809615795731,0.0
2065,6.490809615795731,0.0
2066,6.490809615795731,0.0
2067,6.490809615795731,0.0
2068,6.490809615795731,0.0
2069,6.490809615795731,0.0
2070,6.490809615795731,0.0
2071,6.490809615795731,0.0
2072,6.490809615795731,0.0
2073,6.490809615795731,0.0
2074,6.490809615795731,0.0
2075,6.490809615795731,0.0
2076,6.490809615795731,0.0
2077,6.490809615795731,0.0
2078,6.490809615795731,0.0
2079,6.490809615795731,0.0
2080,6.490809615795731,0.0
2081,6.490809615795731,0.0
2082,6.490809615795731,0.0
2083,6.490809615795731,0.0
2084,6.490809615795731,0.0
2085,6.490809615795731,0.0
2086,6.490809615795731,0.0
2087,6.490809615795731,0.0
2088,6.490809615795731,0.0
2089,6.490809615795731,0.0
2090,6.490809615795731,0.0
2091,6.490809615795731,0.0
2092,6.490809615795731,0.0
2093,6.490809615795731,0.0
2094,6.490809615795731,0.0
2095,6.490809615795731,0.0
2096,6.490809615795731,0.0
2097,6.490809615795731,0.0
2098,6.490809615795731,0.0
2099,6.490809615795731,0.0
2100,6.490809615795731,0.0
2101,6.490809615795731,0.0
2102,6.490809615795731,0.0
2103,6.490809615795731,0.0
2104,6.490809615795731,0.0
2105,6.490809615795731,0.0
2106,6.490809615795731,0.0
2107,6.490809615795731,0.0
2108,6.490809615795731,0.0
2109,6.490809615795731,0.0
2110,6.490809615795731,0.0
2111,6.490809615795731,0.0
2112,6.490809615795731,0.0
2113,6.490809615795731,0.0
2114,6.490809615795731,0.0
2115,6.490809615795731,0.0
2116,6.490809615795731,0.0
2117,6.490809615795731,0.0
2118,6.490809615795731,0.0
2119,6.490809615795731,0.0
2120,6.490809615795731,0.0
2121,6.490809615795731,0.0
2122,6.490809615795731,0.0
2123,6.490809615795731,0.0
2124,6.490809615795731,0.0
2125,6.490809615795731,0.0
2126,6.490809615795731,0.0
2127,6.490809615795731,0.0
2128,6.490809615795731,0.0
2129,6.490809615795731,0.0
2130,6.490809615795731,0.0
2131,6.490809615795731,0.0
2132,6.490809615795731,0.0
2133,6.490809615795731,0.0
2134,6.490809615795731,0.0
2135,6.490809615795731,0.0
2136,6.490809615795731,0.0
2137,6.490809615795731,0.0
2138,6.490809615795731,0.0
2139,6.490809615795731,0.0
2140,6.490809615795731,0.0
2141,6.490809615795731,0.0
2142,6.490809615795731,0.0
2143,6.490809615795731,0.0
2144,6.490809615795731,0.0
2145,6.490809615795731,0.0
2146,6.490809615795731,0.0
2147,6.490809615795731,0.0
2148,6.490809615795731,0.0
2149,6.490809615795731,0.0
2150,6.490809615795731,0.0
2151,6.490809615795731,0.0
2152,6.490809615795731,0.0
2153,6.490809615795731,0.0
2154,6.490809615795731,0.0
2155,6.490809615795731,0.0
2156,6.490809615795731,0.0
2157,6.490809615795731,0.0
2158,6.490809615795731,0.0
2159,6.490809615795731,0.0
2160,6.490809615795731,0.0
2161,6.490809615795731,0.0
2162,6.490809615795731,0.0
2163,6.490809615795731,0.0
2164,6.490809615795731,0.0
2165,6.490809615795731,0.0
2166,6.490809615795731,0.0
2167,6.490809615795731,0.0
2168,6.490809615795731,0.0
2169,6.490809615795731,0.0
2170,6.490809615795731,0.0
2171,6.490809615795731,0.0
2172,6.490809615795731,0.0
2173,6.490809615795731,0.0
2174,6.490809615795731,0.0
2175,6.490809615795731,0.0
2176,6.490809615795731,0.0
2177,6.490809615795731,0.0
2178,6.490809615795731,0.0
2179,6.490809615795731,0.0
2180,6.490809615795731,0.0
2181,6.490809615795731,0.0
2182,6.490809615795731,0.0
2183,6.490809615795731,0.0
2184,6.490809615795731,0.0
2185,6.490809615795731,0.0
2186,6.490809615795731,0.0
2187,6.490809615795731,0.0
2188,6.490809615795731,0.0
2189,6.490809615795731,0.0
2190,6.490809615795731,0.0
2191,6.490809615795731,0.0
2192,6.490809615795731,0.0
2193,6.490809615795731,0.0
2194,6.490809615795731,0.0
2195,6.490809615795731,0.0
2196,6.490809615795731,0.0
2197,6.490809615795731,0.0
2198,6.490809615795731,0.0
2199,6.490809615795731,0.0
2200,6.490809615795731,0.0
2201,6.490809615795731,0.0
2202,6.490809615795731,0.0
2203,6.490809615795731,0.0
2204,6.490809615795731,0.0
2205,6.490809615795731,0.0
2206,6.490809615795731,0.0
2207,6.490809615795731,0.0
2208,6.490809615795731,0.0
2209,6.490809615795731,0.0
2210,6.490809615795731,0.0
2211,6.490809615795731,0.0
2212,6.490809615795731,0.0
2213,6.490809615795731,0.0
2214,6.490809615795731,0.0
2215,6.490809615795731,0.0
2216,6.490809615795731,0.0
2217,6.490809615795731,0.0
2218,6.490809615795731,0.0
2219,6.490809615795731,0.0
2220,6.490809615795731,0.0
2221,6.490809615795731,0.0
2222,6.490809615795731,0.0
2223,6.490809615795731,0.0
2224,6.490809615795731,0.0
2225,6.490809615795731,0.0
2226,6.490809615795731,0.0
2227,6.490809615795731,0.0
2228,6.490809615795731,0.0
2229,6.490809615795731,0.0
2230,6.490809615795731,0.0
2231,6.490809615795731,0.0
2232,6.490809615795731,0.0
2233,6.490809615795731,0.0
2234,6.490809615795731,0.0
2235,6.490809615795731,0.0
2236,6.490809615795731,0.0
2237,6.490809615795731,0.0
2238,6.490809615795731,0.0
2239,6.490809615795731,0.0
2240,6.490809615795731,0.0
2241,6.490809615795731,0.0
2242,6.490809615795731,0.0
2243,6.490809615795731,0.0
2244,6.490809615795731,0.0
2245,6.490809615795731,0.0
2246,6.490809615795731,0.0
2247,6.490809615795731,0.0
2248,6.490809615795731,0.0
2249,6.490809615795731,0.0
2250,6.490809615795731,0.0
2251,6.490809615795731,0.0
2252,6.490809615795731,0.0
2253,6.490809615795731,0.0
2254,6.490809615795731,0.0
2255,6.490809615795731,0.0
2256,6.490809615795731,0.0
2257,6.490809615795731,0.0
2258,6.490809615795731,0.0
2259,6.490809615795731,0.0
2260,6.490809615795731,0.0
2261,6.490809615795731,0.0
2262,6.490809615795731,0.0
2263,6.490809615795731,0.0
2264,6.490809615795731,0.0
2265,6.490809615795731,0.0
2266,6.490809615795731,0.0
2267,6.490809615795731,0.0
2268,6.490809615795731,0.0
2269,6.490809615795731,0.0
2270,6.490809615795731,0.0
2271,6.490809615795731,0.0
2272,6.490809615795731,0.0
2273,6.490809615795731,0.0
2274,6.490809615795731,0.0
2275,6.490809615795731,0.0
2276,6.490809615795731,0.0
2277,6.490809615795731,0.0
2278,6.490809615795731,0.0
2279,6.490809615795731,0.0
2280,6.490809615795731,0.0
2281,6.490809615795731,0.0
2282,6.490809615795731,0.0
2283,6.490809615795731,0.0
2284,6.490809615795731,0.0
2285,6.490809615795731,0.0
2286,6.490809615795731,0.0
2287,6.490809615795731,0.0
2288,6.490809615795731,0.0
2289,6.490809615795731,0.0
2290,6.490809615795731,0.0
2291,6.490809615795731,0.0
2292,6.490809615795731,0.0
2293,6.490809615795731,0.0
2294,6.490809615795731,0.0
2295,6.490809615795731,0.0
2296,6.490809615795731,0.0
2297,6.490809615795731,0.0
2298,6.490809615795731,0.0
2299,6.490809615795731,0.0
2300,6.490809615795731,0.0
2301,6.490809615795731,0.0
2302,6.490809615795731,0.0
2303,6.490809615795731,0.0
2304,6.490809615795731,0.0
2305,6.490809615795731,0.0
2306,6.490809615795731,0.0
2307,6.490809615795731,0.0
2308,6.490809615795731,0.0
