Years,predicted_mean,% Change
2018,22.0,
2019,1991.9886452912235,8954.493842232834
2020,1747.3596608742596,-12.280641508435897
2021,991.2613159085926,-43.270905349123545
2022,1100.8121431906652,11.05165969093207
2024,1759.9419575525612,59.87668454050947
2025,1869.7333687413552,6.238354095579024
2026,1869.7333687413552,0.0
2027,1869.7333687413552,0.0
2028,1869.7333687413552,0.0
2029,1869.7333687413552,0.0
2030,1869.7333687413552,0.0
2031,1869.7333687413552,0.0
2032,1869.7333687413552,0.0
2033,1869.7333687413552,0.0
2034,1869.7333687413552,0.0
2035,1869.7333687413552,0.0
2036,1869.7333687413552,0.0
2037,1869.7333687413552,0.0
2038,1869.7333687413552,0.0
2039,1869.7333687413552,0.0
2040,1869.7333687413552,0.0
2041,1869.7333687413552,0.0
2042,1869.7333687413552,0.0
2043,1869.7333687413552,0.0
2044,1869.7333687413552,0.0
2045,1869.7333687413552,0.0
2046,1869.7333687413552,0.0
2047,1869.7333687413552,0.0
2048,1869.7333687413552,0.0
2049,1869.7333687413552,0.0
2050,1869.7333687413552,0.0
2051,1869.7333687413552,0.0
2052,1869.7333687413552,0.0
2053,1869.7333687413552,0.0
2054,1869.7333687413552,0.0
2055,1869.7333687413552,0.0
2056,1869.7333687413552,0.0
2057,1869.7333687413552,0.0
2058,1869.7333687413552,0.0
2059,1869.7333687413552,0.0
2060,1869.7333687413552,0.0
2061,1869.7333687413552,0.0
2062,1869.7333687413552,0.0
2063,1869.7333687413552,0.0
2064,1869.7333687413552,0.0
2065,1869.7333687413552,0.0
2066,1869.7333687413552,0.0
2067,1869.7333687413552,0.0
2068,1869.7333687413552,0.0
2069,1869.7333687413552,0.0
2070,1869.7333687413552,0.0
2071,1869.7333687413552,0.0
2072,1869.7333687413552,0.0
2073,1869.7333687413552,0.0
2074,1869.7333687413552,0.0
2075,1869.7333687413552,0.0
2076,1869.7333687413552,0.0
2077,1869.7333687413552,0.0
2078,1869.7333687413552,0.0
2079,1869.7333687413552,0.0
2080,1869.7333687413552,0.0
2081,1869.7333687413552,0.0
2082,1869.7333687413552,0.0
2083,1869.7333687413552,0.0
2084,1869.7333687413552,0.0
2085,1869.7333687413552,0.0
2086,1869.7333687413552,0.0
2087,1869.7333687413552,0.0
2088,1869.7333687413552,0.0
2089,1869.7333687413552,0.0
2090,1869.7333687413552,0.0
2091,1869.7333687413552,0.0
2092,1869.7333687413552,0.0
2093,1869.7333687413552,0.0
2094,1869.7333687413552,0.0
2095,1869.7333687413552,0.0
2096,1869.7333687413552,0.0
2097,1869.7333687413552,0.0
2098,1869.7333687413552,0.0
2099,1869.7333687413552,0.0
2100,1869.7333687413552,0.0
2101,1869.7333687413552,0.0
2102,1869.7333687413552,0.0
2103,1869.7333687413552,0.0
2104,1869.7333687413552,0.0
2105,1869.7333687413552,0.0
2106,1869.7333687413552,0.0
2107,1869.7333687413552,0.0
2108,1869.7333687413552,0.0
2109,1869.7333687413552,0.0
2110,1869.7333687413552,0.0
2111,1869.7333687413552,0.0
2112,1869.7333687413552,0.0
2113,1869.7333687413552,0.0
2114,1869.7333687413552,0.0
2115,1869.7333687413552,0.0
2116,1869.7333687413552,0.0
2117,1869.7333687413552,0.0
2118,1869.7333687413552,0.0
2119,1869.7333687413552,0.0
2120,1869.7333687413552,0.0
2121,1869.7333687413552,0.0
2122,1869.7333687413552,0.0
2123,1869.7333687413552,0.0
2124,1869.7333687413552,0.0
2125,1869.7333687413552,0.0
2126,1869.7333687413552,0.0
2127,1869.7333687413552,0.0
2128,1869.7333687413552,0.0
2129,1869.7333687413552,0.0
2130,1869.7333687413552,0.0
2131,1869.7333687413552,0.0
2132,1869.7333687413552,0.0
2133,1869.7333687413552,0.0
2134,1869.7333687413552,0.0
2135,1869.7333687413552,0.0
2136,1869.7333687413552,0.0
2137,1869.7333687413552,0.0
2138,1869.7333687413552,0.0
2139,1869.7333687413552,0.0
2140,1869.7333687413552,0.0
2141,1869.7333687413552,0.0
2142,1869.7333687413552,0.0
2143,1869.7333687413552,0.0
2144,1869.7333687413552,0.0
2145,1869.7333687413552,0.0
2146,1869.7333687413552,0.0
2147,1869.7333687413552,0.0
2148,1869.7333687413552,0.0
2149,1869.7333687413552,0.0
2150,1869.7333687413552,0.0
2151,1869.7333687413552,0.0
2152,1869.7333687413552,0.0
2153,1869.7333687413552,0.0
2154,1869.7333687413552,0.0
2155,1869.7333687413552,0.0
2156,1869.7333687413552,0.0
2157,1869.7333687413552,0.0
2158,1869.7333687413552,0.0
2159,1869.7333687413552,0.0
2160,1869.7333687413552,0.0
2161,1869.7333687413552,0.0
2162,1869.7333687413552,0.0
2163,1869.7333687413552,0.0
2164,1869.7333687413552,0.0
2165,1869.7333687413552,0.0
2166,1869.7333687413552,0.0
2167,1869.7333687413552,0.0
2168,1869.7333687413552,0.0
2169,1869.7333687413552,0.0
2170,1869.7333687413552,0.0
2171,1869.7333687413552,0.0
2172,1869.7333687413552,0.0
2173,1869.7333687413552,0.0
2174,1869.7333687413552,0.0
2175,1869.7333687413552,0.0
2176,1869.7333687413552,0.0
2177,1869.7333687413552,0.0
2178,1869.7333687413552,0.0
2179,1869.7333687413552,0.0
2180,1869.7333687413552,0.0
2181,1869.7333687413552,0.0
2182,1869.7333687413552,0.0
2183,1869.7333687413552,0.0
2184,1869.7333687413552,0.0
2185,1869.7333687413552,0.0
2186,1869.7333687413552,0.0
2187,1869.7333687413552,0.0
2188,1869.7333687413552,0.0
2189,1869.7333687413552,0.0
2190,1869.7333687413552,0.0
2191,1869.7333687413552,0.0
2192,1869.7333687413552,0.0
2193,1869.7333687413552,0.0
2194,1869.7333687413552,0.0
2195,1869.7333687413552,0.0
2196,1869.7333687413552,0.0
2197,1869.7333687413552,0.0
2198,1869.7333687413552,0.0
2199,1869.7333687413552,0.0
2200,1869.7333687413552,0.0
2201,1869.7333687413552,0.0
2202,1869.7333687413552,0.0
2203,1869.7333687413552,0.0
2204,1869.7333687413552,0.0
2205,1869.7333687413552,0.0
2206,1869.7333687413552,0.0
2207,1869.7333687413552,0.0
2208,1869.7333687413552,0.0
2209,1869.7333687413552,0.0
2210,1869.7333687413552,0.0
2211,1869.7333687413552,0.0
2212,1869.7333687413552,0.0
2213,1869.7333687413552,0.0
2214,1869.7333687413552,0.0
2215,1869.7333687413552,0.0
2216,1869.7333687413552,0.0
2217,1869.7333687413552,0.0
2218,1869.7333687413552,0.0
2219,1869.7333687413552,0.0
2220,1869.7333687413552,0.0
2221,1869.7333687413552,0.0
2222,1869.7333687413552,0.0
2223,1869.7333687413552,0.0
2224,1869.7333687413552,0.0
2225,1869.7333687413552,0.0
2226,1869.7333687413552,0.0
2227,1869.7333687413552,0.0
2228,1869.7333687413552,0.0
2229,1869.7333687413552,0.0
2230,1869.7333687413552,0.0
2231,1869.7333687413552,0.0
2232,1869.7333687413552,0.0
2233,1869.7333687413552,0.0
2234,1869.7333687413552,0.0
2235,1869.7333687413552,0.0
2236,1869.7333687413552,0.0
2237,1869.7333687413552,0.0
2238,1869.7333687413552,0.0
2239,1869.7333687413552,0.0
2240,1869.7333687413552,0.0
2241,1869.7333687413552,0.0
2242,1869.7333687413552,0.0
2243,1869.7333687413552,0.0
2244,1869.7333687413552,0.0
2245,1869.7333687413552,0.0
2246,1869.7333687413552,0.0
2247,1869.7333687413552,0.0
2248,1869.7333687413552,0.0
2249,1869.7333687413552,0.0
2250,1869.7333687413552,0.0
2251,1869.7333687413552,0.0
2252,1869.7333687413552,0.0
2253,1869.7333687413552,0.0
2254,1869.7333687413552,0.0
2255,1869.7333687413552,0.0
2256,1869.7333687413552,0.0
2257,1869.7333687413552,0.0
2258,1869.7333687413552,0.0
2259,1869.7333687413552,0.0
2260,1869.7333687413552,0.0
2261,1869.7333687413552,0.0
2262,1869.7333687413552,0.0
2263,1869.7333687413552,0.0
2264,1869.7333687413552,0.0
2265,1869.7333687413552,0.0
2266,1869.7333687413552,0.0
2267,1869.7333687413552,0.0
2268,1869.7333687413552,0.0
2269,1869.7333687413552,0.0
2270,1869.7333687413552,0.0
2271,1869.7333687413552,0.0
2272,1869.7333687413552,0.0
2273,1869.7333687413552,0.0
2274,1869.7333687413552,0.0
2275,1869.7333687413552,0.0
2276,1869.7333687413552,0.0
2277,1869.7333687413552,0.0
2278,1869.7333687413552,0.0
2279,1869.7333687413552,0.0
2280,1869.7333687413552,0.0
2281,1869.7333687413552,0.0
2282,1869.7333687413552,0.0
2283,1869.7333687413552,0.0
2284,1869.7333687413552,0.0
2285,1869.7333687413552,0.0
2286,1869.7333687413552,0.0
2287,1869.7333687413552,0.0
2288,1869.7333687413552,0.0
2289,1869.7333687413552,0.0
2290,1869.7333687413552,0.0
2291,1869.7333687413552,0.0
2292,1869.7333687413552,0.0
2293,1869.7333687413552,0.0
2294,1869.7333687413552,0.0
2295,1869.7333687413552,0.0
2296,1869.7333687413552,0.0
2297,1869.7333687413552,0.0
2298,1869.7333687413552,0.0
2299,1869.7333687413552,0.0
2300,1869.7333687413552,0.0
2301,1869.7333687413552,0.0
2302,1869.7333687413552,0.0
2303,1869.7333687413552,0.0
2304,1869.7333687413552,0.0
2305,1869.7333687413552,0.0
2306,1869.7333687413552,0.0
2307,1869.7333687413552,0.0
2308,1869.7333687413552,0.0
2309,1869.7333687413552,0.0
2310,1869.7333687413552,0.0
2311,1869.7333687413552,0.0
2312,1869.7333687413552,0.0
2313,1869.7333687413552,0.0
2314,1869.7333687413552,0.0
2315,1869.7333687413552,0.0
2316,1869.7333687413552,0.0
2317,1869.7333687413552,0.0
2318,1869.7333687413552,0.0
2319,1869.7333687413552,0.0
2320,1869.7333687413552,0.0
2321,1869.7333687413552,0.0
2322,1869.7333687413552,0.0
2323,1869.7333687413552,0.0
2324,1869.7333687413552,0.0
2325,1869.7333687413552,0.0
2326,1869.7333687413552,0.0
2327,1869.7333687413552,0.0
2328,1869.7333687413552,0.0
2329,1869.7333687413552,0.0
2330,1869.7333687413552,0.0
2331,1869.7333687413552,0.0
2332,1869.7333687413552,0.0
2333,1869.7333687413552,0.0
2334,1869.7333687413552,0.0
2335,1869.7333687413552,0.0
2336,1869.7333687413552,0.0
2337,1869.7333687413552,0.0
2338,1869.7333687413552,0.0
2339,1869.7333687413552,0.0
2340,1869.7333687413552,0.0
2341,1869.7333687413552,0.0
2342,1869.7333687413552,0.0
2343,1869.7333687413552,0.0
2344,1869.7333687413552,0.0
2345,1869.7333687413552,0.0
2346,1869.7333687413552,0.0
2347,1869.7333687413552,0.0
2348,1869.7333687413552,0.0
2349,1869.7333687413552,0.0
2350,1869.7333687413552,0.0
2351,1869.7333687413552,0.0
2352,1869.7333687413552,0.0
2353,1869.7333687413552,0.0
2354,1869.7333687413552,0.0
2355,1869.7333687413552,0.0
2356,1869.7333687413552,0.0
2357,1869.7333687413552,0.0
2358,1869.7333687413552,0.0
2359,1869.7333687413552,0.0
2360,1869.7333687413552,0.0
2361,1869.7333687413552,0.0
2362,1869.7333687413552,0.0
2363,1869.7333687413552,0.0
2364,1869.7333687413552,0.0
2365,1869.7333687413552,0.0
2366,1869.7333687413552,0.0
2367,1869.7333687413552,0.0
2368,1869.7333687413552,0.0
2369,1869.7333687413552,0.0
2370,1869.7333687413552,0.0
2371,1869.7333687413552,0.0
2372,1869.7333687413552,0.0
2373,1869.7333687413552,0.0
2374,1869.7333687413552,0.0
2375,1869.7333687413552,0.0
2376,1869.7333687413552,0.0
2377,1869.7333687413552,0.0
2378,1869.7333687413552,0.0
2379,1869.7333687413552,0.0
2380,1869.7333687413552,0.0
2381,1869.7333687413552,0.0
2382,1869.7333687413552,0.0
2383,1869.7333687413552,0.0
2384,1869.7333687413552,0.0
2385,1869.7333687413552,0.0
2386,1869.7333687413552,0.0
2387,1869.7333687413552,0.0
2388,1869.7333687413552,0.0
2389,1869.7333687413552,0.0
2390,1869.7333687413552,0.0
2391,1869.7333687413552,0.0
