Years,predicted_mean,% Change
2018,1088.0,
2019,471.2079630749048,-56.690444570321255
2020,511.84540911065307,8.624100019567882
2021,246.15637855379345,-51.90806165840236
2022,304.53631254158455,23.7166041890859
2024,491.6071091933196,61.42807571632052
2025,491.3521023955739,-0.051872072835590366
2026,491.3521023955739,0.0
2027,491.3521023955739,0.0
2028,491.3521023955739,0.0
2029,491.3521023955739,0.0
2030,491.3521023955739,0.0
2031,491.3521023955739,0.0
2032,491.3521023955739,0.0
2033,491.3521023955739,0.0
2034,491.3521023955739,0.0
2035,491.3521023955739,0.0
2036,491.3521023955739,0.0
2037,491.3521023955739,0.0
2038,491.3521023955739,0.0
2039,491.3521023955739,0.0
2040,491.3521023955739,0.0
2041,491.3521023955739,0.0
2042,491.3521023955739,0.0
2043,491.3521023955739,0.0
2044,491.3521023955739,0.0
2045,491.3521023955739,0.0
2046,491.3521023955739,0.0
2047,491.3521023955739,0.0
2048,491.3521023955739,0.0
2049,491.3521023955739,0.0
2050,491.3521023955739,0.0
2051,491.3521023955739,0.0
2052,491.3521023955739,0.0
2053,491.3521023955739,0.0
2054,491.3521023955739,0.0
2055,491.3521023955739,0.0
2056,491.3521023955739,0.0
2057,491.3521023955739,0.0
2058,491.3521023955739,0.0
2059,491.3521023955739,0.0
2060,491.3521023955739,0.0
2061,491.3521023955739,0.0
2062,491.3521023955739,0.0
2063,491.3521023955739,0.0
2064,491.3521023955739,0.0
2065,491.3521023955739,0.0
2066,491.3521023955739,0.0
2067,491.3521023955739,0.0
2068,491.3521023955739,0.0
2069,491.3521023955739,0.0
2070,491.3521023955739,0.0
2071,491.3521023955739,0.0
2072,491.3521023955739,0.0
2073,491.3521023955739,0.0
2074,491.3521023955739,0.0
2075,491.3521023955739,0.0
2076,491.3521023955739,0.0
2077,491.3521023955739,0.0
2078,491.3521023955739,0.0
2079,491.3521023955739,0.0
2080,491.3521023955739,0.0
2081,491.3521023955739,0.0
2082,491.3521023955739,0.0
2083,491.3521023955739,0.0
2084,491.3521023955739,0.0
