Years,predicted_mean,% Change
2018,116.0,
2019,5.276889815631405,-95.45095705549016
2020,8.382361495142282,58.850417348335206
2021,6.1513814263276885,-26.615173660876877
2022,7.831802426357051,27.31778252015429
2024,7.106116458838654,-9.265887059103816
2025,6.945741566351881,-2.2568570810192368
2026,6.945741566351881,0.0
2027,6.945741566351881,0.0
2028,6.945741566351881,0.0
2029,6.945741566351881,0.0
2030,6.945741566351881,0.0
2031,6.945741566351881,0.0
2032,6.945741566351881,0.0
2033,6.945741566351881,0.0
