Years,predicted_mean,% Change
2018,752.0,
2019,1117.8857117415428,48.6550148592477
2020,1165.8407636822012,4.2897991661374535
2021,672.2000636049897,-42.34203464614607
2022,784.9976441348589,16.780358502934224
2024,1141.7723455388466,45.44914294579661
2025,1141.7564770274548,-0.0013898139549217703
2026,1141.7564770274548,0.0
2027,1141.7564770274548,0.0
2028,1141.7564770274548,0.0
2029,1141.7564770274548,0.0
2030,1141.7564770274548,0.0
2031,1141.7564770274548,0.0
2032,1141.7564770274548,0.0
2033,1141.7564770274548,0.0
