Years,predicted_mean,% Change
2018,22.0,
2019,154.7022433235431,603.192015107014
2020,127.93144271068765,-17.304726833771365
2021,115.95596631222519,-9.36085464583134
2022,93.62214810859972,-19.260602894282318
2024,127.89884817489325,36.61174279672934
2025,141.46671303820702,10.608277601343685
2026,141.46671303820702,0.0
2027,141.46671303820702,0.0
2028,141.46671303820702,0.0
2029,141.46671303820702,0.0
2030,141.46671303820702,0.0
2031,141.46671303820702,0.0
2032,141.46671303820702,0.0
2033,141.46671303820702,0.0
