Years,predicted_mean,% Change
2018,3562.0,
2019,127.40803303609923,-96.42313214384899
2020,170.09532941403262,33.50439949562565
2021,84.4957695396407,-50.32446227023214
2022,114.52141798541778,35.53509082095609
2024,170.05385592460564,48.49087525816253
2025,148.78416365107768,-12.507621281435688
2026,148.78416365107768,0.0
2027,148.78416365107768,0.0
2028,148.78416365107768,0.0
2029,148.78416365107768,0.0
2030,148.78416365107768,0.0
2031,148.78416365107768,0.0
2032,148.78416365107768,0.0
2033,148.78416365107768,0.0
