Years,predicted_mean,% Change
2018,508.0,
2019,1026.1124974923016,101.99064911265778
2020,1034.5631506550521,0.8235601050959662
2021,536.7764251544679,-48.11564428767849
2022,669.4952028524052,24.72515026339781
2024,1033.0342242510467,54.30046695626378
2025,1030.3268158660003,-0.26208312575599635
2026,1030.3268158660003,0.0
2027,1030.3268158660003,0.0
2028,1030.3268158660003,0.0
2029,1030.3268158660003,0.0
2030,1030.3268158660003,0.0
2031,1030.3268158660003,0.0
2032,1030.3268158660003,0.0
2033,1030.3268158660003,0.0
