Years,predicted_mean,% Change
2018,576.0,
2019,124.61230282827243,-78.36591964786936
2020,135.66400793829328,8.868871579438785
2021,67.68770202975618,-50.106367150420695
2022,78.53552534692454,16.026283936186147
2024,135.57644992282658,72.63072899038774
2025,130.21810951321498,-3.952264875398126
2026,130.21810951321498,0.0
2027,130.21810951321498,0.0
2028,130.21810951321498,0.0
2029,130.21810951321498,0.0
2030,130.21810951321498,0.0
2031,130.21810951321498,0.0
2032,130.21810951321498,0.0
2033,130.21810951321498,0.0
2034,130.21810951321498,0.0
2035,130.21810951321498,0.0
2036,130.21810951321498,0.0
2037,130.21810951321498,0.0
2038,130.21810951321498,0.0
2039,130.21810951321498,0.0
2040,130.21810951321498,0.0
2041,130.21810951321498,0.0
2042,130.21810951321498,0.0
2043,130.21810951321498,0.0
2044,130.21810951321498,0.0
2045,130.21810951321498,0.0
2046,130.21810951321498,0.0
2047,130.21810951321498,0.0
2048,130.21810951321498,0.0
2049,130.21810951321498,0.0
2050,130.21810951321498,0.0
2051,130.21810951321498,0.0
2052,130.21810951321498,0.0
2053,130.21810951321498,0.0
2054,130.21810951321498,0.0
2055,130.21810951321498,0.0
2056,130.21810951321498,0.0
2057,130.21810951321498,0.0
2058,130.21810951321498,0.0
2059,130.21810951321498,0.0
2060,130.21810951321498,0.0
2061,130.21810951321498,0.0
2062,130.21810951321498,0.0
2063,130.21810951321498,0.0
2064,130.21810951321498,0.0
2065,130.21810951321498,0.0
2066,130.21810951321498,0.0
2067,130.21810951321498,0.0
2068,130.21810951321498,0.0
2069,130.21810951321498,0.0
2070,130.21810951321498,0.0
2071,130.21810951321498,0.0
2072,130.21810951321498,0.0
2073,130.21810951321498,0.0
2074,130.21810951321498,0.0
2075,130.21810951321498,0.0
2076,130.21810951321498,0.0
2077,130.21810951321498,0.0
2078,130.21810951321498,0.0
2079,130.21810951321498,0.0
2080,130.21810951321498,0.0
2081,130.21810951321498,0.0
2082,130.21810951321498,0.0
2083,130.21810951321498,0.0
2084,130.21810951321498,0.0
2085,130.21810951321498,0.0
2086,130.21810951321498,0.0
2087,130.21810950711173,-4.686939725218053e-09
2088,130.21810951931823,9.373879450436107e-09
2089,130.21810951321498,-4.686939725218053e-09
2090,130.21810951321498,0.0
2091,130.21810951321498,0.0
2092,130.21810951321498,0.0
2093,130.21810951321498,0.0
2094,130.21810951321498,0.0
2095,130.21810951321498,0.0
2096,130.21810951321498,0.0
2097,130.21810951321498,0.0
2098,130.21810951321498,0.0
2099,130.21810951321498,0.0
2100,130.21810951321498,0.0
2101,130.21810951321498,0.0
2102,130.21810951321498,0.0
2103,130.21810951321498,0.0
2104,130.21810951321498,0.0
2105,130.21810951321498,0.0
2106,130.21810951321498,0.0
2107,130.21810951321498,0.0
2108,130.21810951321498,0.0
2109,130.21810951321498,0.0
2110,130.21810951321493,-4.440892098500626e-14
2111,130.21810951321504,8.881784197001252e-14
2112,130.21810951321498,-4.440892098500626e-14
2113,130.21810951321498,0.0
2114,130.21810951321498,0.0
2115,130.21810951321498,0.0
2116,130.21810951321498,0.0
2117,130.21810951321498,0.0
2118,130.21810951321498,0.0
2119,130.21810951321498,0.0
2120,130.21810951321498,0.0
2121,130.21810951321498,0.0
2122,130.21810951321498,0.0
2123,130.21810951321498,0.0
2124,130.21810951321498,0.0
2125,130.21810951321498,0.0
2126,130.21810951321498,0.0
2127,130.21810951321498,0.0
2128,130.21810951321498,0.0
2129,130.21810951321498,0.0
2130,130.21810951321498,0.0
2131,130.21810951321498,0.0
2132,130.21810951321498,0.0
2133,130.21810951321498,0.0
2134,130.21810951321498,0.0
2135,130.21810951321498,0.0
2136,130.21810951321498,0.0
2137,130.21810951321498,0.0
2138,130.21810951321498,0.0
2139,130.21810951321498,0.0
2140,130.21810951321498,0.0
2141,130.21810951321498,0.0
2142,130.21810951321498,0.0
2143,130.21810951321498,0.0
2144,130.21810951321498,0.0
2145,130.21810951321498,0.0
2146,130.21810951321498,0.0
2147,130.21810951321498,0.0
2148,130.21810951321498,0.0
2149,130.21810951321498,0.0
2150,130.21810951321498,0.0
2151,130.21810951321498,0.0
2152,130.21810951321498,0.0
2153,130.21810951321498,0.0
2154,130.21810951321498,0.0
2155,130.21810951321498,0.0
2156,130.21810951321498,0.0
2157,130.21810951321498,0.0
2158,130.21810951321498,0.0
2159,130.21810951321498,0.0
2160,130.21810951321498,0.0
2161,130.21810951321498,0.0
2162,130.21810951321498,0.0
2163,130.21810951321498,0.0
2164,130.21810951321498,0.0
2165,130.21810951321498,0.0
2166,130.21810951321498,0.0
2167,130.21810951321498,0.0
2168,130.21810951321498,0.0
2169,130.21810951321498,0.0
2170,130.21810951321498,0.0
2171,130.21810951321498,0.0
2172,130.21810951321498,0.0
2173,130.21810951321498,0.0
2174,128.7612156333263,-1.1188104982747027
2175,131.67500339310368,2.2629389956017487
2176,130.21810951321498,-1.106431625096882
2177,130.21810951321498,0.0
2178,130.21810951321498,0.0
2179,130.21810951321498,0.0
2180,130.21810951321498,0.0
2181,130.21810951321498,0.0
2182,130.21810951321498,0.0
2183,130.21810951321498,0.0
2184,130.21810951321498,0.0
2185,130.21810951321498,0.0
2186,130.21810951321498,0.0
2187,130.21810951321498,0.0
2188,130.21810951321498,0.0
2189,130.21810951321498,0.0
2190,130.21810951321498,0.0
2191,130.21810951321498,0.0
2192,130.21810951321498,0.0
2193,130.21810951321498,0.0
2194,130.21810951321498,0.0
2195,130.21810951321498,0.0
2196,130.21810951321498,0.0
2197,130.21810951321498,0.0
2198,130.21810951321498,0.0
2199,130.21810951321498,0.0
2200,130.21810951321498,0.0
2201,130.21810951321498,0.0
2202,130.21810951321498,0.0
2203,130.21810951321498,0.0
2204,130.21810951321498,0.0
2205,130.21810951321498,0.0
2206,130.21810951321498,0.0
2207,130.21810951321498,0.0
2208,130.21810951321498,0.0
2209,130.21810951321498,0.0
2210,130.21810951321498,0.0
2211,130.21810951321498,0.0
2212,130.21810951321498,0.0
2213,130.21810951321498,0.0
2214,130.21810951321498,0.0
2215,130.21810951321498,0.0
2216,130.21810951321498,0.0
2217,130.21810951321498,0.0
2218,130.21810951321498,0.0
2219,130.21810951321498,0.0
2220,130.21810951321498,0.0
2221,130.21810951321498,0.0
2222,130.21810951321498,0.0
2223,130.21810951321498,0.0
2224,130.21810951321498,0.0
2225,130.21810951321498,0.0
2226,130.21810951321498,0.0
2227,130.21810951321498,0.0
2228,130.21810951321498,0.0
2229,130.21810951321498,0.0
2230,130.21810951321498,0.0
2231,130.21810951321498,0.0
2232,130.21810951321498,0.0
2233,130.21810951321498,0.0
2234,130.21810951321498,0.0
2235,130.21810951321498,0.0
2236,130.21810951321498,0.0
2237,130.21810951321498,0.0
2238,130.21805730826657,-4.009039035191009e-05
2239,130.2181617181634,8.018081285587897e-05
2240,130.21810951321498,-4.009037428698292e-05
2241,130.21810951321498,0.0
2242,130.21810951321498,0.0
2243,130.21810951321498,0.0
2244,130.21810951321498,0.0
2245,130.21810951321498,0.0
2246,130.21810951321498,0.0
2247,130.21810951321498,0.0
2248,130.21810951321498,0.0
2249,130.21810951321498,0.0
2250,130.21810951321498,0.0
2251,130.21810951321498,0.0
2252,130.21810951321498,0.0
2253,130.21810951321498,0.0
2254,130.21810951321498,0.0
2255,130.21810951321498,0.0
2256,130.21810951321498,0.0
2257,130.21810951321498,0.0
2258,130.21810951321498,0.0
2259,130.21810951321498,0.0
2260,130.21810951321498,0.0
2261,130.21810951321498,0.0
2262,130.21810951321498,0.0
2263,130.21810951321498,0.0
2264,130.21810951321498,0.0
2265,130.21810951321498,0.0
2266,130.21810951321498,0.0
2267,130.21810951321498,0.0
2268,130.21810951321498,0.0
2269,130.21810951321498,0.0
2270,130.21810951321498,0.0
2271,130.21810951321498,0.0
2272,130.21810951321498,0.0
2273,130.21810951321498,0.0
2274,130.21810951321498,0.0
2275,130.21810951321498,0.0
2276,130.21810951321498,0.0
2277,130.21810951321498,0.0
2278,130.21810951321498,0.0
2279,130.21810951321498,0.0
2280,130.21810951321498,0.0
2281,130.21810951321498,0.0
2282,130.21810951321498,0.0
2283,130.21810951321498,0.0
2284,130.21810951321498,0.0
2285,130.21810951321498,0.0
2286,130.21810951321498,0.0
2287,130.21810951321498,0.0
2288,130.21810951321498,0.0
2289,130.21810951321498,0.0
2290,130.21810951321498,0.0
2291,130.21810951321498,0.0
2292,130.21810951321498,0.0
2293,130.21810951321498,0.0
2294,130.21810951321498,0.0
2295,130.21810951321498,0.0
2296,130.21810951321498,0.0
2297,130.21810951321498,0.0
2298,130.21810951321498,0.0
2299,130.21810951321498,0.0
2300,130.21810951321498,0.0
2301,130.21810951321498,0.0
2302,130.21810951321498,0.0
2303,130.21810951321498,0.0
2304,130.21810951321498,0.0
2305,130.21810951321498,0.0
2306,130.21810951321498,0.0
2307,130.21810951321498,0.0
2308,130.21810951321498,0.0
2309,130.21810951321498,0.0
2310,130.21810951321498,0.0
2311,130.21810951321498,0.0
2312,130.21810951321498,0.0
2313,130.21810951321498,0.0
2314,130.21810951321498,0.0
2315,130.21810951321498,0.0
2316,130.21810951321498,0.0
2317,130.21810951321498,0.0
2318,130.21810951321498,0.0
2319,130.21810951321498,0.0
2320,130.21810951321498,0.0
2321,130.21810951321498,0.0
2322,130.21810951321498,0.0
2323,130.21810951321498,0.0
2324,130.21810951321498,0.0
2325,130.1888227520327,-0.02249054397407413
2326,130.24739627439726,0.04499120671528356
2327,130.21810951321498,-0.022485486865764237
2328,130.21810951321498,0.0
2329,130.21810951321498,0.0
2330,130.21810951321498,0.0
2331,130.21810951321498,0.0
2332,130.21810951321498,0.0
2333,130.21810951321498,0.0
2334,130.21810951321498,0.0
2335,130.21810951321498,0.0
2336,130.21810951321498,0.0
2337,130.21810951321498,0.0
2338,130.21810951321498,0.0
2339,130.21810951321498,0.0
2340,130.21810951321498,0.0
2341,130.21810951321498,0.0
2342,130.21810951321498,0.0
2343,130.21810951321498,0.0
2344,130.21810951321498,0.0
2345,130.21810951321498,0.0
2346,130.21810951321498,0.0
2347,130.21810951321498,0.0
2348,130.21810951321498,0.0
2349,130.21810951321498,0.0
2350,130.21810951321498,0.0
2351,130.21810951321498,0.0
2352,130.21810951321498,0.0
2353,130.21810951321498,0.0
2354,130.21810951321498,0.0
2355,130.21810951321498,0.0
2356,130.21810951321498,0.0
2357,130.21810951321498,0.0
2358,130.21810951321498,0.0
2359,130.21810951321498,0.0
2360,130.21810951321498,0.0
2361,130.21810951321498,0.0
2362,130.21810951321498,0.0
2363,130.21810951321498,0.0
2364,130.21810951321498,0.0
2365,130.21810951321498,0.0
2366,130.21810951321498,0.0
2367,130.21810951321498,0.0
2368,130.21810951321498,0.0
2369,130.21810951321498,0.0
2370,130.21810951321498,0.0
2371,130.21810951321498,0.0
2372,130.21810951321498,0.0
2373,130.21810951321498,0.0
2374,130.21810951321498,0.0
2375,130.21810951321498,0.0
2376,130.21810951321498,0.0
2377,130.21810951321498,0.0
2378,130.21810951321498,0.0
2379,130.21810951321498,0.0
2380,130.21810951321498,0.0
2381,130.21810951321498,0.0
2382,130.21810951321498,0.0
2383,130.21810951321498,0.0
2384,130.21810951321498,0.0
2385,130.21810951321498,0.0
2386,130.21810951321498,0.0
2387,130.21810951321498,0.0
2388,130.21810951321498,0.0
2389,130.18506451774743,-0.025376651213171453
2390,130.25115450868253,0.05076618518409237
2391,130.21810951321498,-0.02537021310267118
2392,130.21810951321498,0.0
2393,130.21810951321498,0.0
2394,130.21810951321498,0.0
2395,130.21810951321498,0.0
2396,130.21810951321498,0.0
2397,130.21810951321498,0.0
2398,130.21810951321498,0.0
