Years,predicted_mean,% Change
2018,978.0,
2019,23.111719294621103,-97.6368385179324
2020,30.938752412574125,33.86607901461767
2021,25.01881478648533,-19.13437732441602
2022,33.934971324915146,35.6378054457086
2024,29.78337610597208,-12.233972969044338
2025,26.959504463403377,-9.481368507455635
2026,26.959504463403377,0.0
2027,26.959504463403377,0.0
2028,26.959504463403377,0.0
2029,26.959504463403377,0.0
2030,26.959504463403377,0.0
2031,26.959504463403377,0.0
2032,26.959504463403377,0.0
2033,26.959504463403377,0.0
