Years,predicted_mean,% Change
2018,116.0,
2019,277.9548733265201,139.61627010906906
2020,245.2284829950168,-11.773994080348016
2021,127.97624781731012,-47.813465118605045
2022,121.86297368916956,-4.7768818295621855
2024,247.77499938651013,103.32262695189004
2025,261.6028631871159,5.580814785528587
2026,261.6028631871159,0.0
2027,261.825089665262,0.08494802978786797
2028,261.38063670896975,-0.16975185871623832
2029,261.6028631871159,0.0850202528175581
2030,261.6028631871159,0.0
2031,261.6028641886336,3.8283898273760997e-07
2032,261.60286218559816,-7.656779432707594e-07
2033,261.6028631871159,3.8283898273760997e-07
2034,261.6028631871159,0.0
2035,261.6028631871159,0.0
2036,261.6028631871159,0.0
2037,261.6028631871159,0.0
2038,261.6028631871159,0.0
2039,261.6028631871159,0.0
2040,261.6028631871159,0.0
2041,261.6028631871159,0.0
2042,261.6028631871159,0.0
2043,261.6028631871159,0.0
2044,261.6028631871159,0.0
2045,261.6028631871159,0.0
2046,261.6028631871159,0.0
2047,261.6028631871159,0.0
2048,261.6028631871159,0.0
2049,261.6028631871159,0.0
2050,261.6028631871159,0.0
2051,261.6028631871159,0.0
2052,261.6028631871159,0.0
2053,261.6028631871159,0.0
2054,261.6028631871159,0.0
2055,261.6028631871159,0.0
2056,261.60286318711593,2.220446049250313e-14
2057,261.6028631871158,-4.440892098500626e-14
2058,261.6028631871159,2.220446049250313e-14
2059,261.6028631871159,0.0
2060,261.6028710776119,3.0162116360088476e-06
2061,261.60285529661985,-6.0324231054842414e-06
2062,261.6028631871159,3.0162117248266895e-06
2063,261.6028631871159,0.0
2064,262.2110859753763,0.23249852117459557
2065,260.99464039885544,-0.46391843883942796
2066,261.6028631871159,0.23304033651072587
2067,261.6028631871159,0.0
2068,274.48926328313075,4.925940006550178
2069,248.716463091101,-9.389365501500723
2070,261.6028631871159,5.181160883304603
2071,261.6028631871159,0.0
2072,261.67347738998967,0.02699290138246102
2073,261.5322489842421,-0.053971234362859555
2074,261.6028631871159,0.02700018951700134
2075,261.6028631871159,0.0
2076,261.6028632981341,4.2437697800323804e-08
2077,261.60286307609766,-8.487537339618711e-08
2078,261.6028631871159,4.2437697800323804e-08
2079,261.6028631871159,0.0
2080,261.6028631871159,0.0
2081,261.6028631871159,0.0
2082,261.6028631871159,0.0
2083,261.6028631871159,0.0
2084,261.6028631871159,0.0
2085,261.6028631871159,0.0
2086,261.6028631871159,0.0
2087,261.6028631871159,0.0
2088,261.6028631871159,0.0
2089,261.6028631871159,0.0
2090,261.6028631871159,0.0
2091,261.6028631871159,0.0
2092,261.6028631871159,0.0
2093,261.6028631871159,0.0
2094,261.6028631871159,0.0
2095,261.6028631871159,0.0
2096,261.6028631871159,0.0
2097,261.6028631871159,0.0
2098,261.6028631871159,0.0
2099,261.6028631871159,0.0
2100,261.6028631871159,0.0
2101,261.60286318711655,2.6645352591003757e-13
2102,261.6028631871152,-5.218048215738236e-13
2103,261.6028631871159,2.6645352591003757e-13
2104,261.6028631871159,0.0
2105,261.6029174404466,2.0738813821807867e-05
2106,261.6028089337851,-4.147761903938729e-05
2107,261.6028631871159,2.0738818129473202e-05
2108,261.6028631871159,0.0
2109,263.0501146723669,0.5532246350896441
2110,260.15561170186487,-1.1003617976396485
2111,261.6028631871159,0.5563022361053438
2112,261.6028631871159,0.0
2113,272.032557496844,3.9868425684118414
2114,251.17316887738775,-7.667975043648312
2115,261.6028631871159,4.152391896134211
2116,261.6028631871159,0.0
2117,261.62238502902346,0.007462396118196324
2118,261.5833413452083,-0.014923678572398291
2119,261.6028631871159,0.007462953033332553
2120,261.6028631871159,0.0
2121,261.6028631978715,4.111422313712865e-09
2122,261.60286317636024,-8.222866831886222e-09
2123,261.6028631871159,4.111422313712865e-09
2124,261.6028631871159,0.0
2125,261.6028631871159,0.0
2126,261.6028631871159,0.0
2127,261.6028631871159,0.0
2128,261.6028631871159,0.0
2129,261.6028631871159,0.0
2130,261.6028631871159,0.0
2131,261.6028631871159,0.0
2132,261.6028631871159,0.0
