Years,predicted_mean,% Change
2018,192.0,
2019,92.1413101732692,-52.009734284755616
2020,138.36761701041965,50.16892721649295
2021,49.05870809153453,-64.54466070060295
2022,91.49315785821074,86.49728339258616
2024,115.07643995874403,25.776006263857344
2025,115.0505566037636,-0.02249231466467938
2026,115.0505566037636,0.0
2027,115.0505566037636,0.0
2028,115.0505566037636,0.0
2029,115.0505566037636,0.0
2030,115.0505566037636,0.0
2031,115.0505566037636,0.0
2032,115.0505566037636,0.0
2033,115.0505566037636,0.0
