Years,predicted_mean,% Change
2018,554.0,
2019,0.8147506025961286,-99.85293310422453
2020,1.6676242314681056,104.67910378395216
2021,1.1717640967049059,-29.73452444539412
2022,1.6041174378967236,36.89764368166166
2024,1.428882352626068,-10.924080814208903
2025,1.3456965370838094,-5.821740004652998
2026,1.3456965370838094,0.0
2027,1.3456965370838094,0.0
2028,1.3456965370838094,0.0
2029,1.3456965370838094,0.0
2030,1.3456965370838094,0.0
2031,1.3456965370838094,0.0
2032,1.3456965370838094,0.0
2033,1.3456965370838094,0.0
