Years,predicted_mean,% Change
2018,68.0,
2019,187.25779887037712,175.3791159858487
2020,139.44448556961535,-25.533416279157972
2021,126.83212316716197,-9.044719374117427
2022,105.02599100094025,-17.192909510378307
2024,163.30435400715632,55.489467369743096
2025,163.3195877780168,0.009328453581725071
2026,163.3195877780168,0.0
2027,163.3195877780168,0.0
2028,163.3195877780168,0.0
2029,163.3195877780168,0.0
2030,163.3195877780168,0.0
2031,163.3195877780168,0.0
2032,163.3195877780168,0.0
2033,163.3195877780168,0.0
2034,163.3195877780168,0.0
2035,163.3195877780168,0.0
2036,163.3195877780168,0.0
2037,163.3195877780168,0.0
2038,163.3195877780168,0.0
2039,163.3195877780168,0.0
2040,163.3195877780168,0.0
2041,163.3195877780168,0.0
2042,163.3195877780168,0.0
2043,163.3195877780168,0.0
2044,163.3195877780168,0.0
2045,163.3195877780168,0.0
2046,163.3195877780168,0.0
2047,163.3195877780168,0.0
2048,163.3195877780168,0.0
2049,163.3195877780168,0.0
2050,163.3195877780168,0.0
2051,163.3195877780168,0.0
2052,163.3195877780168,0.0
2053,163.3195877780168,0.0
2054,163.3195877780168,0.0
2055,163.3195877780168,0.0
2056,163.3195877780168,0.0
2057,163.3195877780168,0.0
2058,163.3195877780168,0.0
2059,163.3195877780168,0.0
2060,163.3195877780168,0.0
2061,163.3195877780168,0.0
2062,163.3195877780168,0.0
2063,163.3195877780168,0.0
2064,163.3195877780168,0.0
2065,163.3195877780168,0.0
2066,163.3195877780168,0.0
2067,163.3195877780168,0.0
2068,163.3195877780168,0.0
2069,163.3195877780168,0.0
2070,163.3195877780168,0.0
2071,163.3195877780168,0.0
2072,163.3195877780168,0.0
2073,163.3195877780168,0.0
2074,163.3195877780168,0.0
2075,163.3195877780168,0.0
2076,163.3195877780168,0.0
2077,163.3195877780168,0.0
2078,163.3195877780168,0.0
2079,163.3195877780168,0.0
2080,163.3195877780168,0.0
2081,163.3195877780168,0.0
2082,163.3195877780168,0.0
2083,163.3195877780168,0.0
2084,163.3195877780168,0.0
2085,163.3195877780168,0.0
2086,163.3195877780168,0.0
2087,163.3195877780168,0.0
2088,163.3195877780168,0.0
2089,163.3195877780168,0.0
2090,163.3195877780168,0.0
2091,163.3195877780168,0.0
2092,163.3195877780168,0.0
2093,163.3195877780168,0.0
2094,163.3195877780168,0.0
2095,163.3195877780168,0.0
2096,163.3195877780168,0.0
2097,163.3195877780168,0.0
2098,163.3195877780168,0.0
2099,163.3195877780168,0.0
2100,163.3195877780168,0.0
2101,163.3195877780168,0.0
2102,163.3195877780168,0.0
2103,163.3195877780168,0.0
2104,163.3195877780168,0.0
2105,163.3195877780168,0.0
2106,163.3195877780168,0.0
2107,163.3195877780168,0.0
2108,163.3195877780168,0.0
2109,163.3195877780168,0.0
2110,163.3195877780168,0.0
2111,163.3195877780168,0.0
2112,163.3195877780168,0.0
2113,163.3195877780168,0.0
2114,163.3195877780168,0.0
2115,163.3195877780168,0.0
2116,163.3195877780168,0.0
2117,163.3195877780168,0.0
2118,163.3195877780168,0.0
2119,163.3195877780168,0.0
2120,163.3195877780168,0.0
2121,163.3195877780168,0.0
2122,163.3195877780168,0.0
2123,163.3195877780168,0.0
2124,163.3195877780168,0.0
2125,163.3195877780168,0.0
2126,163.3195877780168,0.0
2127,163.3195877780168,0.0
2128,163.3195877780168,0.0
2129,163.3195877780168,0.0
2130,163.3195877780168,0.0
2131,163.3195877780168,0.0
2132,163.3195877780168,0.0
2133,163.3195877780168,0.0
2134,163.3195877780168,0.0
2135,163.3195877780168,0.0
2136,163.3195877780168,0.0
2137,163.3195877780168,0.0
2138,163.3195877780168,0.0
2139,163.3195877780168,0.0
2140,163.3195877780168,0.0
2141,163.3195877780168,0.0
2142,163.3195877780168,0.0
2143,163.3195877780168,0.0
2144,163.3195877780168,0.0
2145,163.3195877780168,0.0
2146,163.3195877780168,0.0
2147,163.3195877780168,0.0
2148,163.3195877780168,0.0
2149,163.3195877780168,0.0
2150,163.3195877780168,0.0
2151,163.3195877780168,0.0
2152,163.3195877780168,0.0
2153,163.3195877780168,0.0
2154,163.3195877780168,0.0
2155,163.3195877780168,0.0
2156,163.3195877780168,0.0
2157,163.3195877780168,0.0
2158,163.3195877780168,0.0
2159,163.3195877780168,0.0
2160,163.3195877780168,0.0
2161,163.3195877780168,0.0
2162,163.3195877780168,0.0
2163,163.3195877780168,0.0
2164,163.3195877780168,0.0
2165,163.3195877780168,0.0
2166,163.3195877780168,0.0
2167,163.3195877780168,0.0
2168,163.3195877780168,0.0
2169,163.3195877780168,0.0
2170,163.3195877780168,0.0
2171,163.3195877780168,0.0
2172,163.3195877780168,0.0
2173,163.3195877780168,0.0
2174,163.3195877780168,0.0
2175,163.3195877780168,0.0
2176,163.3195877780168,0.0
2177,163.3195877780168,0.0
2178,163.3195877780168,0.0
2179,163.3195877780168,0.0
2180,163.3195877780168,0.0
2181,163.3195877780168,0.0
2182,163.3195877780168,0.0
2183,163.3195877780168,0.0
2184,163.3195877780168,0.0
2185,163.3195877780168,0.0
2186,163.3195877780168,0.0
2187,163.3195877780168,0.0
2188,163.3195877780168,0.0
2189,163.3195877780168,0.0
2190,163.3195877780168,0.0
2191,163.3195877780168,0.0
2192,163.3195877780168,0.0
2193,163.3195877780168,0.0
2194,163.3195877780168,0.0
2195,163.3195877780168,0.0
2196,163.3195877780168,0.0
2197,163.3195877780168,0.0
2198,163.3195877780168,0.0
2199,163.3195877780168,0.0
2200,163.3195877780168,0.0
2201,163.3195877780168,0.0
2202,163.3195877780168,0.0
2203,163.3195877780168,0.0
2204,163.3195877780168,0.0
2205,163.3195877780168,0.0
2206,163.3195877780168,0.0
2207,163.3195877780168,0.0
2208,163.3195877780168,0.0
2209,163.3195877780168,0.0
2210,163.3195877780168,0.0
2211,163.3195877780168,0.0
2212,163.3195877780168,0.0
2213,163.3195877780168,0.0
2214,163.3195877780168,0.0
2215,163.3195877780168,0.0
2216,163.3195877780168,0.0
2217,163.3195877780168,0.0
2218,163.3195877780168,0.0
2219,163.3195877780168,0.0
2220,163.3195877780168,0.0
2221,163.3195877780168,0.0
2222,163.3195877780168,0.0
2223,163.3195877780168,0.0
2224,163.3195877780168,0.0
2225,163.3195877780168,0.0
2226,163.3195877780168,0.0
2227,163.3195877780168,0.0
2228,163.3195877780168,0.0
2229,163.3195877780168,0.0
2230,163.3195877780168,0.0
2231,163.3195877780168,0.0
2232,163.3195877780168,0.0
2233,163.3195877780168,0.0
2234,163.3195877780168,0.0
2235,163.3195877780168,0.0
2236,163.3195877780168,0.0
2237,163.3195877780168,0.0
2238,163.3195877780168,0.0
2239,163.3195877780168,0.0
2240,163.3195877780168,0.0
2241,163.3195877780168,0.0
2242,163.3195877780168,0.0
2243,163.3195877780168,0.0
2244,163.3195877780168,0.0
2245,163.3195877780168,0.0
2246,163.3195877780168,0.0
2247,163.3195877780168,0.0
2248,163.3195877780168,0.0
2249,163.3195877780168,0.0
2250,163.3195877780168,0.0
2251,163.3195877780168,0.0
2252,163.3195877780168,0.0
2253,163.3195877780168,0.0
2254,163.3195877780168,0.0
2255,163.3195877780168,0.0
2256,163.3195877780168,0.0
2257,163.3195877780168,0.0
2258,163.3195877780168,0.0
2259,163.3195877780168,0.0
2260,163.3195877780168,0.0
2261,163.3195877780168,0.0
2262,163.3195877780168,0.0
2263,163.3195877780168,0.0
2264,163.3195877780168,0.0
2265,163.3195877780168,0.0
2266,163.3195877780168,0.0
2267,163.3195877780168,0.0
2268,163.3195877780168,0.0
2269,163.3195877780168,0.0
2270,163.3195877780168,0.0
2271,163.3195877780168,0.0
2272,163.3195877780168,0.0
2273,163.3195877780168,0.0
2274,163.3195877780168,0.0
2275,163.3195877780168,0.0
2276,163.3195877780168,0.0
2277,163.3195877780168,0.0
2278,163.3195877780168,0.0
2279,163.3195877780168,0.0
2280,163.3195877780168,0.0
2281,163.3195877780168,0.0
2282,163.3195877780168,0.0
2283,163.3195877780168,0.0
2284,163.3195877780168,0.0
2285,163.3195877780168,0.0
2286,163.3195877780168,0.0
2287,163.3195877780168,0.0
2288,163.3195877780168,0.0
2289,163.3195877780168,0.0
2290,163.3195877780168,0.0
2291,163.3195877780168,0.0
2292,163.3195877780168,0.0
2293,163.3195877780168,0.0
2294,163.3195877780168,0.0
2295,163.3195877780168,0.0
2296,163.3195877780168,0.0
2297,163.3195877780168,0.0
2298,163.3195877780168,0.0
2299,163.3195877780168,0.0
2300,163.3195877780168,0.0
2301,163.3195877780168,0.0
2302,163.3195877780168,0.0
2303,163.3195877780168,0.0
2304,163.3195877780168,0.0
2305,163.3195877780168,0.0
2306,163.3195877780168,0.0
2307,163.3195877780168,0.0
2308,163.3195877780168,0.0
2309,163.3195877780168,0.0
2310,163.3195877780168,0.0
2311,163.3195877780168,0.0
2312,163.3195877780168,0.0
2313,163.3195877780168,0.0
2314,163.3195877780168,0.0
2315,163.3195877780168,0.0
2316,163.3195877780168,0.0
2317,163.3195877780168,0.0
2318,163.3195877780168,0.0
2319,163.3195877780168,0.0
2320,163.3195877780168,0.0
2321,163.3195877780168,0.0
2322,163.3195877780168,0.0
2323,163.3195877780168,0.0
2324,163.3195877780168,0.0
2325,163.3195877780168,0.0
2326,163.3195877780168,0.0
2327,163.3195877780168,0.0
2328,163.3195877780168,0.0
2329,163.3195877780168,0.0
2330,163.3195877780168,0.0
2331,163.3195877780168,0.0
2332,163.3195877780168,0.0
2333,163.3195877780168,0.0
2334,163.3195877780168,0.0
2335,163.3195877780168,0.0
2336,163.3195877780168,0.0
2337,163.3195877780168,0.0
2338,163.3195877780168,0.0
2339,163.3195877780168,0.0
2340,163.3195877780168,0.0
2341,163.3195877780168,0.0
2342,163.3195877780168,0.0
2343,163.3195877780168,0.0
2344,163.3195877780168,0.0
2345,163.3195877780168,0.0
2346,163.3195877780168,0.0
2347,163.3195877780168,0.0
2348,163.3195877780168,0.0
2349,163.3195877780168,0.0
2350,163.3195877780168,0.0
2351,163.3195877780168,0.0
2352,163.3195877780168,0.0
2353,163.3195877780168,0.0
2354,163.3195877780168,0.0
2355,163.3195877780168,0.0
2356,163.3195877780168,0.0
2357,163.3195877780168,0.0
2358,163.3195877780168,0.0
2359,163.3195877780168,0.0
2360,163.3195877780168,0.0
2361,163.3195877780168,0.0
2362,163.3195877780168,0.0
2363,163.3195877780168,0.0
2364,163.3195877780168,0.0
2365,163.3195877780168,0.0
2366,163.3195877780168,0.0
2367,163.3195877780168,0.0
2368,163.3195877780168,0.0
2369,163.3195877780168,0.0
2370,163.3195877780168,0.0
2371,163.3195877780168,0.0
2372,163.3195877780168,0.0
2373,163.3195877780168,0.0
2374,163.3195877780168,0.0
2375,163.3195877780168,0.0
2376,163.3195877780168,0.0
2377,163.3195877780168,0.0
2378,163.3195877780168,0.0
2379,163.3195877780168,0.0
2380,163.3195877780168,0.0
