Years,predicted_mean,% Change
2018,12.0,
2019,3751.1780928251287,31159.817440209405
2020,3517.5319044601342,-6.228608255414192
2021,1949.194824403141,-44.58629296491624
2022,2231.8726016309065,14.502284414505539
2024,3552.05156723593,59.15117935675733
2025,3634.3901069621134,2.318055866240032
2026,3634.3901069621134,0.0
2027,3634.3901069621134,0.0
2028,3634.3901069621134,0.0
2029,3634.3901069621134,0.0
2030,3634.3901069621134,0.0
2031,3634.3901069621134,0.0
2032,3634.3901069621134,0.0
2033,3634.3901069621134,0.0
2034,3634.3901069621134,0.0
2035,3634.3901069621134,0.0
2036,3634.3901069621134,0.0
2037,3634.3901069621134,0.0
2038,3634.3901069621134,0.0
2039,3634.3901069621134,0.0
2040,3634.3901069621134,0.0
2041,3634.3901069621134,0.0
2042,3634.3901069621134,0.0
2043,3634.3901069621134,0.0
2044,3634.3901069621134,0.0
2045,3634.3901069621134,0.0
2046,3634.3901069621134,0.0
2047,3634.3901069621134,0.0
2048,3634.3901069621134,0.0
2049,3634.3901069621134,0.0
2050,3634.3901069621134,0.0
2051,3634.3901069621134,0.0
2052,3634.3901069621134,0.0
2053,3634.3901069621134,0.0
2054,3634.3901069621134,0.0
2055,3634.3901069621134,0.0
2056,3634.3901069621134,0.0
2057,3634.3901069621134,0.0
2058,3634.3901069621134,0.0
2059,3634.3901069621134,0.0
2060,3634.3901069621134,0.0
2061,3634.3901069621134,0.0
2062,3634.3901069621134,0.0
2063,3634.3901069621134,0.0
2064,3634.3901069621134,0.0
2065,3634.3901069621134,0.0
2066,3634.3901069621134,0.0
2067,3634.3901069621134,0.0
2068,3634.3901069621134,0.0
2069,3634.3901069621134,0.0
2070,3634.3901069621134,0.0
2071,3634.3901069621134,0.0
2072,3634.3901069621134,0.0
2073,3634.3901069621134,0.0
2074,3634.3901069621134,0.0
2075,3634.3901069621134,0.0
2076,3634.3901069621134,0.0
2077,3634.3901069621134,0.0
2078,3634.3901069621134,0.0
2079,3634.3901069621134,0.0
2080,3634.3901069621134,0.0
2081,3634.3901069621134,0.0
2082,3634.3901069621134,0.0
2083,3634.3901069621134,0.0
2084,3634.3901069621134,0.0
2085,3634.3901069621134,0.0
2086,3634.3901069621134,0.0
2087,3634.3901069621134,0.0
2088,3634.3901069621134,0.0
2089,3634.3901069621134,0.0
2090,3634.3901069621134,0.0
2091,3634.3901069621134,0.0
2092,3634.3901069621134,0.0
2093,3634.3901069621134,0.0
2094,3634.3901069621134,0.0
2095,3634.3901069621134,0.0
2096,3634.3901069621134,0.0
2097,3634.3901069621134,0.0
2098,3634.3901069621134,0.0
2099,3634.3901069621134,0.0
2100,3634.3901069621134,0.0
2101,3634.3901069621134,0.0
2102,3634.3901069621134,0.0
2103,3634.3901069621134,0.0
2104,3634.3901069621134,0.0
2105,3634.3901069621134,0.0
2106,3634.3901069621134,0.0
2107,3634.3901069621134,0.0
2108,3634.3901069621134,0.0
2109,3634.3901069621134,0.0
2110,3634.3901069621134,0.0
2111,3634.3901069621134,0.0
2112,3634.3901069621134,0.0
2113,3634.3901069621134,0.0
2114,3634.3901069621134,0.0
2115,3634.3901069621134,0.0
2116,3634.3901069621134,0.0
2117,3634.3901069621134,0.0
2118,3634.3901069621134,0.0
2119,3634.3901069621134,0.0
2120,3634.3901069621134,0.0
2121,3634.3901069621134,0.0
2122,3634.3901069621134,0.0
2123,3634.3901069621134,0.0
2124,3634.3901069621134,0.0
2125,3634.3901069621134,0.0
2126,3634.3901069621134,0.0
2127,3634.3901069621134,0.0
2128,3634.3901069621134,0.0
2129,3634.3901069621134,0.0
2130,3634.3901069621134,0.0
2131,3634.3901069621134,0.0
2132,3634.3901069621134,0.0
2133,3634.3901069621134,0.0
2134,3634.3901069621134,0.0
2135,3634.3901069621134,0.0
2136,3634.3901069621134,0.0
2137,3634.3901069622134,2.7533531010703882e-12
2138,3634.3901069620133,-5.5067062021407764e-12
2139,3634.3901069621134,2.7533531010703882e-12
2140,3634.3901069621134,0.0
2141,3634.3901069621134,0.0
2142,3634.3901069621134,0.0
2143,3634.3901069621134,0.0
2144,3634.3901069621134,0.0
2145,3634.3901069621134,0.0
2146,3634.3901069621134,0.0
2147,3634.3901069621134,0.0
2148,3634.3901069621134,0.0
2149,3634.3901069621134,0.0
2150,3634.3901069621134,0.0
2151,3634.3901069621134,0.0
2152,3634.3901069621134,0.0
2153,3634.3901069621134,0.0
2154,3634.3901069621134,0.0
2155,3634.3901069621134,0.0
2156,3634.3901069621134,0.0
2157,3634.3901069621134,0.0
2158,3634.3901069621134,0.0
2159,3634.3901069621134,0.0
2160,3634.3901069621134,0.0
2161,3634.3901069621134,0.0
2162,3634.3901069621134,0.0
2163,3634.3901069621134,0.0
2164,3634.3901069621134,0.0
2165,3634.3901069621134,0.0
2166,3634.3901069621134,0.0
2167,3634.3901069621134,0.0
2168,3634.3901069621134,0.0
2169,3634.3901069621134,0.0
2170,3634.3901069621134,0.0
2171,3634.3901069621134,0.0
2172,3634.3901069621134,0.0
2173,3634.3901069621134,0.0
2174,3634.3901069621134,0.0
2175,3634.3901069621134,0.0
2176,3634.3901069621134,0.0
2177,3634.3901069621134,0.0
2178,3634.3901069621134,0.0
2179,3634.3901069621134,0.0
2180,3634.3901069621134,0.0
2181,3634.3901069621134,0.0
2182,3634.3901069621134,0.0
2183,3634.3901069621134,0.0
2184,3634.3901069621134,0.0
2185,3634.3901069621134,0.0
2186,3634.3901069621134,0.0
2187,3634.3901069621134,0.0
2188,3634.3901069621134,0.0
2189,3634.3901069621134,0.0
2190,3634.3901069621134,0.0
2191,3634.3901069621134,0.0
2192,3634.3901069621134,0.0
2193,3634.3901069621134,0.0
2194,3634.3901069621134,0.0
2195,3634.3901069621134,0.0
2196,3634.3901069621134,0.0
2197,3634.3901069621134,0.0
2198,3634.3901069621134,0.0
2199,3634.3901069621134,0.0
2200,3634.3901069621134,0.0
2201,3634.3901069621134,0.0
2202,3634.3901069621134,0.0
2203,3634.3901069621134,0.0
2204,3634.3901069621134,0.0
2205,3634.3901069621134,0.0
2206,3634.3901069621134,0.0
2207,3634.3901069621134,0.0
2208,3634.3901069621134,0.0
2209,3634.3901069621134,0.0
2210,3634.3901069621134,0.0
2211,3634.3901069621134,0.0
2212,3634.3901069621134,0.0
2213,3634.3901069621134,0.0
2214,3634.3901069621134,0.0
2215,3634.3901069621134,0.0
2216,3634.3901069621134,0.0
2217,3634.3901069621134,0.0
2218,3634.3901069621134,0.0
2219,3634.3901069621134,0.0
2220,3634.3901069621134,0.0
2221,3634.3901069621134,0.0
2222,3634.3901069621134,0.0
2223,3634.3901069621134,0.0
2224,3634.3901069621134,0.0
2225,3634.3901069621134,0.0
2226,3634.3901069621134,0.0
2227,3634.3901069621134,0.0
2228,3634.3901069621134,0.0
2229,3634.3901069621134,0.0
2230,3634.3901069621134,0.0
2231,3634.3901069621134,0.0
2232,3634.3901069621134,0.0
2233,3634.3901069621134,0.0
2234,3634.3901069621134,0.0
2235,3634.3901069621134,0.0
