Years,predicted_mean,% Change
2018,48.0,
2019,592.7750779267456,1134.9480790140533
2020,627.1993413096724,5.8073061207848164
2021,329.4761031018904,-47.46867839275753
2022,446.2702100398224,35.44843035302427
2024,609.9933702765358,36.68700185524454
2025,609.9655199833082,-0.004565671462120058
2026,609.9655199833082,0.0
2027,609.9655199833082,0.0
2028,609.9655199833082,0.0
2029,609.9655199833082,0.0
2030,609.9655199833082,0.0
2031,609.9655199833082,0.0
2032,609.9655199833082,0.0
2033,609.9655199833082,0.0
2034,609.9655199833082,0.0
2035,609.9655199833082,0.0
2036,609.9655199833082,0.0
2037,609.9655199833082,0.0
2038,609.9655199833082,0.0
2039,609.9655199833082,0.0
2040,609.9655199833082,0.0
2041,609.9655199833082,0.0
2042,609.9655199833082,0.0
2043,609.9655199833082,0.0
2044,609.9655199833082,0.0
2045,609.9655199833082,0.0
2046,609.9655199833082,0.0
2047,609.9655199833082,0.0
2048,609.9655199833082,0.0
2049,609.9655199833082,0.0
2050,609.9655199833082,0.0
2051,609.9655199833082,0.0
2052,609.9655199833082,0.0
2053,609.9655199833082,0.0
2054,609.9655199833082,0.0
2055,609.9655199833082,0.0
2056,609.9655199833082,0.0
2057,609.9655199833082,0.0
2058,609.9655199833082,0.0
2059,609.9655199833082,0.0
2060,609.9655199833082,0.0
2061,609.9655199833082,0.0
2062,609.9655199833082,0.0
2063,609.9655199833082,0.0
2064,609.9655199833082,0.0
2065,609.9655199833082,0.0
2066,609.9655199833082,0.0
2067,609.9655199833082,0.0
2068,609.9655199833082,0.0
2069,609.9655199833082,0.0
2070,609.9655199833082,0.0
2071,609.9655199833082,0.0
2072,609.9655199833082,0.0
2073,609.9655199833082,0.0
2074,609.9655199833082,0.0
2075,609.9655199833082,0.0
2076,609.9655199833082,0.0
2077,609.9655199833082,0.0
2078,609.9655199833082,0.0
2079,609.9655199833082,0.0
2080,609.9655199833082,0.0
2081,609.9655199833082,0.0
2082,609.9655199833082,0.0
2083,609.9655199833082,0.0
2084,609.9655199833081,-2.220446049250313e-14
2085,609.9655199833084,4.440892098500626e-14
2086,609.9655199833082,-2.220446049250313e-14
2087,609.9655199833082,0.0
2088,609.9655199833082,0.0
2089,609.9655199833082,0.0
2090,609.9655199833082,0.0
2091,609.9655199833082,0.0
2092,609.9655199833082,0.0
2093,609.9655199833082,0.0
2094,609.9655199833082,0.0
2095,609.9655199833082,0.0
2096,609.9655199833082,0.0
2097,609.9655199833082,0.0
2098,609.9655199833082,0.0
2099,609.9655199833082,0.0
2100,609.9655199833082,0.0
2101,609.9655199833082,0.0
2102,609.9655199833082,0.0
2103,609.9655199833082,0.0
2104,609.9655199833082,0.0
2105,609.9655199833082,0.0
2106,609.9655199833082,0.0
2107,609.9655199833082,0.0
2108,609.9655199833082,0.0
2109,609.9655199833082,0.0
2110,609.9655199833082,0.0
2111,609.9655199833082,0.0
2112,609.9655199833082,0.0
2113,609.9655199833082,0.0
2114,609.9655199833082,0.0
