Years,predicted_mean,% Change
2018,2464.0,
2019,3.699783726059782,-99.84984643968913
2020,1.3112839788434552,-64.55782078267708
2021,5.939035889155995,352.9175971778584
2022,3.1213886017809047,-47.44283988112943
2024,1.8675917131256923,-40.16792039093947
2025,1.8681439013262693,0.02956685857493646
2026,1.8681439013262693,0.0
2027,1.8681439013262693,0.0
2028,1.8681439013262693,0.0
2029,1.8681439013262693,0.0
2030,1.8681439013262693,0.0
2031,1.8681439013262693,0.0
2032,1.8681439013262693,0.0
2033,1.8681439013262693,0.0
