Years,predicted_mean,% Change
2018,150.0,
2019,2555.8134125358433,1603.8756083572289
2020,2606.1799155093217,1.9706643187033634
2021,1373.331677134579,-47.30480160015389
2022,1766.5717294187007,28.63401892138735
2024,2606.0844440865962,47.52214137062758
2025,2580.7106994689807,-0.9736347828325553
2026,2580.7106994689807,0.0
2027,2580.7106994689807,0.0
2028,2580.7106994689807,0.0
2029,2580.7106994689807,0.0
2030,2580.7106994689807,0.0
2031,2580.7106994689807,0.0
2032,2580.7106994689807,0.0
2033,2580.7106994689807,0.0
