Years,predicted_mean,% Change
2018,232.0,
2019,2745.4963457953772,1083.4035973255936
2020,2451.6874080680627,-10.701487116428755
2021,1470.551412047849,-40.01880471349942
2022,1568.423525674959,6.655470378340311
2024,2451.4261031940046,56.29873328628199
2025,2598.6414392045835,6.005293645962628
2026,2598.6414392045835,0.0
2027,2598.6414392045835,0.0
2028,2598.6414392045835,0.0
2029,2598.6414392045835,0.0
2030,2598.6414392045835,0.0
2031,2598.6414392045835,0.0
2032,2598.6414392045835,0.0
2033,2598.6414392045835,0.0
