Years,predicted_mean,% Change
2018,246.0,
2019,18.672002100065313,-92.40975524387589
2020,18.17095463300522,-2.6834158671090846
2021,12.583199800111984,-30.751025170377076
2022,14.671908177056242,16.599183118157825
2024,17.757657243286783,21.031681966603365
2025,17.86555921296297,0.6076362900685028
2026,17.865559461294975,1.3900040896075438e-06
2027,17.865558964630967,-2.780008145908397e-06
2028,17.86555921296297,1.3900041118120043e-06
2029,17.86555921296297,0.0
2030,17.86555921296297,0.0
2031,17.86555921296297,0.0
2032,17.86555921296297,0.0
2033,17.86555921296297,0.0
