Years,predicted_mean,% Change
2018,78.0,
2019,2664.4411746278006,3315.950223881796
2020,2588.897226113436,-2.835264266058246
2021,1533.7098001095055,-40.75818133530249
2022,1914.6169184281594,24.8356708871168
2024,2625.9011750313052,37.15021264865288
2025,2626.8810766419674,0.03731677414138268
2026,2626.8810766419674,0.0
2027,2626.8810766419674,0.0
2028,2626.8810766419674,0.0
2029,2626.8810766419674,0.0
2030,2626.8810766419674,0.0
2031,2626.8810766419674,0.0
2032,2626.8810766419674,0.0
2033,2626.8810766419674,0.0
2034,2626.8810766419674,0.0
2035,2626.8810766419674,0.0
2036,2626.8810766419674,0.0
2037,2626.8810766419674,0.0
2038,2626.8810766419674,0.0
2039,2626.8810766419674,0.0
2040,2626.8810766419674,0.0
2041,2626.8810766419674,0.0
2042,2626.8810766419674,0.0
2043,2626.8810766419674,0.0
2044,2626.8810766419674,0.0
2045,2626.8810766419674,0.0
2046,2626.8810766419674,0.0
2047,2626.8810766419674,0.0
2048,2626.8810766419674,0.0
2049,2626.8810766419674,0.0
2050,2626.8810766419674,0.0
2051,2626.8810766419674,0.0
2052,2626.8810766419674,0.0
2053,2626.8810766419674,0.0
2054,2626.8810766419674,0.0
2055,2626.8810766419674,0.0
2056,2626.8810766419674,0.0
2057,2626.8810766419674,0.0
2058,2626.8810766419674,0.0
2059,2626.8810766419674,0.0
2060,2626.8810766419674,0.0
2061,2626.8810766419674,0.0
2062,2626.8810766419674,0.0
2063,2626.8810766419674,0.0
2064,2626.8810766419674,0.0
2065,2626.8810766419674,0.0
2066,2626.8810766419674,0.0
2067,2626.8810766419674,0.0
2068,2626.8810766419674,0.0
2069,2626.8810766419674,0.0
2070,2626.8810766419674,0.0
2071,2626.8810766419674,0.0
2072,2626.8810766419674,0.0
2073,2626.8810766419674,0.0
2074,2626.8810766419674,0.0
2075,2626.8810766419674,0.0
2076,2626.8810766419674,0.0
2077,2626.8810766419674,0.0
2078,2626.8810766419674,0.0
2079,2626.8810766419674,0.0
2080,2626.8810766419674,0.0
2081,2626.8810766419674,0.0
2082,2626.8810766419674,0.0
2083,2626.8810766419674,0.0
2084,2626.8810766419674,0.0
2085,2626.8810766419674,0.0
2086,2626.8810766419674,0.0
2087,2626.8810766419674,0.0
2088,2626.8810766419674,0.0
2089,2626.8810766419674,0.0
2090,2626.8810766419674,0.0
2091,2626.8810766419674,0.0
2092,2626.8810766419674,0.0
2093,2626.8810766419674,0.0
2094,2626.8810766419674,0.0
2095,2626.8810766419674,0.0
2096,2626.8810766419674,0.0
2097,2626.8810766419674,0.0
2098,2626.8810766419674,0.0
2099,2626.8810766419674,0.0
2100,2626.8810766419674,0.0
2101,2626.8810766419674,0.0
