Years,predicted_mean,% Change
2018,28.0,
2019,1499.9443614093423,5256.944147890508
2020,1403.5187983891774,-6.428609320519318
2021,744.9293161278812,-46.924165391811016
2024,1451.6442247771215,94.87006261516487
2025,1451.6448870447769,4.562189854784293e-05
2026,1451.6448870447769,0.0
2027,1451.6448870447769,0.0
2028,1451.6448870447769,0.0
2029,1451.6448870447769,0.0
2030,1451.6448870447769,0.0
2031,1451.6448870447769,0.0
2032,1451.6448870447769,0.0
2033,1451.6448870447769,0.0
2034,1451.6448870447769,0.0
2035,1451.6448870447769,0.0
2036,1451.6448870447769,0.0
2037,1451.6448870447769,0.0
2038,1451.6448870447769,0.0
2039,1451.6448870447769,0.0
2040,1451.6448870447769,0.0
2041,1451.6448870447769,0.0
2042,1451.6448870447769,0.0
2043,1451.6448870447769,0.0
2044,1451.6448870447769,0.0
2045,1451.6448870447769,0.0
2046,1451.6448870447769,0.0
2047,1451.6448870447769,0.0
2048,1451.6448870447769,0.0
2049,1451.6448870447769,0.0
2050,1451.6448870447769,0.0
2051,1451.6448870447769,0.0
2052,1451.6448870447769,0.0
2053,1451.6448870447769,0.0
2054,1451.6448870447769,0.0
2055,1451.6448870447769,0.0
2056,1451.6448870447769,0.0
2057,1451.6448870447769,0.0
2058,1451.6448870447769,0.0
2059,1451.6448870447769,0.0
2060,1451.6448870447769,0.0
2061,1451.6448870447769,0.0
2062,1451.6448870447769,0.0
2063,1451.6448870447769,0.0
2064,1451.6448870447769,0.0
2065,1451.6448870447769,0.0
2066,1451.6448870447769,0.0
2067,1451.6448870447769,0.0
2068,1451.6448870447769,0.0
2069,1451.6448870447769,0.0
2070,1451.6448870447769,0.0
2071,1451.6448870447769,0.0
2072,1451.6448870447769,0.0
2073,1451.6448870447769,0.0
2074,1451.6448870447769,0.0
2075,1451.6448870447769,0.0
2076,1451.6448870447769,0.0
2077,1451.6448870447769,0.0
2078,1451.6448870447769,0.0
2079,1451.6448870447769,0.0
2080,1451.6448870447769,0.0
2081,1451.6448870447769,0.0
2082,1451.6448870447769,0.0
2083,1451.6448870447769,0.0
2084,1451.6448870447769,0.0
2085,1451.6448870447769,0.0
2086,1451.6448870447769,0.0
2087,1451.6448870447769,0.0
2088,1451.6448870447769,0.0
2089,1451.6448870447769,0.0
2090,1451.6448870447769,0.0
2091,1451.6448870447769,0.0
2092,1451.6448870447769,0.0
2093,1451.6448870447769,0.0
2094,1451.6448870447769,0.0
2095,1451.6448870447769,0.0
2096,1451.6448870447769,0.0
2097,1451.6448870447769,0.0
2098,1451.6448870447769,0.0
2099,1451.6448870447769,0.0
2100,1451.6448870447769,0.0
2101,1451.6448870447769,0.0
2102,1451.6448870447769,0.0
2103,1451.6448870447769,0.0
2104,1451.6448870447769,0.0
2105,1451.6448870447769,0.0
2106,1451.6448870447769,0.0
2107,1451.6448870447769,0.0
2108,1451.6448870447769,0.0
2109,1451.6448870447769,0.0
2110,1451.6448870447769,0.0
2111,1451.6448870447769,0.0
2112,1451.6448870447769,0.0
2113,1451.6448870447769,0.0
2114,1451.6448870447769,0.0
2115,1451.6448870447769,0.0
2116,1451.6448870447769,0.0
2117,1451.6448870447769,0.0
2118,1451.6448870447769,0.0
2119,1451.6448870447769,0.0
2120,1451.6448870447769,0.0
2121,1451.6448870447769,0.0
2122,1451.6448870447769,0.0
2123,1451.6448870447769,0.0
2124,1451.6448870447769,0.0
2125,1451.6448870447769,0.0
2126,1451.6448870447769,0.0
2127,1451.6448870447769,0.0
2128,1451.6448870447769,0.0
2129,1451.6448870447769,0.0
2130,1451.6448870447769,0.0
2131,1451.6448870447769,0.0
2132,1451.6448870447769,0.0
2133,1451.6448870447769,0.0
2134,1451.6448870447769,0.0
2135,1451.6448870447769,0.0
2136,1451.6448870447769,0.0
2137,1451.6448870447769,0.0
2138,1451.6448870447769,0.0
2139,1451.6448870447769,0.0
2140,1451.6448870447769,0.0
2141,1451.6448870447769,0.0
2142,1451.6448870447769,0.0
2143,1451.6448870447769,0.0
2144,1451.6448870447769,0.0
2145,1451.6448870447769,0.0
2146,1451.6448870447769,0.0
2147,1451.6448870447769,0.0
2148,1451.6448870447769,0.0
2149,1451.6448870447769,0.0
2150,1451.6448870447769,0.0
2151,1451.6448870447769,0.0
2152,1451.6448870447769,0.0
2153,1451.6448870447769,0.0
2154,1451.6448870447769,0.0
2155,1451.6448870447769,0.0
2156,1451.6448870447769,0.0
2157,1451.6448870447769,0.0
2158,1451.6448870447769,0.0
2159,1451.6448870447769,0.0
2160,1451.6448870447769,0.0
2161,1451.6448870447769,0.0
2162,1451.6448870447769,0.0
2163,1451.6448870447769,0.0
2164,1451.6448870447769,0.0
2165,1451.6448870447769,0.0
2166,1451.6448870447769,0.0
2167,1451.6448870447769,0.0
2168,1451.6448870447769,0.0
2169,1451.6448870447769,0.0
2170,1451.6448870447769,0.0
2171,1451.6448870447769,0.0
2172,1451.6448870447769,0.0
2173,1451.6448870447769,0.0
2174,1451.6448870447769,0.0
2175,1451.6448870447769,0.0
2176,1451.6448870447769,0.0
2177,1451.6448870447769,0.0
2178,1451.6448870447769,0.0
2179,1451.6448870447769,0.0
2180,1451.6448870447769,0.0
2181,1451.6448870447769,0.0
2182,1451.6448870447769,0.0
2183,1451.6448870447769,0.0
2184,1451.6448870447769,0.0
2185,1451.6448870447769,0.0
2186,1451.6448870447769,0.0
2187,1451.6448870447769,0.0
2188,1451.6448870447769,0.0
2189,1451.6448870447769,0.0
2190,1451.6448870447769,0.0
2191,1451.6448870447769,0.0
2192,1451.6448870447769,0.0
2193,1451.6448870447769,0.0
2194,1451.6448870447769,0.0
2195,1451.6448870447769,0.0
2196,1451.6448870447769,0.0
2197,1451.6448870447769,0.0
2198,1451.6448870447769,0.0
2199,1451.6448870447769,0.0
2200,1451.6448870447769,0.0
2201,1451.6448870447769,0.0
2202,1451.6448870447769,0.0
2203,1451.6448870447769,0.0
2204,1451.6448870447769,0.0
2205,1451.6448870447769,0.0
2206,1451.6448870447769,0.0
2207,1451.6448870447769,0.0
2208,1451.6448870447769,0.0
2209,1451.6448870447769,0.0
2210,1451.6448870447769,0.0
2211,1451.6448870447769,0.0
2212,1451.6448870447769,0.0
2213,1451.6448870447769,0.0
2214,1451.6448870447769,0.0
2215,1451.6448870447769,0.0
2216,1451.6448870447769,0.0
2217,1451.6448870447769,0.0
2218,1451.6448870447769,0.0
2219,1451.6448870447769,0.0
2220,1451.6448870447769,0.0
2221,1451.6448870447769,0.0
2222,1451.6448870447769,0.0
2223,1451.6448870447769,0.0
