Years,predicted_mean,% Change
2018,828.0,
2019,638.4510689447565,-22.89238297768642
2020,569.881258124594,-10.740026002853432
2021,279.5190548630098,-50.95135155297594
2024,569.8019103590769,103.85082893126287
2025,604.1559082200532,6.029112440027995
2026,604.1559082200532,0.0
2027,604.1559082200532,0.0
2028,604.1559082200532,0.0
2029,604.1559082200532,0.0
2030,604.1559082200532,0.0
2031,604.1559082200532,0.0
2032,604.1559082200532,0.0
2033,604.1559082200532,0.0
2034,604.1559082200532,0.0
2035,604.1559082200532,0.0
2036,604.1559082200532,0.0
2037,604.1559082200532,0.0
2038,604.1559082200532,0.0
2039,604.1559082200532,0.0
2040,604.1559082200532,0.0
2041,604.1559082200532,0.0
2042,604.1559082200532,0.0
2043,604.1559082200532,0.0
2044,604.1559082200532,0.0
2045,604.1559082200532,0.0
2046,604.1559082200532,0.0
2047,604.1559082200532,0.0
2048,604.1559082200532,0.0
2049,604.1559082200532,0.0
2050,604.1559082200532,0.0
2051,604.1559082200532,0.0
2052,604.1559082200532,0.0
2053,604.1559082200532,0.0
2054,604.1559082200532,0.0
2055,604.1559082200532,0.0
2056,604.1559082200532,0.0
2057,604.1559082200532,0.0
2058,604.1559082200532,0.0
2059,604.1559082200532,0.0
2060,604.1559082200532,0.0
2061,604.1559082200532,0.0
2062,604.1559082200532,0.0
2063,604.1559082200532,0.0
2064,604.1559082200532,0.0
2065,604.1559082200532,0.0
2066,604.1559082200532,0.0
2067,604.1559082200532,0.0
2068,604.1559082200532,0.0
2069,604.1559082200532,0.0
2070,604.1559082200532,0.0
2071,604.1559082200532,0.0
2072,604.1559082200532,0.0
2073,604.1559082200532,0.0
2074,604.1559082200532,0.0
2075,604.1559082200532,0.0
2076,604.1559082200532,0.0
2077,604.1559082200532,0.0
2078,604.1559082200532,0.0
2079,604.1559082200532,0.0
2080,604.1559082200532,0.0
2081,604.1559082200532,0.0
2082,604.1559082200532,0.0
2083,604.1559082200532,0.0
2084,604.1559082200532,0.0
2085,604.1559082200532,0.0
2086,604.1559082200532,0.0
2087,604.1559082200532,0.0
2088,604.1559082200532,0.0
2089,604.1559082200532,0.0
2090,604.1559082200532,0.0
2091,604.1559082200532,0.0
2092,604.1559082200532,0.0
2093,604.1559082200532,0.0
2094,604.1559082200532,0.0
2095,604.1559082200532,0.0
2096,604.1559082200532,0.0
2097,604.1559082200532,0.0
2098,604.1559082200532,0.0
2099,604.1559082200532,0.0
2100,604.1559082200532,0.0
2101,604.1559082200532,0.0
2102,604.1559082200532,0.0
2103,604.1559082200532,0.0
2104,604.1559082200532,0.0
2105,604.1559082200532,0.0
2106,604.1559082200532,0.0
2107,604.1559082200532,0.0
2108,604.1559082200532,0.0
2109,604.1559082200532,0.0
2110,604.1559082200532,0.0
2111,604.1559082200532,0.0
2112,604.1559082200532,0.0
2113,604.1559082200532,0.0
2114,604.1559082200532,0.0
2115,604.1559082200532,0.0
2116,604.1559082200532,0.0
2117,604.1559082200532,0.0
2118,604.1559082200532,0.0
2119,604.1559082200532,0.0
2120,604.1559082200532,0.0
2121,604.1559082200532,0.0
2122,604.1559082200532,0.0
2123,604.1559082200532,0.0
2124,604.1559082200532,0.0
2125,604.1559082200532,0.0
2126,604.1559082200532,0.0
2127,604.1559082200532,0.0
2128,604.1559082200532,0.0
2129,604.1559082200532,0.0
2130,604.1559082200532,0.0
2131,604.1559082200532,0.0
2132,604.1559082200532,0.0
2133,604.1559082200532,0.0
2134,604.1559082200532,0.0
2135,604.1559082200532,0.0
2136,604.1559082200532,0.0
2137,604.1559082200532,0.0
2138,604.1559082200532,0.0
2139,604.1559082200532,0.0
2140,604.1559082200532,0.0
2141,604.1559082200532,0.0
2142,604.1559082200532,0.0
2143,604.1559082200532,0.0
2144,604.1559082200532,0.0
2145,604.1559082200532,0.0
2146,604.1559082200532,0.0
2147,604.1559082200532,0.0
2148,604.1559082200532,0.0
2149,604.1559082200532,0.0
2150,604.1559082200532,0.0
2151,604.1559082200532,0.0
2152,604.1559082200532,0.0
2153,604.1559082200532,0.0
2154,604.1559082200532,0.0
2155,604.1559082200532,0.0
2156,604.1559082200532,0.0
2157,604.1559082200532,0.0
2158,604.1559082200532,0.0
2159,604.1559082200532,0.0
2160,604.1559082200532,0.0
2161,604.1559082200532,0.0
2162,604.1559082200532,0.0
2163,604.1559082200532,0.0
2164,604.1559082200532,0.0
2165,604.1559082200532,0.0
2166,604.1559082200532,0.0
2167,604.1559082200532,0.0
2168,604.1559082200532,0.0
2169,604.1559082200532,0.0
2170,604.1559082200532,0.0
2171,604.1559082200532,0.0
2172,604.1559082200532,0.0
2173,604.1559082200532,0.0
2174,604.1559082200532,0.0
2175,604.1559082200532,0.0
2176,604.1559082200532,0.0
2177,604.1559082200532,0.0
2178,604.1559082200532,0.0
2179,604.1559082200532,0.0
2180,604.1559082200532,0.0
2181,604.1559082200532,0.0
2182,604.1559082200532,0.0
2183,604.1559082200532,0.0
2184,604.1559082200532,0.0
2185,604.1559082200532,0.0
2186,604.1559082200532,0.0
2187,604.1559082200532,0.0
2188,604.1559082200532,0.0
2189,604.1559082200532,0.0
2190,604.1559082200532,0.0
2191,604.1559082200532,0.0
2192,604.1559082200532,0.0
2193,604.1559082200532,0.0
2194,604.1559082200532,0.0
2195,604.1559082200532,0.0
2196,604.1559082200532,0.0
2197,604.1559082200532,0.0
2198,604.1559082200532,0.0
2199,604.1559082200532,0.0
2200,604.1559082200532,0.0
2201,604.1559082200532,0.0
2202,604.1559082200532,0.0
2203,604.1559082200532,0.0
2204,604.1559082200532,0.0
2205,604.1559082200532,0.0
2206,604.1559082200532,0.0
2207,604.1559082200532,0.0
2208,604.1559082200532,0.0
2209,604.1559082200532,0.0
2210,604.1559082200532,0.0
2211,604.1559082200532,0.0
2212,604.1559082200532,0.0
2213,604.1559082200532,0.0
2214,604.1559082200532,0.0
2215,604.1559082200532,0.0
2216,604.1559082200532,0.0
2217,604.1559082200532,0.0
2218,604.1559082200532,0.0
2219,604.1559082200532,0.0
2220,604.1559082200532,0.0
2221,604.1559082200532,0.0
2222,604.1559082200532,0.0
2223,604.1559082200532,0.0
2224,604.1559082200532,0.0
2225,604.1559082200532,0.0
2226,604.1559082200532,0.0
2227,604.1559082200532,0.0
2228,604.1559082200532,0.0
2229,604.1559082200532,0.0
2230,618.4612699055941,2.3678261672035905
2231,589.8505465345123,-4.626113996669368
2232,604.1559082200532,2.4252519167080155
2233,604.1559082200532,0.0
2234,604.1559082200532,0.0
2235,604.1559082200532,0.0
2236,604.1559082200532,0.0
2237,604.1559082200532,0.0
2238,604.1559082200532,0.0
2239,604.1559082200532,0.0
