Years,predicted_mean,% Change
2018,1732.0,
2019,2156.3352684851106,24.499726817847044
2020,1900.3587680901032,-11.87090449876278
2021,1159.2548342239832,-38.99810637393188
2024,2027.5404065391199,74.90031929833407
2025,2028.9386708459106,0.06896357292220934
2026,2028.6421555890552,-0.014614303582261012
2027,2028.790696422052,0.007322180138458201
2028,2028.7901300129138,-2.7918559519779507e-05
2029,2028.7904132304468,1.3959922662287738e-05
2030,2028.790413204519,-1.2779999281065102e-09
2031,2028.7904132174829,6.389999640532551e-10
2032,2028.7904132174829,0.0
2033,2028.7904132174829,0.0
2034,2028.7904132174829,0.0
2035,2028.7904132174829,0.0
2036,2028.7904132174829,0.0
2037,2028.7904132174829,0.0
2038,2028.7904132174829,0.0
2039,2028.7904132174829,0.0
2040,2028.7904132174829,0.0
2041,2028.7904132174829,0.0
2042,2028.7904132444753,1.330469068250295e-09
2043,2028.7904131904904,-2.66093813650059e-09
2044,2028.7908863862438,2.332403339355693e-05
2045,2028.789940048722,-4.664539495768949e-05
2046,2028.982808822769,0.00950659160121603
2047,2028.5980176121968,-0.018964734885817958
2048,2030.0296919727634,0.07057457160741798
2049,2027.5511344622023,-0.12209464326369268
2050,2028.90276756755,0.0666633300819841
2051,2028.6780588674158,-0.01107538043351175
2052,2028.7905801854292,0.005546533986588997
2053,2028.7902462495365,-1.6459850316064006e-05
2054,2028.7904132236317,8.23022958673647e-06
2055,2028.790413211334,-6.06159566984843e-10
2056,2028.7904132174829,3.0309088572266774e-10
2057,2028.7904132174829,0.0
2058,2028.7904132174829,0.0
2059,2028.7904132174829,0.0
2060,2028.7904132174829,0.0
2061,2028.7904132174829,0.0
2062,2028.7904132174829,0.0
2063,2028.7904132174829,0.0
2064,2028.7904132174829,0.0
2065,2028.790413217483,2.220446049250313e-14
2066,2028.7904132174826,-2.220446049250313e-14
2067,2028.7904132729745,2.735212056848013e-09
2068,2028.7904131619912,-5.470424113696026e-09
2069,2028.791191833489,3.838107143216973e-05
2070,2028.7896346014768,-7.675664298600893e-05
2071,2029.0359378927083,0.012140405640415075
2072,2028.5448885422575,-0.024201116465227823
2073,2029.9980601417915,0.07163615691927472
2074,2027.5827662931742,-0.11898010623954125
2075,2028.8741554588005,0.06369107032742072
2076,2028.7066709761652,-0.008255045399663263
2077,2028.7905101955444,0.004132643746812548
2078,2028.7903162394214,-9.5601848548732e-06
2079,2028.7904132203637,4.780234874601774e-06
2080,2028.790413214602,-2.8399504969911504e-10
2081,2028.7904132174829,1.4199752484955752e-10
2082,2028.7904132174829,0.0
2083,2028.7904132174829,0.0
2084,2028.7904132174829,0.0
2085,2028.7904132174829,0.0
2086,2028.7904132174829,0.0
2087,2028.7904132174829,0.0
2088,2028.7904132174829,0.0
2089,2028.7904132174829,0.0
2090,2028.7904132174833,2.220446049250313e-14
2091,2028.7904132174824,-4.440892098500626e-14
2092,2028.7904133301024,5.55109291866529e-09
2093,2028.7904131048633,-1.1102141428409595e-08
2094,2028.791674947796,6.219681070174232e-05
2095,2028.7891514871696,-0.00012438244190171588
2096,2029.0985119175807,0.01524852546574973
2097,2028.482314517385,-0.030368037656947067
2098,2029.9471329372511,0.07221253098352864
2099,2027.6336934977146,-0.11396550195812427
2100,2028.8518055126867,0.060075546134319424
2101,2028.729020922279,-0.006051925038297323
2102,2028.7904687160776,0.003028881292910235
2103,2028.7903577188881,-5.471101682807955e-06
2104,2028.7904132188162,2.7356167109360285e-06
2105,2028.7904132161495,-1.3143930388537228e-10
2106,2028.7904132174829,6.572520305780927e-11
2107,2028.7904132174829,0.0
2108,2028.7904132174829,0.0
2109,2028.7904132174829,0.0
2110,2028.7904132174829,0.0
2111,2028.7904132174829,0.0
2112,2028.7904132174829,0.0
2113,2028.7904132174829,0.0
2114,2028.7904132174829,0.0
2115,2028.7904132174838,4.440892098500626e-14
2116,2028.790413217482,-8.881784197001252e-14
2117,2028.7904134430728,1.111948311205424e-08
2118,2028.790412991893,-2.2238855201806018e-08
2119,2028.792426440542,9.92437974911553e-05
2120,2028.7883999944238,-0.000198465159162442
2121,2029.170562354501,0.01883697482094604
2122,2028.4102640804647,-0.03746842617085022
2123,2029.8794393119422,0.0724298854868799
2124,2027.7013871230236,-0.10729958374556814
2125,2028.8346855456311,0.0558907948579046
2126,2028.7461408893346,-0.004364311046500813
2127,2028.7904445157842,0.0021837935046065127
2128,2028.7903819191815,-3.0854149013492815e-06
2129,2028.7904132180927,1.5427375599230686e-06
2130,2028.790413216873,-6.011857678345223e-11
2131,2028.7904132174829,3.006483950684924e-11
2132,2028.7904132174829,0.0
2133,2028.7904132174829,0.0
2134,2028.7904132174829,0.0
2135,2028.7904132174829,0.0
2136,2028.7904132174829,0.0
2137,2028.7904132174829,0.0
2138,2028.7904132174829,0.0
2139,2028.7904132174829,0.0
2140,2028.7904132174851,1.1102230246251565e-13
2141,2028.7904132174806,-2.220446049250313e-13
2142,2028.7904136634163,2.198037307721279e-08
2143,2028.7904127715494,-4.3960524109820653e-08
2144,2028.7935758397937,0.0001559090689884357
2145,2028.787250595172,-0.0003117736913638147
2146,2029.2515865161529,0.022887363908896674
2147,2028.3292399188128,-0.04545255026379147
2148,2029.7982196830365,0.07242314192947852
2149,2027.7826067519293,-0.09930114784620914
2150,2028.821820943015,0.051248796967939825
2151,2028.7590054919508,-0.003096154152903985
2152,2028.7904306136545,0.0015489824872538804
2153,2028.7903958213112,-1.7149303754848688e-06
2154,2028.7904132177584,8.574787768722558e-07
2155,2028.7904132172073,-2.716715741257758e-11
2156,2028.7904132174829,1.3589129821411916e-11
2157,2028.7904132174829,0.0
2158,2028.7904132174829,0.0
2159,2028.7904132174829,0.0
2160,2028.7904132174829,0.0
2161,2028.7904132174829,0.0
2162,2028.7904132174829,0.0
2163,2028.7904132174829,0.0
2164,2028.7904132174829,0.0
2165,2028.7904132174883,2.6645352591003757e-13
2166,2028.7904132174774,-5.329070518200751e-13
2167,2028.7904140872201,4.287001864611284e-08
2168,2028.7904123477456,-8.573949328294361e-08
2169,2028.7953040467612,0.00024111406411453373
2170,2028.7855223882045,-0.00048214122623235767
2171,2029.340458911712,0.02735313897814784
2172,2028.2403675232538,-0.05420930645851918
2173,2029.7071683282793,0.07231888431531441
2174,2027.8736581066864,-0.09033373139747392
2175,2028.8123344268058,0.046288698330232414
2176,2028.76849200816,-0.0021609893582574813
2177,2028.7904227486522,0.0010809878297379782
2178,2028.7904036863135,-9.395913158627422e-07
2179,2028.790413217606,4.698017308513158e-07
2180,2028.7904132173596,-1.2145839889399213e-11
2181,2028.7904132174829,6.084022174945858e-12
2182,2028.7904132174829,0.0
2183,2028.7904132174829,0.0
2184,2028.7904132174829,0.0
2185,2028.7904132174829,0.0
2186,2028.7904132174829,0.0
2187,2028.7904132174829,0.0
2188,2028.7904132174829,0.0
2189,2028.7904132174829,0.0
2190,2028.7904132174954,6.217248937900877e-13
2191,2028.7904132174704,-1.2323475573339238e-12
2192,2028.7904148908824,8.248324245840877e-08
2193,2028.7904115440833,-1.6496524146702995e-07
2194,2028.797857945377,0.00036703649874958444
2195,2028.7829684895887,-0.0007339053385679861
2196,2029.4353812865813,0.03215784079053652
2197,2028.1454451483844,-0.06356133090471561
2198,2029.610155690805,0.07221920626669931
2199,2027.9706707441608,-0.08077831804532698
2200,2028.8054673766396,0.041164137357685426
2201,2028.775359058326,-0.0014840416588834948
2202,2028.7904183658004,0.0007422856062921923
2203,2028.7904080691653,-5.075258102671398e-07
2204,2028.7904132175372,2.537655863221744e-07
2205,2028.7904132174285,-5.362377208939506e-12
2206,2028.7904132174829,2.686739719592879e-12
2207,2028.7904132174829,0.0
2208,2028.7904132174829,0.0
2209,2028.7904132174829,0.0
2210,2028.7904132174829,0.0
