Years,predicted_mean,% Change
2018,876.0,
2019,216.54305140353762,-75.28047358407105
2020,178.24326169775713,-17.68691696987641
2021,110.8247986170806,-37.82384951807963
2024,179.8285997099832,62.263863281469156
2025,197.37466092552822,9.757102732180666
2026,197.37466092552822,0.0
2027,197.37466092552822,0.0
2028,197.37466092552822,0.0
2029,197.37466092552822,0.0
2030,197.37466092552822,0.0
2031,197.37466092552822,0.0
2032,197.37466092552822,0.0
2033,197.37466092552822,0.0
2034,197.37466092552822,0.0
2035,197.37466092552822,0.0
2036,197.37466092552822,0.0
2037,197.37466092552822,0.0
2038,197.37466092552822,0.0
2039,197.37466092552822,0.0
2040,197.37466092552822,0.0
2041,197.37466092552822,0.0
2042,197.37466092552822,0.0
2043,197.37466092552822,0.0
2044,197.37466092552822,0.0
2045,197.37466092552822,0.0
2046,197.37466092552822,0.0
2047,197.37466092552822,0.0
2048,197.37466092552822,0.0
2049,197.37466092552822,0.0
2050,197.37466092552822,0.0
2051,197.37466092552822,0.0
2052,197.37466092552822,0.0
2053,197.37466092552822,0.0
2054,197.37466092552822,0.0
2055,197.37466092552822,0.0
2056,197.37466092552822,0.0
2057,197.37466092552822,0.0
2058,197.37466092552822,0.0
2059,197.37466092552822,0.0
2060,197.37466092552822,0.0
2061,197.37466092552822,0.0
2062,197.37466092552822,0.0
2063,197.37466092552822,0.0
2064,197.37466092552822,0.0
2065,197.37466092552822,0.0
2066,197.37466092552822,0.0
2067,197.37466092552822,0.0
2068,197.37466092552822,0.0
2069,197.37466092552822,0.0
2070,197.37466092552822,0.0
2071,197.37466092552822,0.0
2072,197.37466092552822,0.0
2073,197.37466092552822,0.0
2074,197.37466092552822,0.0
2075,197.37466092552822,0.0
2076,197.37466092552822,0.0
2077,197.37466092552822,0.0
2078,197.37466092552822,0.0
2079,197.37466092552822,0.0
2080,197.37466092552822,0.0
2081,197.37466092552822,0.0
2082,197.37466092552822,0.0
2083,197.37466092552822,0.0
2084,197.37466092552822,0.0
2085,197.37466092552822,0.0
2086,197.37466092552822,0.0
2087,197.37466092552822,0.0
2088,197.37466092552822,0.0
2089,197.37466092552822,0.0
2090,197.37466092552822,0.0
2091,197.37466092552822,0.0
2092,197.37466092552822,0.0
2093,197.37466092552822,0.0
2094,197.37466092552822,0.0
