Years,predicted_mean,% Change
2018,12.0,
2019,506.9571439507813,4124.64286625651
2020,594.6116090288972,17.290310655258455
2021,339.5913782806478,-42.888538816916345
2024,555.6737644257139,63.630115475573
2025,550.7221006134315,-0.8911098794451622
2026,550.7221006134315,0.0
2027,550.7221006134315,0.0
2028,550.7221006134315,0.0
2029,550.7221006134315,0.0
2030,550.7221006134315,0.0
2031,550.7221006134315,0.0
2032,550.7221006134315,0.0
2033,550.7221006134315,0.0
2034,550.7221006134315,0.0
2035,550.7221006134315,0.0
2036,550.7221006134315,0.0
2037,550.7221006134315,0.0
2038,550.7221006134315,0.0
2039,550.7221006134315,0.0
2040,550.7221006134315,0.0
2041,550.7221006134315,0.0
2042,550.7221006134315,0.0
2043,550.7221006134315,0.0
2044,550.7221006134315,0.0
2045,550.7221006134315,0.0
2046,550.7221006134315,0.0
2047,550.7221006134315,0.0
2048,550.7221006134315,0.0
2049,550.7221006134315,0.0
2050,550.7221006134315,0.0
2051,550.7221006134315,0.0
2052,550.7221006134315,0.0
2053,550.7221006134315,0.0
2054,550.7221006134315,0.0
2055,550.7221006134315,0.0
2056,550.7221006134315,0.0
2057,550.7221006134315,0.0
2058,550.7221006134315,0.0
2059,550.7221006134315,0.0
2060,550.7221006134315,0.0
2061,550.7221006134315,0.0
2062,550.7221006134315,0.0
2063,550.7221006134315,0.0
2064,550.7221006134315,0.0
2065,550.7221006134315,0.0
2066,550.7221006134315,0.0
2067,550.7221006134315,0.0
2068,550.7221006134315,0.0
2069,550.7221006134315,0.0
2070,550.7221006134315,0.0
2071,550.7221006134315,0.0
2072,550.7221006134315,0.0
2073,550.7221006134315,0.0
2074,550.7221006134315,0.0
2075,550.7221006134315,0.0
2076,550.7221006134315,0.0
2077,550.7221006134315,0.0
2078,550.7221006134315,0.0
2079,550.7221006134315,0.0
2080,550.7221006134315,0.0
2081,550.7221006134315,0.0
2082,550.7221006134315,0.0
2083,550.7221006134315,0.0
2084,550.7221006134315,0.0
2085,550.7221006134315,0.0
2086,550.7221006134315,0.0
2087,550.7221006134315,0.0
2088,550.7221006134315,0.0
2089,550.7221006134315,0.0
2090,550.7221006134315,0.0
2091,550.7221006134315,0.0
2092,550.7221006134315,0.0
2093,550.7221006134315,0.0
2094,550.7221006134315,0.0
2095,550.7221006134315,0.0
2096,550.7221006134315,0.0
2097,550.7221006134315,0.0
2098,550.7221006134315,0.0
2099,550.7221006134315,0.0
2100,550.7221006134315,0.0
2101,550.7221006134315,0.0
2102,548.9393928064289,-0.3237036982929986
2103,552.5048084204341,0.6495098841016178
2104,550.7221006134315,-0.32265923840539834
2105,550.7221006134315,0.0
2106,550.7221006134315,0.0
2107,550.7221006134315,0.0
2108,550.7221006134315,0.0
2109,550.7221006134315,0.0
2110,550.7221006134315,0.0
2111,550.7221006134315,0.0
2112,550.7221006134315,0.0
2113,550.7221006134315,0.0
2114,550.7221006134315,0.0
2115,550.7221006134315,0.0
2116,550.7221006134315,0.0
2117,550.7221006134315,0.0
2118,550.7221006134315,0.0
2119,550.7221006134315,0.0
2120,550.7221006134315,0.0
2121,550.7221006134315,0.0
2122,550.7221006134315,0.0
2123,550.7221006134315,0.0
2124,550.7221006134315,0.0
2125,550.7221006134315,0.0
2126,550.7221006134315,0.0
2127,550.7221006134315,0.0
2128,550.7221006134315,0.0
2129,550.7221006134315,0.0
2130,550.7221006134315,0.0
2131,550.7221006134315,0.0
2132,550.7221006134315,0.0
2133,550.7221006134315,0.0
2134,550.7221006134315,0.0
2135,550.7221006134315,0.0
