Years,predicted_mean,% Change
2018,528.0,
2019,576.8541248337056,9.252675157898782
2020,606.3270097625785,5.109244028959559
2021,289.2296972396573,-52.29806810801454
2024,606.2054914956576,109.59310101318968
2025,591.6155724301441,-2.406761283128045
2026,591.6155724301441,0.0
2027,591.6155724301441,0.0
2028,591.6155724301441,0.0
2029,591.6155724301441,0.0
2030,591.6155724301441,0.0
2031,591.6155724301441,0.0
2032,591.6155724301441,0.0
2033,591.6155724301441,0.0
2034,591.6155724301441,0.0
2035,591.6155724301441,0.0
2036,591.6155724301441,0.0
2037,591.6155724301441,0.0
2038,591.6155724301441,0.0
2039,591.6155724301441,0.0
2040,591.6155724301441,0.0
2041,591.6155724301441,0.0
2042,591.6155724301441,0.0
2043,591.6155724301441,0.0
2044,591.6155724301441,0.0
2045,591.6155724301441,0.0
2046,591.6155724301441,0.0
2047,591.6155724301441,0.0
2048,591.6155724301441,0.0
2049,591.6155724301441,0.0
2050,591.6155724301441,0.0
2051,591.6155724301441,0.0
2052,591.6155724301441,0.0
2053,591.6155724301441,0.0
2054,591.6155724301441,0.0
2055,591.6155724301441,0.0
2056,591.6155724301441,0.0
2057,591.6155724301441,0.0
2058,591.6155724301441,0.0
2059,591.6155724301441,0.0
2060,591.6155724301441,0.0
2061,591.6155724301441,0.0
2062,591.6155724301441,0.0
2063,591.6155724301441,0.0
2064,591.6155724301441,0.0
2065,591.6155724301441,0.0
2066,591.6155724301441,0.0
2067,591.6155724301441,0.0
2068,591.6155724301441,0.0
2069,591.6155724301441,0.0
2070,591.6155724301441,0.0
2071,591.6155724301441,0.0
2072,591.6155724301441,0.0
2073,591.6155724301441,0.0
2074,591.6155724301441,0.0
2075,591.6155724301441,0.0
2076,591.6155724301441,0.0
2077,591.6155724301441,0.0
2078,591.6155724301441,0.0
2079,591.6155724301441,0.0
2080,591.6155724301441,0.0
2081,591.6155724301441,0.0
2082,591.6155724301441,0.0
2083,591.6155724301441,0.0
2084,591.6155724301441,0.0
2085,591.6155724301441,0.0
2086,591.6155724301441,0.0
2087,591.6155724301441,0.0
2088,591.6155724301441,0.0
2089,591.6155724301441,0.0
2090,591.6155724301441,0.0
2091,591.6155724301441,0.0
2092,591.6155724301441,0.0
2093,591.6155724301441,0.0
2094,591.6155724301441,0.0
2095,591.6155724301441,0.0
2096,591.6155724301441,0.0
2097,591.6155724301441,0.0
2098,591.6155724301441,0.0
2099,591.6155724301441,0.0
2100,591.6155724301441,0.0
2101,591.6155724301441,0.0
2102,591.6155724301441,0.0
2103,591.6155724301441,0.0
2104,591.6155724301441,0.0
2105,591.6155724301441,0.0
2106,591.6155724301441,0.0
2107,591.6155724301441,0.0
2108,591.6155724301441,0.0
2109,591.6155724301441,0.0
2110,591.6155724301441,0.0
2111,591.6155724301441,0.0
2112,591.6155724301441,0.0
2113,591.6155724301441,0.0
2114,591.6155724301441,0.0
2115,591.6155724301441,0.0
2116,591.6155724301441,0.0
2117,591.6155724301441,0.0
2118,591.6155724301441,0.0
2119,591.6155724301441,0.0
2120,591.6155724301441,0.0
2121,591.6155724301441,0.0
2122,591.6155724301441,0.0
2123,591.6155724301441,0.0
2124,591.6155724301441,0.0
2125,591.6155724301441,0.0
2126,591.6155724301441,0.0
2127,591.6155724301441,0.0
2128,591.6155724301441,0.0
2129,591.6155724301441,0.0
2130,591.6155724301441,0.0
2131,591.6155724301441,0.0
2132,591.6155724301441,0.0
2133,591.6155724301441,0.0
2134,591.6155724301441,0.0
2135,591.6155724301441,0.0
2136,591.6155724301441,0.0
2137,591.6155724301441,0.0
2138,591.6155724301441,0.0
2139,591.6155724301441,0.0
2140,591.6155724301441,0.0
2141,591.6155724301441,0.0
2142,591.6155724301441,0.0
2143,591.6155724301441,0.0
2144,591.6155724301441,0.0
2145,591.6155724301441,0.0
2146,591.6155724301441,0.0
2147,591.6155724301441,0.0
2148,591.6155724301441,0.0
2149,591.6155724301441,0.0
2150,591.6155724301441,0.0
2151,591.6155724301441,0.0
2152,591.6155724301441,0.0
2153,591.6155724301441,0.0
2154,591.6155724301441,0.0
2155,591.6155724301441,0.0
2156,591.6155724301441,0.0
2157,591.6155724301441,0.0
2158,591.6155724301441,0.0
2159,591.6155724301441,0.0
2160,591.6155724301441,0.0
2161,591.6155724301441,0.0
2162,591.6155724301441,0.0
2163,591.6155724301441,0.0
2164,591.6155724301441,0.0
2165,591.6155724301441,0.0
2166,591.6153318047478,-4.0672593404345037e-05
2167,591.6158130555403,8.134521989333621e-05
2168,591.6155724301441,-4.067257685091974e-05
2169,591.6155724301441,0.0
2170,591.6155724301441,0.0
2171,591.6155724301441,0.0
2172,591.6155724301441,0.0
2173,591.6155724301441,0.0
2174,591.6155724301441,0.0
2175,591.6155724301441,0.0
2176,591.6155724301441,0.0
2177,591.6155724301441,0.0
2178,591.6155724301441,0.0
2179,591.6155724301441,0.0
2180,591.6155724301441,0.0
2181,591.6155724301441,0.0
2182,591.6155724301441,0.0
2183,591.6155724301441,0.0
2184,591.6155724301441,0.0
2185,591.6155724301441,0.0
2186,591.6155724301441,0.0
2187,591.6155724301441,0.0
2188,591.6155724301441,0.0
2189,591.6155724301441,0.0
2190,591.6155724301441,0.0
2191,591.6155724301441,0.0
2192,591.6155724301441,0.0
2193,591.6155724301441,0.0
2194,591.6155724301441,0.0
2195,591.6155724301441,0.0
2196,591.6155724301441,0.0
2197,591.6155724301441,0.0
2198,591.6155724301441,0.0
2199,591.6155724301441,0.0
2200,591.6155724301441,0.0
2201,591.6155724301441,0.0
2202,591.6155724301441,0.0
2203,591.6155724301441,0.0
2204,591.6155724301441,0.0
2205,591.6155724301441,0.0
2206,591.6155724301441,0.0
2207,591.6155724301441,0.0
2208,591.6155724301441,0.0
2209,591.6155724301441,0.0
2210,591.6155724301441,0.0
2211,591.6155724301441,0.0
2212,591.6155724301441,0.0
2213,591.6155724301441,0.0
2214,591.6155724301441,0.0
2215,591.6155724301441,0.0
2216,591.6155724301441,0.0
2217,591.6155724301441,0.0
2218,591.6155724301441,0.0
2219,591.6155724301441,0.0
2220,591.6155724301441,0.0
2221,591.6155724301441,0.0
2222,591.6155724301441,0.0
2223,591.6155724301441,0.0
2224,591.6155724301441,0.0
2225,591.6155724301441,0.0
2226,591.6155724301441,0.0
2227,591.6155724301441,0.0
2228,591.6155724301441,0.0
2229,591.6155724301441,0.0
