Years,predicted_mean,% Change
2018,2.0,
2019,903.2360866158897,45061.80433079448
2020,767.2250911333863,-15.058188827694996
2021,473.75488484558116,-38.25086140682327
2024,832.195114705457,75.65942670474166
2025,835.2837636879276,0.3711448106209936
2026,835.2837636879276,0.0
2027,835.2837636879276,0.0
2028,835.2837636879276,0.0
2029,835.2837636879276,0.0
2030,835.2837636879276,0.0
2031,835.2837636879276,0.0
2032,835.2837636879276,0.0
2033,835.2837636879276,0.0
2034,835.2837636879276,0.0
2035,835.2837636879276,0.0
2036,835.2837636879276,0.0
2037,835.2837636879276,0.0
2038,835.2837636879276,0.0
2039,835.2837636879276,0.0
2040,835.2837636879276,0.0
2041,835.2837636879276,0.0
2042,835.2837636879276,0.0
2043,835.2837636879276,0.0
2044,835.2837636879276,0.0
2045,835.2837636879276,0.0
2046,835.2837636879276,0.0
2047,835.2837636879276,0.0
2048,835.2837636879276,0.0
2049,835.2837636879276,0.0
2050,835.2837636879276,0.0
2051,835.2837636879276,0.0
2052,835.2837636879276,0.0
2053,835.2837636879276,0.0
2054,835.2837636879276,0.0
2055,835.2837636879276,0.0
2056,835.2837636879276,0.0
2057,835.2837636879276,0.0
2058,835.2837636879276,0.0
2059,835.2837636879276,0.0
2060,835.2837636879276,0.0
2061,835.2837636879276,0.0
2062,835.2837636879276,0.0
2063,835.2837636879276,0.0
2064,835.2837636879276,0.0
2065,835.2837636879276,0.0
2066,835.2837636879276,0.0
2067,835.2837636879276,0.0
2068,835.2837636879276,0.0
2069,835.2837636879276,0.0
2070,835.2837636879276,0.0
2071,835.2837636879276,0.0
2072,835.2837636879276,0.0
2073,835.2837636879276,0.0
2074,835.2837636879276,0.0
2075,835.2837636879276,0.0
2076,835.2837636879276,0.0
2077,835.2837636879276,0.0
2078,835.2837636879276,0.0
2079,835.2837636879276,0.0
2080,835.2837636879276,0.0
2081,835.2837636879276,0.0
2082,835.2837636879276,0.0
2083,835.2837636879276,0.0
2084,835.2837636879276,0.0
2085,835.2837636879276,0.0
2086,835.2837636879276,0.0
2087,835.2837636879276,0.0
2088,835.2837636879276,0.0
2089,835.2837636879276,0.0
2090,835.2837636879276,0.0
2091,835.2837636879276,0.0
2092,835.2837636879276,0.0
2093,835.2837636879276,0.0
2094,835.2837636879276,0.0
2095,835.2837636879276,0.0
2096,835.2837636879276,0.0
2097,835.2837636879276,0.0
2098,835.2837636879276,0.0
2099,835.2837636879276,0.0
2100,835.2837636879276,0.0
2101,835.2837636879276,0.0
2102,835.2837636879276,0.0
2103,835.2837636879276,0.0
2104,835.2837636879276,0.0
2105,835.2837636879276,0.0
2106,835.2837636879276,0.0
2107,835.2837636879276,0.0
2108,835.2837636879276,0.0
2109,835.2837636879276,0.0
2110,835.2837636879276,0.0
2111,835.2837636879276,0.0
2112,835.2837636879276,0.0
2113,835.2837636879276,0.0
2114,835.2837636879276,0.0
2115,835.2837636879276,0.0
2116,835.2837636879276,0.0
2117,835.2837636879276,0.0
2118,835.2837636879276,0.0
2119,835.2837636879276,0.0
2120,835.2837636879276,0.0
2121,835.2837636879276,0.0
2122,835.2837636879276,0.0
2123,835.2837636879276,0.0
2124,835.2837636879276,0.0
2125,835.2837636879276,0.0
2126,835.2837636879276,0.0
2127,835.2837636879276,0.0
2128,835.2837636879276,0.0
2129,835.2837636879276,0.0
2130,835.2837636879276,0.0
2131,835.2837636879276,0.0
2132,835.2837636879276,0.0
2133,835.2837636879276,0.0
2134,835.2837636879276,0.0
2135,835.2837636879276,0.0
2136,835.2837636879276,0.0
2137,835.2837636879276,0.0
2138,835.2837636879276,0.0
2139,835.2837636879276,0.0
2140,835.2837636879276,0.0
2141,835.2837636879276,0.0
2142,835.2837636879276,0.0
2143,835.2837636879276,0.0
2144,835.2837636879276,0.0
2145,835.2837636879276,0.0
2146,835.2837636879276,0.0
2147,835.2837636879276,0.0
2148,835.2837636879276,0.0
2149,835.2837636879276,0.0
2150,835.2837636879276,0.0
2151,835.2837636879276,0.0
2152,835.2837636879276,0.0
2153,835.2837636879276,0.0
2154,835.2837636879276,0.0
2155,835.2837636879276,0.0
2156,835.2837636879276,0.0
2157,835.2837636879276,0.0
2158,835.2837636879276,0.0
2159,835.2837636879276,0.0
2160,835.2837636879276,0.0
2161,835.2837636879276,0.0
2162,835.2837636879276,0.0
2163,835.2837636879276,0.0
2164,835.2837636879276,0.0
2165,835.2837636879276,0.0
2166,835.2837636879276,0.0
2167,835.2837636879276,0.0
2168,835.2837636879276,0.0
2169,835.2837636879276,0.0
2170,835.2837636879276,0.0
2171,835.2837636879276,0.0
2172,835.2837636879276,0.0
2173,835.2837636879276,0.0
2174,835.2837636879276,0.0
2175,835.2837636879276,0.0
2176,835.2837636879276,0.0
2177,835.2837636879276,0.0
2178,835.2837636879276,0.0
2179,835.2837636879276,0.0
2180,835.2837636879276,0.0
2181,835.2837636879276,0.0
2182,835.2837636879276,0.0
2183,835.2837636879276,0.0
2184,835.2837636879276,0.0
2185,835.2837636879276,0.0
2186,835.2837636879276,0.0
2187,835.2837636879276,0.0
2188,835.2837636879276,0.0
2189,835.2837636879276,0.0
2190,835.2837636879276,0.0
2191,835.2837636879276,0.0
2192,835.2837636879276,0.0
2193,835.2837636879276,0.0
2194,835.2837636879276,0.0
2195,835.2837636879276,0.0
2196,835.2837636879276,0.0
2197,835.2837636879276,0.0
2198,835.2837636879276,0.0
2199,835.2837636879276,0.0
2200,835.2837636879276,0.0
2201,835.2837636879276,0.0
2202,835.2837636879276,0.0
2203,835.2837636879276,0.0
2204,835.2837636879276,0.0
2205,835.2837636879276,0.0
2206,835.2837636879276,0.0
2207,835.2837636879276,0.0
2208,835.2837636879276,0.0
2209,835.2837636879276,0.0
2210,835.2837636879276,0.0
2211,835.2837636879276,0.0
2212,835.2837636879276,0.0
2213,835.2837636879276,0.0
2214,835.2837636879276,0.0
2215,835.2837636879276,0.0
2216,835.2837636879276,0.0
2217,835.2837636879276,0.0
2218,835.2837636879276,0.0
2219,835.2837636879276,0.0
2220,835.2837636879276,0.0
2221,835.2837636879276,0.0
2222,835.2837636879276,0.0
2223,835.2837636879276,0.0
2224,835.2837636879276,0.0
2225,835.2837636879276,0.0
2226,835.2837636879276,0.0
2227,835.2837636879276,0.0
2228,835.2837636879276,0.0
2229,835.2837636879276,0.0
2230,835.2837636879276,0.0
2231,835.2837636879276,0.0
2232,835.2837636879276,0.0
2233,835.2837636879276,0.0
2234,835.2837636879276,0.0
2235,835.2837636879276,0.0
2236,835.2837636879276,0.0
2237,835.2837636879276,0.0
2238,835.2837636879276,0.0
2239,835.2837636879276,0.0
2240,835.2837636879276,0.0
2241,835.2837636879276,0.0
2242,835.2837636879276,0.0
2243,835.2837636879276,0.0
2244,835.2837636879276,0.0
2245,835.2837636879276,0.0
2246,835.2837636879276,0.0
2247,835.2837636879276,0.0
2248,835.2837636879276,0.0
2249,835.2837636879276,0.0
2250,835.2837636879276,0.0
2251,835.2837636879276,0.0
2252,835.2837636879276,0.0
2253,835.2837636879276,0.0
2254,835.2837636879276,0.0
2255,835.2837636879276,0.0
2256,835.2837636879276,0.0
2257,835.2837636879276,0.0
2258,835.2837636879276,0.0
2259,835.2837636879276,0.0
2260,835.2837636879276,0.0
2261,835.2837636879276,0.0
2262,835.2837636879276,0.0
2263,835.2837636879276,0.0
2264,835.2837636879276,0.0
2265,835.2837636879276,0.0
2266,835.2837636879276,0.0
2267,835.2837636879276,0.0
2268,835.2837636879276,0.0
2269,835.2837636879276,0.0
2270,835.2837636879276,0.0
2271,835.2837636879276,0.0
2272,835.2837636879276,0.0
2273,835.2837636879276,0.0
2274,835.2837636879276,0.0
2275,835.2837636879276,0.0
2276,835.2837636879276,0.0
2277,835.2837636879276,0.0
2278,835.2837636879276,0.0
2279,835.2837636879276,0.0
2280,835.2837636879276,0.0
2281,835.2837636879276,0.0
2282,835.2837636879276,0.0
2283,835.2837636879276,0.0
2284,835.2837636879276,0.0
2285,835.2837636879276,0.0
2286,835.2837636879276,0.0
2287,835.2837636879276,0.0
2288,835.2837636879276,0.0
2289,835.2837636879276,0.0
2290,835.2837636879276,0.0
2291,835.2837636879276,0.0
2292,835.2837636879276,0.0
2293,835.2837636879276,0.0
2294,835.2837636879276,0.0
2295,835.2837636879276,0.0
2296,835.2837636879276,0.0
2297,835.2837636879276,0.0
2298,835.2837636879276,0.0
2299,835.2837636879276,0.0
2300,835.2837636879276,0.0
2301,835.2837636879276,0.0
2302,835.2837636879276,0.0
2303,835.2837636879276,0.0
2304,835.2837636879276,0.0
2305,835.2837636879276,0.0
2306,835.2837636879276,0.0
2307,835.2837636879276,0.0
2308,835.2837636879276,0.0
2309,835.2837636879276,0.0
2310,835.2837636879276,0.0
2311,835.2837636879276,0.0
2312,835.2837636879276,0.0
2313,835.2837636879276,0.0
2314,835.2837636879276,0.0
2315,835.2837636879276,0.0
2316,835.2837636879276,0.0
2317,835.2837636879276,0.0
2318,835.2837636879276,0.0
2319,835.2837636879276,0.0
2320,835.2837636879276,0.0
2321,835.2837636879276,0.0
2322,835.2837636879276,0.0
2323,835.2837636879276,0.0
2324,835.2837636879276,0.0
2325,835.2837636879276,0.0
2326,835.2837636879276,0.0
2327,835.2837636879276,0.0
2328,835.2837636879276,0.0
2329,835.2837636879276,0.0
2330,835.2837636879276,0.0
2331,835.2837636879276,0.0
2332,835.2837636879276,0.0
2333,835.2837636879276,0.0
2334,835.2837636879276,0.0
2335,835.2837636879276,0.0
2336,835.2837636879276,0.0
2337,835.2837636879276,0.0
2338,835.2837636879276,0.0
2339,835.2837636879276,0.0
2340,835.2837636879276,0.0
2341,835.2837636879276,0.0
2342,835.2837636879276,0.0
2343,835.2837636879276,0.0
2344,835.2837636879276,0.0
2345,835.2837636879276,0.0
2346,835.2837636879276,0.0
2347,835.2837636879276,0.0
2348,835.2837636879276,0.0
2349,835.2837636879276,0.0
2350,835.2837636879276,0.0
2351,835.2837636879276,0.0
2352,835.2837636879276,0.0
2353,835.2837636879276,0.0
2354,835.2837636879276,0.0
2355,835.2837636879276,0.0
2356,835.2837636879276,0.0
2357,835.2837636879276,0.0
2358,835.2837636879276,0.0
2359,835.2837636879276,0.0
2360,835.2837636879276,0.0
2361,835.2837636879276,0.0
2362,835.2837636879276,0.0
2363,835.2837636879276,0.0
2364,835.2837636879276,0.0
2365,835.2837636879276,0.0
2366,835.2837636879276,0.0
2367,835.2837636879276,0.0
2368,835.2837636879276,0.0
2369,835.2837636879276,0.0
2370,835.2837636879276,0.0
2371,835.2837636879276,0.0
2372,835.2837636879276,0.0
2373,835.2837636879276,0.0
2374,835.2837636879276,0.0
2375,835.2837636879276,0.0
2376,835.2837636879276,0.0
2377,835.2837636879276,0.0
2378,835.2837636879276,0.0
2379,835.2837636879276,0.0
2380,835.2837636879276,0.0
2381,835.2837636879276,0.0
2382,835.2837636879276,0.0
2383,835.2837636879276,0.0
2384,835.2837636879276,0.0
2385,835.2837636879276,0.0
2386,835.2837636879276,0.0
2387,835.2837636879276,0.0
2388,835.2837636879276,0.0
2389,835.2837636879276,0.0
2390,835.2837636879276,0.0
2391,835.2837636879276,0.0
2392,835.2837636879276,0.0
2393,835.2837636879276,0.0
2394,835.2837636879276,0.0
2395,835.2837636879276,0.0
2396,835.2837636879276,0.0
