Years,predicted_mean,% Change
2018,12.0,
2019,54.53958152846697,354.49651273722475
2020,64.51646912336356,18.292930226626613
2021,31.174551737256735,-51.679699523470376
2024,59.64465124844117,91.32480797521715
2025,59.64412310007607,-0.0008854915806266739
2026,59.64412310007607,0.0
2027,59.64412310007607,0.0
2028,59.64412310007607,0.0
2029,59.64412310007607,0.0
2030,59.64412310007607,0.0
2031,59.64412310007607,0.0
2032,59.64412310007607,0.0
2033,59.64412310007607,0.0
2034,59.64412310007607,0.0
2035,59.64412310007237,-6.206146707654625e-12
2036,59.644123100079774,1.241229341530925e-11
2037,59.64412310007607,-6.206146707654625e-12
2038,59.64412310007607,0.0
2039,59.64412310007607,0.0
2040,59.64412310007607,0.0
2041,59.64412310007607,0.0
2042,59.64412310007607,0.0
2043,59.64412310007607,0.0
2044,59.64412310007607,0.0
2045,59.64412310007607,0.0
2046,59.64412310007607,0.0
2047,59.64412310007607,0.0
2048,59.64412310007607,0.0
2049,59.64412310007607,0.0
2050,59.64412310007607,0.0
2051,59.64412310007607,0.0
2052,59.64412310007607,0.0
2053,59.64412310007607,0.0
2054,59.64412310007607,0.0
2055,59.64412310007607,0.0
2056,59.64412310007607,0.0
2057,59.64412310007607,0.0
2058,59.64412310007607,0.0
2059,59.64412310007607,0.0
2060,59.64412310007607,0.0
2061,59.64412310007607,0.0
2062,59.64412310007607,0.0
2063,59.64412310007607,0.0
2064,59.64412310007607,0.0
2065,59.64412310007607,0.0
2066,59.64412310007607,0.0
2067,59.64412310007607,0.0
2068,59.64412310007607,0.0
2069,59.64412310007607,0.0
2070,59.64412310007607,0.0
2071,59.64412310007607,0.0
2072,59.64412310007607,0.0
2073,59.64412310007607,0.0
2074,59.64412310007607,0.0
2075,59.64412310007607,0.0
2076,59.64412310007607,0.0
2077,59.64412310007607,0.0
2078,59.64412310007607,0.0
2079,59.64412310007607,0.0
2080,59.64412310007607,0.0
2081,59.64412310007607,0.0
2082,59.64412310007607,0.0
2083,59.64412310007607,0.0
2084,59.64412310007607,0.0
2085,59.64412310007607,0.0
2086,59.64412310007607,0.0
2087,59.64412310007607,0.0
2088,59.64412310007607,0.0
2089,59.64412310007607,0.0
2090,59.64412310007607,0.0
2091,59.64412310007607,0.0
2092,59.64412310007607,0.0
2093,59.64412310007607,0.0
2094,59.64412310007607,0.0
2095,59.64412310007607,0.0
2096,59.64412310007607,0.0
2097,59.64412310007607,0.0
2098,59.64412310007607,0.0
2099,59.64412310007607,0.0
