Years,predicted_mean,% Change
2018,2596.0,
2019,233.35010457468846,-91.01116700405669
2020,186.48839175163965,-20.08214777039011
2021,117.83706326982707,-36.81265511326872
2024,209.38535451713201,77.69057434643865
2025,209.40015462687387,0.007068359568895843
2026,209.40015462687387,0.0
2027,209.40015462687387,0.0
2028,209.40015462687387,0.0
2029,209.40015462687387,0.0
2030,209.40015462687387,0.0
2031,209.40015462687387,0.0
2032,209.40015462687387,0.0
2033,209.40015462687387,0.0
2034,209.40015462687387,0.0
2035,209.40015462687387,0.0
2036,209.40015462687387,0.0
2037,209.40015462687387,0.0
2038,209.40015462687387,0.0
2039,209.40015462687387,0.0
2040,209.40015462687387,0.0
2041,209.40015462687387,0.0
2042,209.40015462687387,0.0
2043,209.40015462687387,0.0
2044,209.40015462687387,0.0
2045,209.40015462687387,0.0
2046,209.40015462687387,0.0
2047,209.40015462687387,0.0
2048,209.40015462687387,0.0
2049,209.40015462687387,0.0
2050,209.40015462687387,0.0
2051,209.40015462687387,0.0
2052,209.40015462687387,0.0
2053,209.40015462687387,0.0
2054,209.40015462687387,0.0
2055,209.40015462687387,0.0
2056,209.40015462687387,0.0
2057,209.40015462687387,0.0
2058,209.40015462687387,0.0
2059,209.40015462687387,0.0
2060,209.40015462687387,0.0
2061,209.40015462687387,0.0
2062,209.40015462687387,0.0
2063,209.40015462687387,0.0
2064,209.40015462687387,0.0
2065,209.40015462687387,0.0
2066,209.40015462687387,0.0
2067,209.40015462687387,0.0
2068,209.40015462687387,0.0
2069,209.40015462687387,0.0
2070,209.40015462687387,0.0
2071,209.40015462687387,0.0
2072,209.40015462687387,0.0
2073,209.40015462687387,0.0
2074,209.40015462687387,0.0
2075,209.40015462687387,0.0
2076,209.40015462687387,0.0
2077,209.40015462687387,0.0
2078,209.40015462687387,0.0
2079,209.40015462687387,0.0
2080,209.40015462687387,0.0
2081,209.40015462687387,0.0
2082,209.40015462687387,0.0
2083,209.40015462687387,0.0
2084,209.40015462687387,0.0
2085,209.40015462687387,0.0
2086,209.40015462687387,0.0
2087,209.40015462687387,0.0
2088,209.40015462687387,0.0
2089,209.40015462687387,0.0
2090,209.40015462687387,0.0
2091,209.40015462687387,0.0
2092,209.40015462687387,0.0
2093,209.40015462687387,0.0
2094,209.40015462687387,0.0
2095,209.40015462687387,0.0
2096,209.40015462687387,0.0
2097,209.40015462687387,0.0
2098,209.40015462687387,0.0
2099,209.40015462687387,0.0
2100,209.40015462687387,0.0
2101,209.40015462687387,0.0
2102,209.40015462687387,0.0
2103,209.40015462687387,0.0
2104,209.40015462687387,0.0
2105,209.40015462687387,0.0
2106,209.40015462687387,0.0
2107,209.40015462687387,0.0
2108,209.40015462687387,0.0
2109,209.40015462687387,0.0
2110,209.40015462687387,0.0
2111,209.40015462687387,0.0
2112,209.40015462687387,0.0
2113,209.40015462687387,0.0
2114,209.40015462687387,0.0
2115,209.40015462687387,0.0
2116,209.40015462687387,0.0
2117,209.40015462687387,0.0
2118,209.40015462687387,0.0
2119,209.40015462687387,0.0
2120,209.40015462687387,0.0
2121,209.40015462687387,0.0
2122,209.40015462687387,0.0
2123,209.40015462687387,0.0
2124,209.40015462687387,0.0
2125,209.40015462687387,0.0
2126,209.40015462687387,0.0
2127,209.40015462687387,0.0
2128,209.40015462687387,0.0
2129,209.40015462687387,0.0
2130,209.40015462687387,0.0
2131,209.40015462687387,0.0
2132,209.40015462687387,0.0
2133,209.40015462687387,0.0
2134,209.40015462687387,0.0
2135,209.40015462687387,0.0
2136,209.40015462687387,0.0
2137,209.40015462687387,0.0
2138,209.40015462687387,0.0
2139,209.40015462687387,0.0
2140,209.40015462687387,0.0
2141,209.40015462687387,0.0
2142,209.40015462687387,0.0
2143,209.40015462687387,0.0
2144,209.40015462687387,0.0
2145,209.40015462687387,0.0
2146,209.40015462687387,0.0
2147,209.40015462687387,0.0
2148,209.40015462687387,0.0
2149,209.40015462687387,0.0
2150,209.40015462687387,0.0
2151,209.40015462687387,0.0
2152,209.40015462687387,0.0
2153,209.40015462687387,0.0
2154,209.40015462687387,0.0
2155,209.40015462687387,0.0
2156,209.40015462687387,0.0
2157,209.40015462687387,0.0
2158,209.40015462687387,0.0
2159,209.40015462687387,0.0
2160,209.40015462687387,0.0
2161,209.40015462687387,0.0
2162,209.40015462687387,0.0
2163,209.40015462687387,0.0
2164,209.40015462687387,0.0
2165,209.40015462687387,0.0
2166,209.40015462687387,0.0
2167,209.40015462687387,0.0
2168,209.40015462687387,0.0
2169,209.40015462687387,0.0
2170,209.40015462687387,0.0
2171,209.40015462687387,0.0
2172,209.40015462687387,0.0
2173,209.40015462687387,0.0
2174,209.40015462687387,0.0
2175,209.40015462687387,0.0
2176,209.40015462687387,0.0
2177,209.40015462687387,0.0
2178,209.40015462687387,0.0
2179,209.40015462687387,0.0
2180,209.40015462687387,0.0
2181,209.40015462687387,0.0
2182,209.40015462687387,0.0
2183,209.40015462687387,0.0
2184,209.40015462687387,0.0
2185,209.40015462687387,0.0
2186,209.40015462687387,0.0
2187,209.40015462687387,0.0
2188,209.40015462687387,0.0
2189,209.40015462687387,0.0
2190,209.40015462687387,0.0
2191,209.40015462687387,0.0
2192,209.40015462687387,0.0
2193,209.40015462687387,0.0
2194,209.40015462687387,0.0
2195,209.40015462687387,0.0
2196,209.40015462687387,0.0
2197,209.40015462687387,0.0
2198,209.40015462687387,0.0
2199,209.40015462687387,0.0
2200,209.40015462687387,0.0
2201,209.40015462687387,0.0
2202,209.40015462687387,0.0
2203,209.40015462687387,0.0
2204,209.40015462687387,0.0
2205,209.40015462687387,0.0
2206,209.40015462687387,0.0
2207,209.40015462687387,0.0
2208,209.40015462687387,0.0
2209,209.40015462687387,0.0
2210,209.40015462687387,0.0
2211,209.40015462687387,0.0
2212,209.40015462687387,0.0
2213,209.40015462687387,0.0
2214,209.40015462687387,0.0
2215,209.40015462687387,0.0
2216,209.40015462687387,0.0
2217,209.40015462687387,0.0
2218,209.40015462687387,0.0
2219,209.40015462687387,0.0
2220,209.40015462687387,0.0
2221,209.40015462687387,0.0
2222,209.40015462687387,0.0
2223,209.40015462687387,0.0
2224,209.40015462687387,0.0
2225,209.40015462687387,0.0
2226,209.40015462687387,0.0
2227,209.40015462687387,0.0
2228,209.40015462687387,0.0
2229,209.40015462687387,0.0
2230,209.40015462687387,0.0
2231,209.40015462687387,0.0
2232,209.40015462687387,0.0
2233,209.40015462687387,0.0
2234,209.40015462687387,0.0
2235,209.40015462687387,0.0
2236,209.40015462687387,0.0
2237,209.40015462687387,0.0
2238,209.40015462687387,0.0
2239,209.40015462687387,0.0
2240,209.40015462687387,0.0
2241,209.40015462687387,0.0
2242,209.40015462687387,0.0
2243,209.40015462687387,0.0
2244,209.40015462687387,0.0
2245,209.40015462687387,0.0
2246,209.40015462687387,0.0
2247,209.40015462687387,0.0
2248,209.40015462687387,0.0
2249,209.40015462687387,0.0
2250,209.40015462687387,0.0
2251,209.40015462687387,0.0
2252,209.40015462687387,0.0
2253,209.40015462687387,0.0
2254,209.40015462687387,0.0
2255,209.40015462687387,0.0
2256,209.40015462687387,0.0
2257,209.40015462687387,0.0
2258,209.40015462687387,0.0
2259,209.40015462687387,0.0
2260,209.40015462687387,0.0
2261,209.40015462687387,0.0
2262,209.40015462687387,0.0
2263,209.40015462687387,0.0
2264,209.40015462687387,0.0
2265,209.40015462687387,0.0
2266,209.40015462687387,0.0
2267,209.40015462687387,0.0
2268,209.40015462687387,0.0
2269,209.40015462687387,0.0
2270,209.40015462687387,0.0
2271,209.40015462687387,0.0
2272,209.40015462687387,0.0
2273,209.40015462687387,0.0
2274,209.40015462687387,0.0
2275,209.40015462687387,0.0
2276,209.40015462687387,0.0
2277,209.40015462687387,0.0
2278,209.40015462687387,0.0
2279,209.40015462687387,0.0
2280,209.40015462687387,0.0
2281,209.40015462687387,0.0
2282,209.40015462687387,0.0
2283,209.40015462687387,0.0
2284,209.40015462687387,0.0
2285,209.40015462687387,0.0
2286,209.40015462687387,0.0
2287,209.40015462687387,0.0
2288,209.40015462687387,0.0
2289,209.40015462687387,0.0
2290,209.40015462687387,0.0
2291,209.40015462687387,0.0
2292,209.40015462687387,0.0
2293,209.40015462687387,0.0
