Years,predicted_mean,% Change
2018,232.0,
2019,48.339593409716194,-79.16396835788095
2020,25.544075042728117,-47.15703372549718
2021,28.221358035900465,10.481033228621506
2022,29.97666236351562,6.219772717465344
2023,28.329393542039234,-5.495170881603095
2024,36.716072500149735,29.604159883144465
2025,36.716072500149735,0.0
2026,36.716072500149735,0.0
2027,36.716072500149735,0.0
2028,36.716072500149735,0.0
2029,36.716072500149735,0.0
2030,36.716072500149735,0.0
2031,36.716072500149735,0.0
2032,36.716072500149735,0.0
